eBird_name,group_members,GBIF_name,GBIF_rank,GBIF_taxonKey
Trogon chrysochloros muriciensis,['Trogon chrysochloros muriciensis'],,,
Trogon chrysochloros chrysochloros,['Trogon chrysochloros chrysochloros'],,,
Trogon elegans,['Trogon elegans'],"Trogon elegans Gould, 1834",SPECIES,9323342
Trogon elegans [ambiguus Group],"['Trogon elegans canescens', 'Trogon elegans goldmani', 'Trogon elegans ambiguus']","['Trogon elegans canescens Van Rossem, 1934', 'Trogon elegans goldmani Nelson, 1898', 'Trogon elegans ambiguus Gould, 1835']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6177776, 6177775, 6177774]"
Trogon elegans elegans/lubricus,"['Trogon elegans elegans', 'Trogon elegans lubricus']","['Trogon elegans elegans', 'Trogon elegans lubricus J.L.Peters, 1945']","['SUBSPECIES', 'SUBSPECIES']","[7192491, 6177773]"
Trogon mexicanus,['Trogon mexicanus'],"Trogon mexicanus Swainson, 1827",SPECIES,2496651
Trogon collaris,['Trogon collaris'],"Trogon collaris Vieillot, 1817",SPECIES,2496700
Trogon collaris puella,['Trogon collaris puella'],"Trogon collaris puella Gould, 1845",SUBSPECIES,6177800
Trogon collaris aurantiiventris/underwoodi,"['Trogon collaris underwoodi', 'Trogon collaris aurantiiventris']","['Trogon collaris underwoodi Bangs, 1908', 'Trogon collaris aurantiiventris Gould, 1856']","['SUBSPECIES', 'SUBSPECIES']","[8967147, 8839311]"
Trogon collaris [collaris Group],"['Trogon collaris extimus', 'Trogon collaris heothinus', 'Trogon collaris virginalis', 'Trogon collaris subtropicalis', 'Trogon collaris exoptatus', 'Trogon collaris collaris', 'Trogon collaris castaneus']","['Trogon collaris extimus Griscom, 1929', 'Trogon collaris heothinus Wetmore, 1967', 'Trogon collaris virginalis Cabanis & Heine, 1863', 'Trogon collaris subtropicalis J.T.Zimmer, 1948', 'Trogon collaris exoptatus Cabanis & Heine, 1863', 'Trogon collaris collaris', 'Trogon collaris castaneus Spix, 1824']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6177805, 6095569, 6177802, 6177804, 6177801, 9164322, 6177806]"
Trogon personatus,['Trogon personatus'],"Trogon personatus Gould, 1842",SPECIES,2496673
Upupa epops,['Upupa epops'],"Upupa epops Linnaeus, 1758",SPECIES,2498415
Upupa epops [epops Group],"['Upupa epops epops', 'Upupa epops saturata', 'Upupa epops major', 'Upupa epops ceylonensis', 'Upupa epops longirostris']","['Upupa epops epops', 'Upupa epops saturata Lönnberg, 1909', 'Upupa epops major C.L.Brehm, 1855', 'Upupa epops ceylonensis Reichenbach, 1853', 'Upupa epops longirostris Jerdon, 1862']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[9187376, 6095280, 6179724, 6179725, 6179727]"
Upupa epops senegalensis/waibeli,"['Upupa epops senegalensis', 'Upupa epops waibeli']","['Upupa epops senegalensis Swainson, 1837', 'Upupa epops waibeli Reichenow, 1913']","['SUBSPECIES', 'SUBSPECIES']","[9587636, 6179723]"
Upupa epops africana,['Upupa epops africana'],"Upupa epops africana Bechstein, 1811",SUBSPECIES,6179728
Upupa marginata,['Upupa marginata'],"Upupa marginata Cabanis & Heine, 1860",SPECIES,5788441
Upupa antaios,['Upupa antaios'],"Upupa antaios Olson, 1975",SPECIES,5788440
Phoeniculus purpureus,['Phoeniculus purpureus'],"Phoeniculus purpureus (J.F.Miller, 1784)",SPECIES,2498452
Phoeniculus damarensis,['Phoeniculus damarensis'],"Phoeniculus damarensis (Ogilvie-Grant, 1901)",SPECIES,2498445
Phoeniculus damarensis damarensis,['Phoeniculus damarensis damarensis'],Phoeniculus damarensis damarensis,SUBSPECIES,7061320
Phoeniculus damarensis granti,['Phoeniculus damarensis granti'],"Phoeniculus damarensis granti (Neumann, 1903)",SUBSPECIES,6179721
Phoeniculus somaliensis,['Phoeniculus somaliensis'],"Phoeniculus somaliensis (Ogilvie-Grant, 1901)",SPECIES,2498438
Phoeniculus bollei,['Phoeniculus bollei'],"Phoeniculus bollei (Hartlaub, 1858)",SPECIES,2498448
Phoeniculus bollei bollei/jacksoni,"['Phoeniculus bollei jacksoni', 'Phoeniculus bollei bollei']","['Phoeniculus bollei jacksoni (Sharpe, 1890)', 'Phoeniculus bollei bollei']","['SUBSPECIES', 'SUBSPECIES']","[6179708, 7190982]"
Phoeniculus bollei okuensis,['Phoeniculus bollei okuensis'],"Phoeniculus bollei okuensis Serle, 1949",SUBSPECIES,6179707
Rhinopomastus castaneiceps,['Rhinopomastus castaneiceps'],"Rhinopomastus castaneiceps (Sharpe, 1871)",SPECIES,11036682
Rhinopomastus castaneiceps castaneiceps,['Rhinopomastus castaneiceps castaneiceps'],Rhinopomastus castaneiceps castaneiceps,SUBSPECIES,12076814
Rhinopomastus castaneiceps brunneiceps,['Rhinopomastus castaneiceps brunneiceps'],"Rhinopomastus castaneiceps brunneiceps (Sharpe, 1903)",SUBSPECIES,12008903
Rhinopomastus aterrimus,['Rhinopomastus aterrimus'],"Rhinopomastus aterrimus (Stephens, 1826)",SPECIES,2498432
Rhinopomastus cyanomelas,['Rhinopomastus cyanomelas'],"Rhinopomastus cyanomelas (Vieillot, 1819)",SPECIES,2498426
Rhinopomastus minor,['Rhinopomastus minor'],"Rhinopomastus minor (Rüppell, 1845)",SPECIES,2498429
Bucorvus abyssinicus,['Bucorvus abyssinicus'],"Bucorvus abyssinicus (Boddaert, 1783)",SPECIES,2476042
Bucorvus leadbeateri,['Bucorvus leadbeateri'],"Bucorvus leadbeateri (Vigors, 1825)",SPECIES,2476041
Lophoceros camurus,['Lophoceros camurus'],"Lophoceros camurus (Cassin, 1857)",SPECIES,7997307
Lophoceros alboterminatus,['Lophoceros alboterminatus'],"Lophoceros alboterminatus Büttikofer, 1889",SPECIES,7983173
Lophoceros bradfieldi,['Lophoceros bradfieldi'],"Lophoceros bradfieldi (Roberts, 1930)",SPECIES,7506557
Lophoceros semifasciatus,['Lophoceros semifasciatus'],"Lophoceros semifasciatus (Hartlaub, 1855)",SPECIES,10939066
Lophoceros fasciatus,['Lophoceros fasciatus'],"Lophoceros fasciatus (Shaw, 1812)",SPECIES,8335820
Lophoceros hemprichii,['Lophoceros hemprichii'],"Lophoceros hemprichii (Ehrenberg, 1833)",SPECIES,8258263
Lophoceros nasutus,['Lophoceros nasutus'],"Lophoceros nasutus (Linnaeus, 1766)",SPECIES,8101752
Lophoceros pallidirostris,['Lophoceros pallidirostris'],"Lophoceros pallidirostris (Hartlaub & Finsch, 1870)",SPECIES,7561780
Tockus flavirostris,['Tockus flavirostris'],"Tockus flavirostris (Rüppell, 1835)",SPECIES,2475979
Tockus leucomelas,['Tockus leucomelas'],"Tockus leucomelas (M.H.K.Lichtenstein, 1842)",SPECIES,2475955
Tockus jacksoni,['Tockus jacksoni'],"Tockus jacksoni (Ogilvie-Grant, 1891)",SPECIES,2475980
Tockus deckeni,['Tockus deckeni'],"Tockus deckeni (Cabanis, 1868)",SPECIES,2475971
Tockus monteiri,['Tockus monteiri'],"Tockus monteiri Hartlaub, 1865",SPECIES,2475954
Tockus rufirostris,['Tockus rufirostris'],"Tockus rufirostris (Sundevall, 1850)",SPECIES,6095271
Tockus damarensis,['Tockus damarensis'],"Tockus damarensis (Shelley, 1888)",SPECIES,6095269
Tockus ruahae,['Tockus ruahae'],"Tockus ruahae A.Kemp & Delport, 2002",SPECIES,6095273
Tockus kempi,['Tockus kempi'],"Tockus kempi Tréca & Érard, 2000",SPECIES,6095275
Tockus erythrorhynchus,['Tockus erythrorhynchus'],"Tockus erythrorhynchus (Temminck, 1823)",SPECIES,2475965
Berenicornis comatus,['Berenicornis comatus'],"Berenicornis comatus (Raffles, 1822)",SPECIES,2476030
Horizocerus albocristatus,['Horizocerus albocristatus'],"Horizocerus albocristatus (Cassin, 1848)",SPECIES,8069697
Horizocerus cassini,['Horizocerus cassini'],"Horizocerus cassini (Finsch, 1903)",SPECIES,10940956
Horizocerus hartlaubi,['Horizocerus hartlaubi'],"Horizocerus hartlaubi (Gould, 1861)",SPECIES,8320758
Horizocerus granti,['Horizocerus granti'],"Horizocerus granti (E.Hartert, 1895)",SPECIES,10913124
Ceratogymna elata,['Ceratogymna elata'],"Ceratogymna elata (Temminck, 1831)",SPECIES,2476001
Ceratogymna atrata,['Ceratogymna atrata'],"Ceratogymna atrata (Temminck, 1835)",SPECIES,2476002
Bycanistes brevis,['Bycanistes brevis'],"Bycanistes brevis Friedmann, 1929",SPECIES,5228450
Bycanistes subcylindricus,['Bycanistes subcylindricus'],"Bycanistes subcylindricus (P.L.Sclater, 1871)",SPECIES,5228440
Bycanistes cylindricus,['Bycanistes cylindricus'],"Bycanistes cylindricus (Temminck, 1831)",SPECIES,5228447
Bycanistes albotibialis,['Bycanistes albotibialis'],"Bycanistes albotibialis (Cabanis & Reichenow, 1877)",SPECIES,5788445
Bycanistes bucinator,['Bycanistes bucinator'],"Bycanistes bucinator (Temminck, 1824)",SPECIES,5228451
Bycanistes fistulator,['Bycanistes fistulator'],"Bycanistes fistulator (Cassin, 1850)",SPECIES,5228443
Bycanistes fistulator fistulator,['Bycanistes fistulator fistulator'],Bycanistes fistulator fistulator,SUBSPECIES,7191000
Bycanistes fistulator sharpii/duboisi,"['Bycanistes fistulator sharpii', 'Bycanistes fistulator duboisi']","['Bycanistes fistulator sharpii (D.G.Elliot, 1873)', 'Bycanistes fistulator duboisi W.L.Sclater, 1922']","['SUBSPECIES', 'SUBSPECIES']","[5228444, 5228446]"
Rhinoplax vigil,['Rhinoplax vigil'],"Rhinoplax vigil (Pennant, 1781)",SPECIES,2475951
Buceros hydrocorax,['Buceros hydrocorax'],"Buceros hydrocorax Linnaeus, 1766",SPECIES,2476008
Buceros hydrocorax hydrocorax,['Buceros hydrocorax hydrocorax'],Buceros hydrocorax hydrocorax,SUBSPECIES,6180364
Buceros hydrocorax semigaleatus,['Buceros hydrocorax semigaleatus'],"Buceros hydrocorax semigaleatus Tweeddale, 1878",SUBSPECIES,6180365
Buceros hydrocorax mindanensis,['Buceros hydrocorax mindanensis'],"Buceros hydrocorax mindanensis Tweeddale, 1877",SUBSPECIES,6180366
Buceros rhinoceros,['Buceros rhinoceros'],"Buceros rhinoceros Linnaeus, 1758",SPECIES,2476004
Buceros bicornis,['Buceros bicornis'],"Buceros bicornis Linnaeus, 1758",SPECIES,2476012
Anorrhinus galeritus,['Anorrhinus galeritus'],"Anorrhinus galeritus (Temminck, 1831)",SPECIES,2475930
Anorrhinus austeni,['Anorrhinus austeni'],"Anorrhinus austeni Jerdon, 1872",SPECIES,4843783
Anorrhinus tickelli,['Anorrhinus tickelli'],"Anorrhinus tickelli (Blyth, 1855)",SPECIES,2475927
Ocyceros birostris,['Ocyceros birostris'],"Ocyceros birostris (Scopoli, 1786)",SPECIES,2475923
Ocyceros griseus,['Ocyceros griseus'],"Ocyceros griseus (Latham, 1790)",SPECIES,2475924
Ocyceros gingalensis,['Ocyceros gingalensis'],"Ocyceros gingalensis (Shaw, 1812)",SPECIES,2475925
Anthracoceros malayanus,['Anthracoceros malayanus'],"Anthracoceros malayanus (Raffles, 1822)",SPECIES,2475989
Anthracoceros montani,['Anthracoceros montani'],"Anthracoceros montani (Oustalet, 1880)",SPECIES,2475990
Anthracoceros coronatus,['Anthracoceros coronatus'],"Anthracoceros coronatus (Boddaert, 1783)",SPECIES,2475988
Anthracoceros albirostris,['Anthracoceros albirostris'],"Anthracoceros albirostris (Shaw, 1808)",SPECIES,2475991
Anthracoceros marchei,['Anthracoceros marchei'],"Anthracoceros marchei Oustalet, 1885",SPECIES,2475987
Aceros nipalensis,['Aceros nipalensis'],"Aceros nipalensis (Hodgson, 1829)",SPECIES,5228459
Rhyticeros cassidix,['Rhyticeros cassidix'],"Rhyticeros cassidix (Temminck, 1823)",SPECIES,8290357
Rhyticeros everetti,['Rhyticeros everetti'],"Rhyticeros everetti Rothschild, 1898",SPECIES,2475904
Rhyticeros undulatus,['Rhyticeros undulatus'],"Rhyticeros undulatus (Shaw, 1812)",SPECIES,2475916
Rhyticeros subruficollis,['Rhyticeros subruficollis'],"Rhyticeros subruficollis (Blyth, 1843)",SPECIES,2475906
Rhyticeros narcondami,['Rhyticeros narcondami'],"Rhyticeros narcondami Hume, 1873",SPECIES,7559341
Rhyticeros plicatus,['Rhyticeros plicatus'],"Rhyticeros plicatus (J.R.Forster, 1781)",SPECIES,2475908
Rhabdotorrhinus exarhatus,['Rhabdotorrhinus exarhatus'],"Rhabdotorrhinus exarhatus (Temminck, 1823)",SPECIES,7609838
Rhabdotorrhinus exarhatus exarhatus,['Rhabdotorrhinus exarhatus exarhatus'],Rhabdotorrhinus exarhatus exarhatus,SUBSPECIES,9088061
Rhabdotorrhinus exarhatus sanfordi,['Rhabdotorrhinus exarhatus sanfordi'],"Rhabdotorrhinus exarhatus sanfordi Stresemann, 1932",SUBSPECIES,8728302
Rhabdotorrhinus corrugatus,['Rhabdotorrhinus corrugatus'],"Rhabdotorrhinus corrugatus (Temminck, 1832)",SPECIES,8413441
Rhabdotorrhinus waldeni,['Rhabdotorrhinus waldeni'],"Rhabdotorrhinus waldeni (Sharpe, 1877)",SPECIES,8026095
Rhabdotorrhinus leucocephalus,['Rhabdotorrhinus leucocephalus'],"Rhabdotorrhinus leucocephalus (Vieillot, 1816)",SPECIES,8011847
Penelopides panini,['Penelopides panini'],"Penelopides panini (Boddaert, 1783)",SPECIES,2476026
Penelopides manillae,['Penelopides manillae'],"Penelopides manillae (Boddaert, 1783)",SPECIES,2476020
Penelopides mindorensis,['Penelopides mindorensis'],"Penelopides mindorensis Steere, 1890",SPECIES,2476019
Penelopides samarensis,['Penelopides samarensis'],"Penelopides samarensis Steere, 1890",SPECIES,2476017
Penelopides affinis,['Penelopides affinis'],"Penelopides affinis Tweeddale, 1877",SPECIES,2476014
Nyctyornis amictus,['Nyctyornis amictus'],"Nyctyornis amictus (Temminck, 1824)",SPECIES,2475461
Nyctyornis athertoni,['Nyctyornis athertoni'],"Nyctyornis athertoni (Jardine & Selby, 1828)",SPECIES,2475458
Meropogon forsteni,['Meropogon forsteni'],"Meropogon forsteni Bonaparte, 1850",SPECIES,2475390
Merops gularis,['Merops gularis'],"Merops gularis Shaw, 1798",SPECIES,2475423
Merops mentalis,['Merops mentalis'],"Merops mentalis Cabanis, 1889",SPECIES,6100744
Merops muelleri,['Merops muelleri'],"Merops muelleri (Cassin, 1857)",SPECIES,2475400
Merops bulocki,['Merops bulocki'],"Merops bulocki Vieillot, 1817",SPECIES,2475426
Merops bullockoides,['Merops bullockoides'],"Merops bullockoides A.Smith, 1834",SPECIES,2475445
Merops pusillus,['Merops pusillus'],"Merops pusillus P.L.S.Müller, 1776",SPECIES,2475403
Merops variegatus,['Merops variegatus'],"Merops variegatus Vieillot, 1817",SPECIES,2475429
Merops lafresnayii,['Merops lafresnayii'],"Merops lafresnayii Guérin-Méneville, 1843",SPECIES,10830463
Merops oreobates,['Merops oreobates'],"Merops oreobates (Sharpe, 1892)",SPECIES,2475446
Merops hirundineus,['Merops hirundineus'],"Merops hirundineus A.A.H.Lichtenstein, 1793",SPECIES,2475434
Merops breweri,['Merops breweri'],"Merops breweri (Cassin, 1859)",SPECIES,2475447
Merops revoilii,['Merops revoilii'],"Merops revoilii Oustalet, 1882",SPECIES,2475409
Merops albicollis,['Merops albicollis'],"Merops albicollis Vieillot, 1817",SPECIES,2475448
Merops viridissimus,['Merops viridissimus'],"Merops viridissimus Swainson, 1837",SPECIES,10685114
Merops cyanophrys,['Merops cyanophrys'],"Merops cyanophrys (Cabanis & Heine, 1860)",SPECIES,10967955
Merops orientalis,['Merops orientalis'],"Merops orientalis Latham, 1801",SPECIES,2475410
Merops boehmi,['Merops boehmi'],"Merops boehmi Reichenow, 1882",SPECIES,2475439
Merops viridis,['Merops viridis'],"Merops viridis Linnaeus, 1758",SPECIES,2475449
Merops americanus,['Merops americanus'],"Merops americanus P.L.S.Müller, 1776",SPECIES,8286122
Merops persicus,['Merops persicus'],"Merops persicus Pallas, 1773",SPECIES,2475419
Merops superciliosus,['Merops superciliosus'],"Merops superciliosus Linnaeus, 1766",SPECIES,2475440
Merops philippinus,['Merops philippinus'],"Merops philippinus Linnaeus, 1767",SPECIES,2475452
Merops ornatus,['Merops ornatus'],"Merops ornatus Latham, 1801",SPECIES,2475422
Merops apiaster,['Merops apiaster'],"Merops apiaster Linnaeus, 1758",SPECIES,2475443
Merops leschenaulti,['Merops leschenaulti'],"Merops leschenaulti Vieillot, 1817",SPECIES,2475392
Merops malimbicus,['Merops malimbicus'],"Merops malimbicus Shaw, 1806",SPECIES,2475444
Merops nubicus,['Merops nubicus'],"Merops nubicus J.F.Gmelin, 1788",SPECIES,2475396
Merops nubicoides,['Merops nubicoides'],"Merops nubicoides Des Murs & Pucheran, 1846",SPECIES,2475399
Todus multicolor,['Todus multicolor'],"Todus multicolor Gould, 1837",SPECIES,2475385
Todus subulatus,['Todus subulatus'],"Todus subulatus G.R.Gray, 1847",SPECIES,9598502
Todus angustirostris,['Todus angustirostris'],"Todus angustirostris Lafresnaye, 1851",SPECIES,2475388
Todus todus,['Todus todus'],"Todus todus (Linnaeus, 1758)",SPECIES,2475387
Todus mexicanus,['Todus mexicanus'],"Todus mexicanus R.Lesson, 1838",SPECIES,2475386
Hylomanes momotula,['Hylomanes momotula'],"Hylomanes momotula M.H.K.Lichtenstein, 1839",SPECIES,2475285
Aspatha gularis,['Aspatha gularis'],"Aspatha gularis (Lafresnaye, 1840)",SPECIES,2475274
Momotus mexicanus,['Momotus mexicanus'],"Momotus mexicanus Swainson, 1827",SPECIES,2475314
Momotus coeruliceps,['Momotus coeruliceps'],"Momotus coeruliceps (Gould, 1836)",SPECIES,7342311
Momotus lessonii,['Momotus lessonii'],"Momotus lessonii R.Lesson, 1842",SPECIES,6100745
Momotus subrufescens,['Momotus subrufescens'],"Momotus subrufescens P.L.Sclater, 1853",SPECIES,7342297
Momotus subrufescens [subrufescens Group],"['Momotus subrufescens spatha', 'Momotus subrufescens subrufescens', 'Momotus subrufescens osgoodi']","['Momotus subrufescens spatha Wetmore, 1946', 'Momotus subrufescens subrufescens', 'Momotus subrufescens osgoodi Cory, 1913']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6095312, 7342298, 6095286]"
Momotus subrufescens argenticinctus,['Momotus subrufescens argenticinctus'],"Momotus subrufescens argenticinctus Sharpe, 1892",SUBSPECIES,6542626
Momotus bahamensis,['Momotus bahamensis'],"Momotus bahamensis (Swainson, 1838)",SPECIES,6095279
Momotus momota,['Momotus momota'],"Momotus momota (Linnaeus, 1766)",SPECIES,2475290
Momotus aequatorialis,['Momotus aequatorialis'],"Momotus aequatorialis Gould, 1858",SPECIES,2475311
Baryphthengus martii,['Baryphthengus martii'],"Baryphthengus martii (Spix, 1824)",SPECIES,2475270
Baryphthengus ruficapillus,['Baryphthengus ruficapillus'],"Baryphthengus ruficapillus (Vieillot, 1818)",SPECIES,2475269
Electron carinatum,['Electron carinatum'],"Electron carinatum (Du Bus de Gisignies, 1847)",SPECIES,2475320
Electron platyrhynchum,['Electron platyrhynchum'],"Electron platyrhynchum (Leadbeater, 1829)",SPECIES,2475321
Electron platyrhynchum [platyrhynchum Group],"['Electron platyrhynchum minus', 'Electron platyrhynchum platyrhynchum', 'Electron platyrhynchum colombianum']","['Electron platyrhynchum minus (E.Hartert, 1898)', 'Electron platyrhynchum platyrhynchum', 'Electron platyrhynchum colombianum Meyer de Schauensee, 1950']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6175904, 7059609, 6175900]"
Electron platyrhynchum [pyrrholaemum Group],"['Electron platyrhynchum pyrrholaemum', 'Electron platyrhynchum orienticola', 'Electron platyrhynchum chlorophrys']","['Electron platyrhynchum pyrrholaemum (Berlepsch & Stolzmann, 1902)', 'Electron platyrhynchum orienticola Oberholser, 1921', 'Electron platyrhynchum chlorophrys Miranda-Ribeiro, 1931']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6175903, 6175901, 6175902]"
Eumomota superciliosa,['Eumomota superciliosa'],"Eumomota superciliosa (Sandbach, 1837)",SPECIES,2475276
Alcedo hercules,['Alcedo hercules'],"Alcedo hercules Laubmann, 1917",SPECIES,2475519
Alcedo atthis,['Alcedo atthis'],"Alcedo atthis (Linnaeus, 1758)",SPECIES,2475532
Alcedo atthis [atthis Group],"['Alcedo atthis atthis', 'Alcedo atthis ispida', 'Alcedo atthis bengalensis', 'Alcedo atthis taprobana']","['Alcedo atthis atthis', 'Alcedo atthis ispida Linnaeus, 1758', 'Alcedo atthis bengalensis J.F.Gmelin, 1788', 'Alcedo atthis taprobana Kleinschmidt, 1894']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[7191436, 6175765, 6175766, 6175767]"
Alcedo atthis [hispidoides Group],"['Alcedo atthis floresiana', 'Alcedo atthis hispidoides', 'Alcedo atthis salomonensis']","['Alcedo atthis floresiana Sharpe, 1892', 'Alcedo atthis hispidoides R.Lesson, 1837', 'Alcedo atthis salomonensis Rothschild & E.Hartert, 1905']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6175764, 6175768, 6175769]"
Alcedo semitorquata,['Alcedo semitorquata'],"Alcedo semitorquata Swainson, 1823",SPECIES,2475520
Alcedo quadribrachys,['Alcedo quadribrachys'],"Alcedo quadribrachys Bonaparte, 1850",SPECIES,2475540
Alcedo meninting,['Alcedo meninting'],"Alcedo meninting Horsfield, 1821",SPECIES,2475494
Alcedo peninsulae,['Alcedo peninsulae'],"Alcedo peninsulae Laubmann, 1941",SPECIES,10779995
Alcedo euryzona,['Alcedo euryzona'],"Alcedo euryzona Temminck, 1830",SPECIES,2475500
Alcedo coerulescens,['Alcedo coerulescens'],"Alcedo coerulescens Vieillot, 1818",SPECIES,2475531
Ceyx azureus,['Ceyx azureus'],"Ceyx azureus (Latham, 1801)",SPECIES,7342322
Ceyx websteri,['Ceyx websteri'],"Ceyx websteri (E.Hartert, 1898)",SPECIES,6095354
Ceyx cyanopectus,['Ceyx cyanopectus'],"Ceyx cyanopectus Lafresnaye, 1840",SPECIES,7342319
Ceyx cyanopectus cyanopectus,['Ceyx cyanopectus cyanopectus'],Ceyx cyanopectus cyanopectus,SUBSPECIES,7342320
Ceyx cyanopectus nigrirostris,['Ceyx cyanopectus nigrirostris'],"Ceyx cyanopectus nigrirostris Bourns & Worcester, 1894",SUBSPECIES,5846483
Ceyx flumenicola,['Ceyx flumenicola'],"Ceyx flumenicola Steere, 1890",SPECIES,7572951
Ceyx argentatus,['Ceyx argentatus'],"Ceyx argentatus Tweeddale, 1877",SPECIES,7342317
Ceyx pusillus,['Ceyx pusillus'],"Ceyx pusillus Temminck, 1836",SPECIES,7342300
Ceyx erithaca,['Ceyx erithaca'],"Ceyx erithaca (Linnaeus, 1758)",SPECIES,5228386
Ceyx rufidorsa,['Ceyx rufidorsa'],"Ceyx rufidorsa Strickland, 1847",SPECIES,5228389
Ceyx melanurus,['Ceyx melanurus'],"Ceyx melanurus (Kaup, 1848)",SPECIES,5228392
Ceyx melanurus melanurus,['Ceyx melanurus melanurus'],Ceyx melanurus melanurus,SUBSPECIES,7191464
Ceyx melanurus samarensis,['Ceyx melanurus samarensis'],"Ceyx melanurus samarensis Steere, 1890",SUBSPECIES,5228394
Ceyx melanurus mindanensis,['Ceyx melanurus mindanensis'],"Ceyx melanurus mindanensis Steere, 1890",SUBSPECIES,5228395
Ceyx sangirensis,['Ceyx sangirensis'],"Ceyx sangirensis (A.B.Meyer & Wiglesworth, 1898)",SPECIES,10981316
Ceyx fallax,['Ceyx fallax'],"Ceyx fallax (Schlegel, 1866)",SPECIES,5228379
Ceyx margarethae,['Ceyx margarethae'],"Ceyx margarethae W.Blasius, 1890",SPECIES,7677888
Ceyx wallacii,['Ceyx wallacii'],"Ceyx wallacii Sharpe, 1868",SPECIES,8191209
Ceyx lepidus,['Ceyx lepidus'],"Ceyx lepidus Temminck, 1836",SPECIES,5228396
Ceyx lepidus uropygialis,['Ceyx lepidus uropygialis'],"Ceyx lepidus uropygialis G.R.Gray, 1861",SUBSPECIES,5228400
Ceyx lepidus lepidus,['Ceyx lepidus lepidus'],Ceyx lepidus lepidus,SUBSPECIES,7191466
Ceyx cajeli,['Ceyx cajeli'],"Ceyx cajeli Wallace, 1863",SPECIES,8155169
Ceyx solitarius,['Ceyx solitarius'],"Ceyx solitarius Temminck, 1836",SPECIES,7643323
Ceyx dispar,['Ceyx dispar'],"Ceyx dispar Rothschild & E.Hartert, 1914",SPECIES,7855821
Ceyx mulcatus,['Ceyx mulcatus'],"Ceyx mulcatus Rothschild & E.Hartert, 1914",SPECIES,7836111
Ceyx sacerdotis,['Ceyx sacerdotis'],"Ceyx sacerdotis E.P.Ramsay, 1882",SPECIES,7617797
Ceyx collectoris,['Ceyx collectoris'],"Ceyx collectoris Rothschild & E.Hartert, 1901",SPECIES,7957025
Ceyx meeki,['Ceyx meeki'],"Ceyx meeki Rothschild, 1901",SPECIES,7454254
Ceyx meeki pallidus,['Ceyx meeki pallidus'],"Ceyx meeki pallidus Mayr, 1935",SUBSPECIES,8881581
Ceyx meeki meeki,['Ceyx meeki meeki'],Ceyx meeki meeki,SUBSPECIES,8923947
Ceyx nigromaxilla,['Ceyx nigromaxilla'],"Ceyx nigromaxilla Rothschild & E.Hartert, 1905",SPECIES,7701402
Ceyx nigromaxilla malaitae,['Ceyx nigromaxilla malaitae'],"Ceyx nigromaxilla malaitae Mayr, 1935",SUBSPECIES,11995795
Ceyx nigromaxilla nigromaxilla,['Ceyx nigromaxilla nigromaxilla'],Ceyx nigromaxilla nigromaxilla,SUBSPECIES,12151280
Ceyx gentianus,['Ceyx gentianus'],"Ceyx gentianus Tristram, 1879",SPECIES,7545305
Corythornis cristatus,['Corythornis cristatus'],"Corythornis cristatus (Pallas, 1764)",SPECIES,6095338
Corythornis cristatus [cristatus Group],"['Corythornis cristatus galeritus', 'Corythornis cristatus cristatus', 'Corythornis cristatus robertsi']","['Corythornis cristatus galeritus (P.L.S.Müller, 1776)', 'Corythornis cristatus cristatus', 'Corythornis cristatus robertsi (J.L.Peters, 1945)']","['SUBSPECIES', 'SUBSPECIES', 'SUBSPECIES']","[6095350, 7342316, 6095344]"
Corythornis cristatus thomensis,['Corythornis cristatus thomensis'],"Corythornis cristatus thomensis Salvadori, 1902",SUBSPECIES,6542647
Corythornis cristatus nais,['Corythornis cristatus nais'],"Corythornis cristatus nais (Kaup, 1848)",SUBSPECIES,6542645
Corythornis vintsioides,['Corythornis vintsioides'],"Corythornis vintsioides (Eydoux & Gervais, 1836)",SPECIES,7342309
Corythornis leucogaster,['Corythornis leucogaster'],"Corythornis leucogaster (Fraser, 1843)",SPECIES,7342305
Corythornis madagascariensis,['Corythornis madagascariensis'],"Corythornis madagascariensis (Linnaeus, 1766)",SPECIES,7342302
Ispidina picta,['Ispidina picta'],"Ispidina picta (Boddaert, 1783)",SPECIES,2475821
Ispidina picta picta/ferrugina,"['Ispidina picta picta', 'Ispidina picta ferrugina']","['Ispidina picta picta', 'Ispidina picta ferrugina Clancey, 1984']","['SUBSPECIES', 'SUBSPECIES']","[7342296, 8278814]"
Ispidina picta natalensis,['Ispidina picta natalensis'],"Ispidina picta natalensis (A.Smith, 1832)",SUBSPECIES,6095277
Ispidina lecontei,['Ispidina lecontei'],"Ispidina lecontei Cassin, 1856",SPECIES,2475832
Lacedo pulchella,['Lacedo pulchella'],"Lacedo pulchella (Horsfield, 1821)",SPECIES,2475559
