cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
822ccffffffffff,2.0,0.0,0.0,0.0,0.0
822ce7fffffffff,5.0,0.0,0.0,0.0,0.0
822cf7fffffffff,23.0,4.0,0.0,0.0,0.0
822d07fffffffff,45.0,6.0,0.0,0.0,0.0
822d17fffffffff,24.0,3.0,0.0,0.0,0.0
822d1ffffffffff,1.0,1.0,0.0,0.0,0.0
822d27fffffffff,3.0,0.0,0.0,0.0,0.0
822d37fffffffff,27.0,0.0,0.0,0.0,0.0
822d5ffffffffff,7.0,0.0,0.0,0.0,0.0
822d67fffffffff,5.0,0.0,0.0,0.0,0.0
822d97fffffffff,2.0,0.0,0.0,0.0,0.0
822da7fffffffff,85.0,17.0,0.0,0.0,0.0
822daffffffffff,60.0,1.0,0.0,0.0,0.0
822db7fffffffff,1667.0,303.0,0.0,0.0,0.0
822e07fffffffff,1.0,0.0,0.0,0.0,0.0
822e0ffffffffff,19.0,4.0,0.0,0.0,0.0
822e17fffffffff,5.0,3.0,0.0,0.0,0.0
822e1ffffffffff,10.0,0.0,0.0,0.0,0.0
822e2ffffffffff,11.0,0.0,0.0,0.0,0.0
822e47fffffffff,27.0,7.0,0.0,0.0,0.0
822e4ffffffffff,1.0,1.0,0.0,0.0,0.0
822e67fffffffff,124.0,16.0,0.0,0.0,0.0
822e6ffffffffff,364.0,4.0,0.0,0.0,0.0
822e77fffffffff,19.0,1.0,0.0,0.0,0.0
822e8ffffffffff,11.0,9.0,0.0,0.0,0.0
822eaffffffffff,8.0,2.0,0.0,0.0,0.0
822ec7fffffffff,6.0,0.0,0.0,0.0,0.0
822ed7fffffffff,2.0,0.0,0.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0,0.0,0.0
822ef7fffffffff,3.0,0.0,0.0,0.0,0.0
822f5ffffffffff,397.0,62.0,0.0,0.0,0.0
823007fffffffff,26.0,2.0,0.0,0.0,0.0
823017fffffffff,3.0,0.0,0.0,0.0,0.0
82301ffffffffff,7.0,0.0,0.0,0.0,0.0
823037fffffffff,28.0,9.0,0.0,0.0,0.0
823087fffffffff,43.0,13.0,0.0,0.0,0.0
82309ffffffffff,242.0,91.0,0.0,0.0,0.0
8230a7fffffffff,6.0,0.0,0.0,0.0,0.0
8230affffffffff,1.0,1.0,0.0,0.0,0.0
8230c7fffffffff,38.0,2.0,0.0,0.0,0.0
8230cffffffffff,6.0,3.0,0.0,0.0,0.0
8230d7fffffffff,49.0,0.0,0.0,0.0,0.0
8230dffffffffff,97.0,8.0,0.0,0.0,0.0
8230e7fffffffff,37.0,2.0,0.0,0.0,0.0
8230f7fffffffff,3.0,0.0,0.0,0.0,0.0
82311ffffffffff,2.0,0.0,0.0,0.0,0.0
82316ffffffffff,26.0,5.0,0.0,0.0,0.0
823187fffffffff,91.0,4.0,0.0,0.0,0.0
82318ffffffffff,25.0,2.0,0.0,0.0,0.0
8231affffffffff,85.0,10.0,0.0,0.0,0.0
823447fffffffff,1.0,0.0,0.0,0.0,0.0
82344ffffffffff,34.0,0.0,0.0,0.0,0.0
82346ffffffffff,10.0,0.0,0.0,0.0,0.0
823817fffffffff,9.0,0.0,0.0,0.0,0.0
