cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
8426a87ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8426a8bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426a91ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426a95ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426a97ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426a9dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426aa1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426aa5ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8426aa7ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426aa9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426aabffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426aadffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426ab3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426ab5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426abbffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426ae3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ae7ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426ae9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426b25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426b61ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426b69ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426b6dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c11ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426c19ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c3bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c43ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8426c4bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426c5bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c85ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426cb9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8426cbdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426cc1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d09ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d15ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d95ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426d9dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426da3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426da9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426db3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426dbdffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426dc1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426de7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426e21ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426e27ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426e2dffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8426e33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e43ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426e5bffffffff,34.0,0.0,0.0,0.0,0.0,0.0
8426e5dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e69ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426ec1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ec3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ec9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8426ecdffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426ed1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426ed5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426ed7ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8426eddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ee9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f25ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
