cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
8419599ffffffff,52.0,8.0,0.0
841959bffffffff,414.0,31.0,0.0
841959dffffffff,11.0,0.0,0.0
84195a1ffffffff,12.0,2.0,0.0
84195a9ffffffff,8.0,0.0,0.0
84195abffffffff,23.0,0.0,0.0
84195adffffffff,2.0,0.0,0.0
84195b1ffffffff,24.0,2.0,0.0
84195b5ffffffff,2.0,0.0,0.0
84195b7ffffffff,15.0,2.0,0.0
84195b9ffffffff,44.0,4.0,0.0
84195bbffffffff,41.0,6.0,0.0
84195bdffffffff,12.0,0.0,0.0
84195c1ffffffff,47.0,6.0,0.0
84195c3ffffffff,161.0,6.0,0.0
84195c5ffffffff,9.0,2.0,0.0
84195c7ffffffff,132.0,44.0,0.0
84195c9ffffffff,118.0,2.0,0.0
84195cbffffffff,287.0,2.0,0.0
84195cdffffffff,3.0,0.0,0.0
84195d1ffffffff,149.0,18.0,0.0
84195d3ffffffff,316.0,38.0,0.0
84195d5ffffffff,115.0,2.0,0.0
84195d7ffffffff,48.0,4.0,0.0
84195d9ffffffff,391.0,189.0,0.0
84195dbffffffff,268.0,26.0,0.0
84195ddffffffff,40.0,4.0,0.0
84195e7ffffffff,2.0,0.0,0.0
84195e9ffffffff,7.0,0.0,0.0
84195ebffffffff,8.0,0.0,0.0
84195edffffffff,3.0,0.0,0.0
8419683ffffffff,34.0,2.0,0.0
841968bffffffff,6.0,0.0,0.0
8419691ffffffff,42.0,3.0,0.0
8419693ffffffff,217.0,0.0,0.0
8419695ffffffff,18.0,1.0,0.0
8419697ffffffff,74.0,0.0,0.0
8419699ffffffff,10.0,0.0,0.0
841969bffffffff,76.0,0.0,0.0
841969dffffffff,8.0,2.0,0.0
84196b1ffffffff,8.0,0.0,0.0
84196b3ffffffff,28.0,1.0,0.0
84196b7ffffffff,12.0,0.0,0.0
84196b9ffffffff,15.0,0.0,0.0
84196bbffffffff,33.0,2.0,0.0
84196c3ffffffff,1.0,0.0,0.0
84196d1ffffffff,9.0,0.0,0.0
84196d3ffffffff,23.0,0.0,0.0
84196d5ffffffff,2.0,0.0,0.0
84196d7ffffffff,2.0,0.0,0.0
84196d9ffffffff,1.0,0.0,0.0
84196dbffffffff,17.0,0.0,0.0
8419721ffffffff,2.0,0.0,0.0
8419723ffffffff,4.0,0.0,0.0
8419725ffffffff,15.0,0.0,0.0
8419727ffffffff,6.0,0.0,0.0
8419729ffffffff,3.0,0.0,0.0
841972bffffffff,6.0,0.0,0.0
841972dffffffff,1.0,0.0,0.0
8419731ffffffff,2.0,0.0,0.0
8419733ffffffff,5.0,0.0,0.0
8419737ffffffff,1.0,0.0,0.0
8419739ffffffff,1.0,0.0,0.0
841973dffffffff,2.0,0.0,0.0
8419761ffffffff,2.0,0.0,0.0
8419767ffffffff,1.0,0.0,0.0
8419769ffffffff,2.0,0.0,0.0
841e005ffffffff,17.0,0.0,0.0
841e007ffffffff,4.0,0.0,0.0
841e009ffffffff,13.0,0.0,0.0
841e00bffffffff,2.0,0.0,0.0
841e00dffffffff,4.0,0.0,0.0
841e013ffffffff,11.0,0.0,0.0
841e017ffffffff,4.0,0.0,0.0
841e019ffffffff,6.0,0.0,0.0
841e01bffffffff,7.0,0.0,0.0
841e021ffffffff,10.0,0.0,0.0
841e023ffffffff,83.0,11.0,0.0
841e025ffffffff,44.0,5.0,0.0
841e027ffffffff,10.0,0.0,0.0
841e029ffffffff,71.0,0.0,0.0
841e02bffffffff,10.0,0.0,0.0
841e02dffffffff,137.0,16.0,0.0
841e031ffffffff,72.0,6.0,0.0
841e033ffffffff,6.0,0.0,0.0
841e035ffffffff,52.0,8.0,0.0
841e037ffffffff,276.0,30.0,0.0
841e039ffffffff,8.0,0.0,0.0
841e03bffffffff,9.0,0.0,0.0
841e03dffffffff,3.0,0.0,0.0
841e041ffffffff,185.0,23.0,0.0
841e043ffffffff,68.0,8.0,0.0
841e045ffffffff,249.0,4.0,0.0
841e047ffffffff,133.0,6.0,0.0
841e049ffffffff,10.0,0.0,0.0
841e04bffffffff,29.0,0.0,0.0
841e04dffffffff,31.0,7.0,0.0
841e051ffffffff,16.0,0.0,0.0
841e053ffffffff,1.0,0.0,0.0
841e055ffffffff,3.0,2.0,0.0
841e059ffffffff,44.0,0.0,0.0
841e05bffffffff,68.0,0.0,0.0
841e05dffffffff,28.0,0.0,0.0
841e061ffffffff,555.0,24.0,0.0
841e063ffffffff,110.0,0.0,0.0
841e065ffffffff,18.0,4.0,0.0
841e067ffffffff,141.0,2.0,0.0
841e069ffffffff,639.0,4.0,0.0
841e06bffffffff,150.0,0.0,0.0
841e06dffffffff,76.0,0.0,0.0
841e085ffffffff,293.0,2.0,0.0
841e08dffffffff,55.0,2.0,0.0
841e091ffffffff,1.0,0.0,0.0
841e0a1ffffffff,4.0,0.0,0.0
841e0a5ffffffff,3.0,2.0,0.0
841e0a9ffffffff,370.0,6.0,0.0
841e0adffffffff,10.0,0.0,0.0
841e0b3ffffffff,4.0,0.0,0.0
841e0b5ffffffff,2.0,0.0,0.0
841e0b7ffffffff,5.0,0.0,0.0
841e0c1ffffffff,4.0,0.0,0.0
841e0c3ffffffff,81.0,0.0,0.0
841e0c5ffffffff,9.0,0.0,0.0
841e0c7ffffffff,5.0,0.0,0.0
