cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
8426537ffffffff,6.0,0.0,0.0
842653bffffffff,8.0,0.0,0.0
842653dffffffff,7.0,0.0,0.0
8426541ffffffff,4.0,0.0,0.0
8426547ffffffff,6.0,0.0,0.0
8426551ffffffff,7.0,0.0,0.0
8426555ffffffff,86.0,0.0,2.0
8426557ffffffff,4.0,0.0,0.0
8426561ffffffff,5.0,0.0,0.0
8426563ffffffff,2.0,0.0,0.0
8426565ffffffff,2.0,0.0,0.0
8426567ffffffff,46.0,0.0,3.0
842656dffffffff,19.0,0.0,0.0
8426599ffffffff,2.0,0.0,0.0
842659dffffffff,2.0,0.0,0.0
84265a3ffffffff,6.0,0.0,2.0
84265a7ffffffff,3.0,0.0,0.0
84265b1ffffffff,8.0,0.0,0.0
84265b5ffffffff,5.0,0.0,0.0
84265b9ffffffff,74.0,0.0,14.0
84265d9ffffffff,17.0,0.0,0.0
84265dbffffffff,24.0,0.0,4.0
8426613ffffffff,8.0,0.0,0.0
842661bffffffff,3.0,0.0,0.0
8426625ffffffff,4.0,0.0,0.0
8426627ffffffff,2.0,0.0,0.0
8426629ffffffff,10.0,0.0,0.0
842662bffffffff,2.0,0.0,0.0
8426641ffffffff,58.0,0.0,0.0
8426645ffffffff,1.0,0.0,1.0
8426649ffffffff,102.0,0.0,0.0
842664bffffffff,2.0,0.0,0.0
842664dffffffff,153.0,0.0,19.0
8426657ffffffff,2.0,0.0,0.0
8426665ffffffff,9.0,0.0,2.0
8426667ffffffff,10.0,0.0,0.0
84266a5ffffffff,2.0,0.0,0.0
84266a9ffffffff,2.0,0.0,0.0
84266adffffffff,10.0,0.0,0.0
84266b1ffffffff,2.0,0.0,0.0
84266c5ffffffff,31.0,0.0,0.0
84266e1ffffffff,35.0,0.0,0.0
84266e7ffffffff,2.0,0.0,0.0
8426713ffffffff,2.0,0.0,0.0
8426719ffffffff,44.0,0.0,7.0
842671dffffffff,1.0,0.0,0.0
8426733ffffffff,7.0,0.0,0.0
8426745ffffffff,20.0,0.0,2.0
8426747ffffffff,9.0,0.0,0.0
842675dffffffff,5.0,0.0,0.0
8426801ffffffff,6.0,0.0,4.0
8426803ffffffff,9.0,0.0,8.0
8426805ffffffff,9.0,0.0,2.0
842680bffffffff,796.0,0.0,320.0
8426815ffffffff,2.0,0.0,2.0
8426819ffffffff,8.0,0.0,0.0
842681bffffffff,200.0,0.0,38.0
842681dffffffff,7.0,0.0,6.0
8426821ffffffff,1.0,0.0,0.0
8426823ffffffff,2.0,0.0,1.0
8426831ffffffff,1.0,0.0,0.0
8426835ffffffff,4.0,0.0,0.0
8426839ffffffff,2.0,0.0,2.0
8426841ffffffff,19.0,0.0,0.0
842684bffffffff,8.0,0.0,0.0
842684dffffffff,12.0,0.0,2.0
8426851ffffffff,281.0,0.0,40.0
8426853ffffffff,4.0,0.0,0.0
8426855ffffffff,41.0,0.0,34.0
8426859ffffffff,35.0,0.0,2.0
842685bffffffff,6.0,0.0,2.0
842685dffffffff,203.0,0.0,45.0
8426881ffffffff,19.0,0.0,4.0
8426889ffffffff,162.0,0.0,17.0
842688bffffffff,3.0,0.0,0.0
842688dffffffff,15.0,0.0,0.0
8426897ffffffff,1.0,0.0,1.0
8426899ffffffff,4.0,0.0,0.0
842689dffffffff,2.0,0.0,0.0
84268a1ffffffff,11.0,0.0,6.0
84268a3ffffffff,7.0,0.0,0.0
84268a7ffffffff,7.0,0.0,0.0
84268a9ffffffff,3.0,0.0,0.0
84268adffffffff,11.0,0.0,6.0
84268b1ffffffff,2.0,0.0,0.0
84268b3ffffffff,25.0,0.0,0.0
84268b5ffffffff,1.0,0.0,0.0
84268bdffffffff,2.0,0.0,2.0
84268c1ffffffff,9.0,0.0,5.0
84268c3ffffffff,45.0,0.0,7.0
84268c7ffffffff,93.0,0.0,2.0
84268c9ffffffff,2.0,0.0,0.0
84268cbffffffff,5.0,0.0,5.0
84268cdffffffff,474.0,0.0,77.0
84268d1ffffffff,5.0,0.0,0.0
84268d3ffffffff,79.0,0.0,7.0
84268d5ffffffff,10.0,0.0,2.0
84268d7ffffffff,96.0,0.0,26.0
84268d9ffffffff,1.0,0.0,0.0
84268e1ffffffff,15.0,0.0,5.0
84268e9ffffffff,1.0,0.0,0.0
84268ebffffffff,2.0,0.0,0.0
8426905ffffffff,86.0,0.0,5.0
842690dffffffff,14.0,0.0,2.0
8426913ffffffff,1.0,0.0,0.0
8426915ffffffff,2.0,0.0,0.0
842691dffffffff,1.0,0.0,0.0
8426923ffffffff,96.0,0.0,16.0
8426927ffffffff,2.0,0.0,2.0
