cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
8466e57ffffffff,2.0,0.0,0.0,0.0
8466e61ffffffff,1.0,0.0,0.0,0.0
8466e63ffffffff,9.0,0.0,0.0,0.0
8466e65ffffffff,175.0,10.0,0.0,0.0
8466e67ffffffff,87.0,4.0,0.0,0.0
8466e69ffffffff,32.0,0.0,0.0,0.0
8466e6bffffffff,1.0,0.0,0.0,0.0
8466e6dffffffff,15.0,0.0,0.0,0.0
8466f01ffffffff,4.0,0.0,0.0,0.0
8466f03ffffffff,30.0,0.0,0.0,0.0
8466f0bffffffff,6.0,0.0,0.0,0.0
8466f11ffffffff,2.0,0.0,0.0,0.0
8466f15ffffffff,1.0,0.0,0.0,0.0
8466f17ffffffff,1.0,0.0,0.0,0.0
8466f19ffffffff,9.0,0.0,0.0,0.0
8466f1dffffffff,294.0,9.0,0.0,0.0
8466f51ffffffff,1.0,0.0,0.0,0.0
8466f53ffffffff,1.0,0.0,0.0,0.0
8466f57ffffffff,14.0,0.0,0.0,0.0
8466f59ffffffff,23.0,0.0,0.0,0.0
8466f5bffffffff,3.0,0.0,0.0,0.0
8466f5dffffffff,6.0,0.0,0.0,0.0
8467413ffffffff,16.0,1.0,0.0,0.0
8467417ffffffff,14.0,0.0,0.0,0.0
8467423ffffffff,2.0,0.0,0.0,0.0
8467433ffffffff,1.0,0.0,0.0,0.0
8467437ffffffff,53.0,0.0,0.0,0.0
846743bffffffff,2.0,0.0,0.0,0.0
84674cdffffffff,9.0,0.0,0.0,0.0
84674e9ffffffff,7.0,0.0,0.0,0.0
84674ebffffffff,12.0,0.0,0.0,0.0
84674edffffffff,26.0,0.0,0.0,0.0
8467519ffffffff,1.0,0.0,0.0,0.0
8467531ffffffff,3.0,0.0,0.0,0.0
8467535ffffffff,11.0,0.0,0.0,0.0
8467537ffffffff,9.0,0.0,0.0,0.0
84675a5ffffffff,3.0,0.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0,0.0
84675abffffffff,2.0,0.0,0.0,0.0
84675adffffffff,3.0,0.0,0.0,0.0
84675c1ffffffff,5.0,0.0,0.0,0.0
84675c7ffffffff,4.0,0.0,0.0,0.0
84675c9ffffffff,6.0,0.0,0.0,0.0
84675cbffffffff,20.0,0.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0,0.0
84675ebffffffff,11.0,0.0,0.0,0.0
8467909ffffffff,13.0,0.0,0.0,0.0
846792dffffffff,3.0,0.0,0.0,0.0
8467937ffffffff,2.0,0.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0,0.0
8467961ffffffff,21.0,0.0,0.0,0.0
8467963ffffffff,2.0,0.0,0.0,0.0
84679a1ffffffff,10.0,0.0,0.0,0.0
84679a3ffffffff,2.0,0.0,0.0,0.0
84679a5ffffffff,190.0,0.0,0.0,0.0
84679a7ffffffff,47.0,0.0,0.0,0.0
84679b5ffffffff,15.0,0.0,0.0,0.0
84679b7ffffffff,89.0,2.0,0.0,0.0
846d043ffffffff,1.0,0.0,0.0,0.0
846d04bffffffff,10.0,0.0,0.0,0.0
846d04dffffffff,6.0,0.0,0.0,0.0
846d053ffffffff,9.0,2.0,0.0,0.0
846d059ffffffff,21.0,0.0,0.0,0.0
846d05bffffffff,168.0,43.0,0.0,0.0
846d06dffffffff,3.0,0.0,0.0,0.0
846d159ffffffff,173.0,23.0,0.0,0.0
846d15dffffffff,3.0,0.0,0.0,0.0
846d203ffffffff,7.0,0.0,0.0,0.0
846d207ffffffff,3.0,0.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0,0.0
846d20dffffffff,2.0,0.0,0.0,0.0
846d21bffffffff,71.0,9.0,0.0,0.0
846d21dffffffff,51.0,13.0,0.0,0.0
846d221ffffffff,1.0,0.0,0.0,0.0
846d223ffffffff,6.0,0.0,0.0,0.0
846d22bffffffff,2.0,0.0,0.0,0.0
846d231ffffffff,8.0,0.0,0.0,0.0
846d235ffffffff,4.0,4.0,0.0,0.0
846d239ffffffff,2.0,0.0,0.0,0.0
846d23bffffffff,42.0,8.0,0.0,0.0
846d23dffffffff,38.0,0.0,0.0,0.0
846d255ffffffff,1.0,0.0,0.0,0.0
846d257ffffffff,3.0,0.0,0.0,0.0
846d26bffffffff,1.0,0.0,0.0,0.0
846d287ffffffff,18.0,0.0,0.0,0.0
846d291ffffffff,91.0,8.0,0.0,0.0
846d293ffffffff,7.0,4.0,0.0,0.0
846d295ffffffff,337.0,7.0,0.0,0.0
846d297ffffffff,23.0,3.0,0.0,0.0
846d2a1ffffffff,6.0,0.0,0.0,0.0
846d2a3ffffffff,7.0,0.0,0.0,0.0
846d2a9ffffffff,12.0,3.0,0.0,0.0
846d2abffffffff,12.0,0.0,0.0,0.0
846d2adffffffff,5.0,0.0,0.0,0.0
846d2b9ffffffff,600.0,26.0,0.0,0.0
846d2c1ffffffff,13.0,10.0,0.0,0.0
846d2c3ffffffff,21.0,2.0,0.0,0.0
846d2c5ffffffff,2.0,0.0,0.0,0.0
846d2c7ffffffff,39.0,0.0,0.0,0.0
846d2c9ffffffff,63.0,15.0,0.0,0.0
846d2cbffffffff,39.0,12.0,0.0,0.0
846d2d1ffffffff,259.0,61.0,0.0,0.0
846d2d3ffffffff,131.0,75.0,0.0,0.0
846d2d7ffffffff,713.0,441.0,0.0,0.0
846d2d9ffffffff,4.0,4.0,0.0,0.0
846d2dbffffffff,2.0,2.0,0.0,0.0
846d2ddffffffff,17.0,8.0,0.0,0.0
846d2e3ffffffff,3.0,0.0,0.0,0.0
846d2ebffffffff,18.0,0.0,0.0,0.0
846d305ffffffff,12.0,0.0,0.0,0.0
846d307ffffffff,6.0,0.0,0.0,0.0
846d309ffffffff,4.0,0.0,0.0,0.0
846d30dffffffff,29.0,1.0,0.0,0.0
846d313ffffffff,44.0,7.0,0.0,0.0
846d317ffffffff,21.0,3.0,0.0,0.0
846d319ffffffff,60.0,15.0,0.0,0.0
846d31bffffffff,6.0,0.0,0.0,0.0
846d333ffffffff,6.0,0.0,0.0,0.0
846d335ffffffff,8.0,3.0,0.0,0.0
846d337ffffffff,83.0,6.0,0.0,0.0
846d341ffffffff,2.0,0.0,0.0,0.0
846d34bffffffff,21.0,0.0,0.0,0.0
846d34dffffffff,4.0,0.0,0.0,0.0
846d35dffffffff,144.0,2.0,0.0,0.0
846d363ffffffff,1.0,0.0,0.0,0.0
846d365ffffffff,2.0,0.0,0.0,0.0
846d36dffffffff,14.0,0.0,0.0,0.0
846d603ffffffff,4.0,0.0,0.0,0.0
846d605ffffffff,2.0,0.0,0.0,0.0
846d607ffffffff,4.0,0.0,0.0,0.0
846d609ffffffff,6.0,0.0,0.0,0.0
846d60dffffffff,6.0,0.0,0.0,0.0
846d615ffffffff,6.0,0.0,0.0,0.0
846d617ffffffff,144.0,0.0,0.0,0.0
846d645ffffffff,30.0,0.0,0.0,0.0
846d64bffffffff,6.0,0.0,0.0,0.0
846d64dffffffff,23.0,0.0,0.0,0.0
846d651ffffffff,387.0,0.0,0.0,0.0
846d653ffffffff,12.0,0.0,0.0,0.0
846d655ffffffff,16.0,0.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0,0.0
846d65bffffffff,8.0,0.0,0.0,0.0
846d65dffffffff,14.0,0.0,0.0,0.0
846d665ffffffff,22.0,0.0,0.0,0.0
846d669ffffffff,2.0,0.0,0.0,0.0
846d66dffffffff,16.0,0.0,0.0,0.0
846d681ffffffff,46.0,0.0,0.0,0.0
846d683ffffffff,28.0,0.0,0.0,0.0
846d685ffffffff,5.0,0.0,0.0,0.0
846d687ffffffff,4.0,0.0,0.0,0.0
846d689ffffffff,104.0,0.0,0.0,0.0
846d68bffffffff,172.0,0.0,0.0,0.0
846d68dffffffff,35.0,0.0,0.0,0.0
846d691ffffffff,241.0,0.0,0.0,0.0
846d693ffffffff,152.0,0.0,0.0,0.0
846d695ffffffff,48.0,0.0,0.0,0.0
846d697ffffffff,105.0,0.0,0.0,0.0
846d699ffffffff,35.0,0.0,0.0,0.0
846d69bffffffff,625.0,0.0,0.0,0.0
846d69dffffffff,1164.0,0.0,0.0,0.0
846d6b9ffffffff,10.0,0.0,0.0,0.0
846d6bbffffffff,349.0,0.0,0.0,0.0
846d6bdffffffff,4.0,0.0,0.0,0.0
846d6d1ffffffff,5.0,0.0,0.0,0.0
846d6d3ffffffff,64.0,0.0,0.0,0.0
846d6d5ffffffff,40.0,0.0,0.0,0.0
