cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
83a853fffffffff,5.0,0.0,0.0,0.0
83a855fffffffff,20.0,0.0,0.0,0.0
83a856fffffffff,3.0,0.0,0.0,0.0
83a859fffffffff,1326.0,0.0,0.0,81.0
83a85afffffffff,2.0,0.0,0.0,0.0
83a85bfffffffff,19.0,0.0,0.0,0.0
83a85dfffffffff,1080.0,0.0,0.0,32.0
83a862fffffffff,2.0,0.0,0.0,0.0
83a86afffffffff,2.0,0.0,0.0,0.0
83a870fffffffff,3.0,0.0,0.0,0.0
83a871fffffffff,6.0,0.0,0.0,0.0
83a872fffffffff,5.0,0.0,0.0,0.0
83a873fffffffff,5.0,0.0,0.0,2.0
83a874fffffffff,1.0,0.0,0.0,0.0
83a876fffffffff,28.0,0.0,0.0,0.0
83a880fffffffff,1.0,0.0,0.0,0.0
83a881fffffffff,93.0,0.0,0.0,0.0
83a882fffffffff,9.0,0.0,0.0,0.0
83a883fffffffff,22.0,0.0,0.0,0.0
83a884fffffffff,9.0,0.0,0.0,0.0
83a885fffffffff,12.0,0.0,0.0,0.0
83a886fffffffff,6.0,0.0,0.0,0.0
83a888fffffffff,3.0,0.0,0.0,0.0
83a889fffffffff,6.0,0.0,0.0,0.0
83a88afffffffff,2.0,0.0,0.0,0.0
83a88bfffffffff,16.0,0.0,0.0,0.0
83a88cfffffffff,33.0,0.0,0.0,0.0
83a88dfffffffff,94.0,0.0,0.0,3.0
83a88efffffffff,28.0,0.0,0.0,0.0
83a891fffffffff,200.0,0.0,0.0,10.0
83a895fffffffff,28.0,0.0,0.0,1.0
83a89cfffffffff,1.0,0.0,0.0,0.0
83a89efffffffff,5.0,0.0,0.0,0.0
83a8a0fffffffff,27.0,0.0,0.0,0.0
83a8a1fffffffff,340.0,0.0,0.0,28.0
83a8a2fffffffff,461.0,0.0,0.0,26.0
83a8a3fffffffff,107.0,0.0,0.0,2.0
83a8a5fffffffff,107.0,0.0,0.0,0.0
83a8a8fffffffff,12.0,0.0,0.0,0.0
83a8a9fffffffff,162.0,0.0,0.0,7.0
83a8aafffffffff,34.0,0.0,0.0,0.0
83a8abfffffffff,12.0,0.0,0.0,0.0
83a8acfffffffff,13.0,0.0,0.0,0.0
83a8adfffffffff,48.0,0.0,0.0,0.0
83a8aefffffffff,19.0,0.0,0.0,0.0
83a8b1fffffffff,7.0,0.0,0.0,0.0
83a8c0fffffffff,181.0,0.0,0.0,4.0
83a8c1fffffffff,5.0,0.0,0.0,0.0
83a8c2fffffffff,192.0,0.0,0.0,51.0
83a8c3fffffffff,9.0,0.0,0.0,0.0
83a8c4fffffffff,33.0,0.0,0.0,0.0
