cell_id,Rupornis magnirostris,Rupornis magnirostris gracilis,Rupornis magnirostris [magnirostris Group],Rupornis magnirostris [pucherani Group]
8445357ffffffff,18.0,0.0,0.0,0.0
8445359ffffffff,4.0,0.0,0.0,0.0
844535bffffffff,1.0,0.0,0.0,0.0
8445365ffffffff,109.0,0.0,0.0,0.0
8445367ffffffff,25.0,0.0,0.0,0.0
8445649ffffffff,73.0,0.0,0.0,0.0
84456dbffffffff,38.0,0.0,0.0,0.0
8445721ffffffff,169.0,0.0,42.0,0.0
8445723ffffffff,7.0,0.0,2.0,0.0
8445725ffffffff,528.0,0.0,6.0,0.0
8445727ffffffff,16.0,0.0,7.0,0.0
8445729ffffffff,1.0,0.0,0.0,0.0
844572dffffffff,12.0,0.0,3.0,0.0
8445745ffffffff,9.0,0.0,0.0,0.0
8445749ffffffff,451.0,0.0,5.0,0.0
844574dffffffff,34.0,0.0,0.0,0.0
8445761ffffffff,44.0,0.0,0.0,0.0
8445765ffffffff,37.0,0.0,9.0,0.0
8445767ffffffff,50.0,0.0,3.0,0.0
8445769ffffffff,4.0,0.0,0.0,0.0
8448065ffffffff,1.0,0.0,0.0,0.0
844832bffffffff,2.0,0.0,0.0,0.0
844833bffffffff,4.0,0.0,0.0,0.0
8448a21ffffffff,3.0,0.0,0.0,0.0
8448a27ffffffff,1.0,0.0,0.0,0.0
8448a2dffffffff,4.0,0.0,0.0,0.0
8448b09ffffffff,1.0,0.0,1.0,0.0
8448b41ffffffff,1.0,0.0,0.0,0.0
8448b4dffffffff,15.0,0.0,0.0,0.0
8448b51ffffffff,16.0,0.0,0.0,0.0
8448b59ffffffff,4.0,0.0,0.0,0.0
8448b5bffffffff,76.0,0.0,0.0,0.0
8449863ffffffff,2.0,0.0,0.0,0.0
8449901ffffffff,24.0,0.0,0.0,0.0
8449903ffffffff,9.0,0.0,0.0,0.0
8449905ffffffff,13.0,0.0,6.0,0.0
8449907ffffffff,24.0,0.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0,0.0
8449913ffffffff,4.0,0.0,0.0,0.0
8449917ffffffff,5.0,0.0,0.0,0.0
844991dffffffff,10.0,0.0,0.0,0.0
8449929ffffffff,72.0,0.0,2.0,0.0
844992bffffffff,58.0,0.0,16.0,0.0
8449931ffffffff,15.0,0.0,3.0,0.0
8449933ffffffff,2.0,0.0,0.0,0.0
8449937ffffffff,6.0,0.0,6.0,0.0
844993bffffffff,5.0,0.0,3.0,0.0
844993dffffffff,27.0,0.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0,0.0
8449959ffffffff,29.0,0.0,2.0,0.0
8449961ffffffff,1040.0,0.0,154.0,0.0
8449963ffffffff,1363.0,0.0,523.0,0.0
8449965ffffffff,2406.0,0.0,122.0,0.0
8449967ffffffff,442.0,0.0,22.0,0.0
8449969ffffffff,1137.0,0.0,22.0,0.0
844996bffffffff,184.0,0.0,7.0,0.0
844996dffffffff,199.0,0.0,15.0,0.0
8449981ffffffff,18.0,0.0,0.0,0.0
8449983ffffffff,2.0,0.0,0.0,0.0
8449985ffffffff,4.0,0.0,0.0,0.0
8449987ffffffff,247.0,0.0,21.0,0.0
844998dffffffff,7.0,0.0,0.0,0.0
84499abffffffff,20.0,0.0,4.0,0.0
84499b1ffffffff,44.0,0.0,0.0,0.0
84499b5ffffffff,13.0,0.0,0.0,0.0
84499b7ffffffff,7.0,0.0,0.0,0.0
84499b9ffffffff,2.0,0.0,0.0,0.0
84499bdffffffff,7.0,0.0,0.0,0.0
84499c1ffffffff,1.0,0.0,0.0,0.0
84499c5ffffffff,9.0,0.0,0.0,0.0
84499cdffffffff,39.0,0.0,0.0,0.0
84499e1ffffffff,1.0,0.0,0.0,0.0
84499e3ffffffff,127.0,0.0,0.0,0.0
84499e7ffffffff,6.0,0.0,0.0,0.0
84499e9ffffffff,4.0,0.0,0.0,0.0
84499ebffffffff,26.0,0.0,0.0,0.0
84499edffffffff,4.0,0.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0,0.0
8449a21ffffffff,21.0,0.0,0.0,0.0
8449a23ffffffff,8.0,0.0,0.0,0.0
8449a2bffffffff,43.0,0.0,0.0,0.0
8449a31ffffffff,2.0,0.0,0.0,0.0
8449a3bffffffff,1.0,0.0,0.0,0.0
8449a3dffffffff,16.0,0.0,0.0,0.0
8449a81ffffffff,3.0,0.0,0.0,0.0
8449a85ffffffff,3.0,0.0,0.0,0.0
8449a89ffffffff,32.0,0.0,0.0,0.0
8449a8bffffffff,4.0,0.0,0.0,0.0
8449a8dffffffff,22.0,0.0,0.0,0.0
8449a91ffffffff,6.0,0.0,0.0,0.0
8449a93ffffffff,2.0,0.0,0.0,0.0
8449a9bffffffff,15.0,0.0,3.0,0.0
8449ac7ffffffff,7.0,0.0,0.0,0.0
8449ad5ffffffff,8.0,0.0,4.0,0.0
8449ad7ffffffff,21.0,0.0,0.0,0.0
8449ae3ffffffff,4.0,0.0,0.0,0.0
8449ae9ffffffff,1.0,0.0,0.0,0.0
8449aebffffffff,1.0,0.0,0.0,0.0
8449b09ffffffff,2.0,0.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0,0.0
8449b19ffffffff,2.0,0.0,0.0,0.0
8449b43ffffffff,1.0,0.0,0.0,0.0
8449b47ffffffff,9.0,0.0,0.0,0.0
8449b51ffffffff,26.0,0.0,0.0,0.0
8449b53ffffffff,10.0,0.0,0.0,0.0
8449b55ffffffff,26.0,0.0,0.0,0.0
8449b57ffffffff,3.0,0.0,0.0,0.0
8449b61ffffffff,1.0,0.0,0.0,0.0
8449b69ffffffff,3.0,0.0,3.0,0.0
8449b6bffffffff,14.0,0.0,0.0,0.0
8449b6dffffffff,7.0,0.0,0.0,0.0
845f031ffffffff,2.0,0.0,0.0,0.0
845f035ffffffff,2.0,0.0,0.0,0.0
845f037ffffffff,1.0,0.0,0.0,0.0
845f083ffffffff,38.0,0.0,0.0,0.0
845f087ffffffff,3.0,0.0,0.0,0.0
845f08bffffffff,6.0,0.0,0.0,0.0
845f091ffffffff,1.0,0.0,0.0,0.0
845f095ffffffff,166.0,0.0,0.0,0.0
845f09dffffffff,20.0,0.0,0.0,0.0
845f0b9ffffffff,5.0,0.0,0.0,0.0
845f0d1ffffffff,1.0,0.0,0.0,0.0
845f0d7ffffffff,38.0,0.0,0.0,0.0
845f0e3ffffffff,11.0,0.0,0.0,0.0
845f0e7ffffffff,2.0,0.0,0.0,0.0
845f129ffffffff,2.0,0.0,0.0,0.0
845f12bffffffff,64.0,0.0,0.0,0.0
845f131ffffffff,2.0,0.0,0.0,0.0
845f13bffffffff,3.0,0.0,0.0,0.0
845f13dffffffff,32.0,0.0,0.0,0.0
845f1c3ffffffff,57.0,0.0,0.0,0.0
845f1c9ffffffff,2.0,0.0,0.0,0.0
845f1cbffffffff,106.0,0.0,0.0,0.0
845f1e9ffffffff,22.0,0.0,0.0,0.0
