cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
848b563ffffffff,7.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0
848b5d1ffffffff,3.0,0.0,0.0
848b617ffffffff,6.0,0.0,0.0
848b619ffffffff,5.0,0.0,0.0
848b627ffffffff,16.0,0.0,0.0
848b633ffffffff,2.0,0.0,0.0
848b637ffffffff,44.0,0.0,0.0
848b63bffffffff,5.0,0.0,0.0
848b691ffffffff,1.0,0.0,0.0
848b693ffffffff,7.0,0.0,0.0
848b6e1ffffffff,2.0,0.0,0.0
848b6e5ffffffff,12.0,0.0,0.0
848b6e7ffffffff,14.0,0.0,0.0
848b6edffffffff,1.0,0.0,0.0
848b713ffffffff,41.0,0.0,0.0
848b71bffffffff,11.0,0.0,0.0
848b757ffffffff,3.0,0.0,0.0
848b75dffffffff,2.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0
848b849ffffffff,3.0,0.0,0.0
848b99dffffffff,3.0,0.0,0.0
848b9d5ffffffff,37.0,0.0,0.0
848ba3bffffffff,1.0,0.0,0.0
848ba45ffffffff,3.0,0.0,0.0
848ba55ffffffff,6.0,0.0,0.0
848ba63ffffffff,1.0,0.0,0.0
848ba65ffffffff,7.0,0.0,0.0
848ba6dffffffff,3.0,0.0,0.0
848bb59ffffffff,78.0,0.0,0.0
848f401ffffffff,6.0,0.0,0.0
848f407ffffffff,1.0,0.0,0.0
848f44bffffffff,1.0,0.0,0.0
848f455ffffffff,3.0,0.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f485ffffffff,4.0,0.0,0.0
848f489ffffffff,2.0,0.0,0.0
848f4adffffffff,8.0,0.0,0.0
848f4c7ffffffff,13.0,0.0,0.0
848f5d3ffffffff,2.0,0.0,0.0
848f71bffffffff,3.0,0.0,0.0
848f71dffffffff,2.0,0.0,0.0
84a5969ffffffff,2.0,0.0,0.0
84a8001ffffffff,5.0,0.0,0.0
84a800dffffffff,1.0,0.0,0.0
84a8013ffffffff,2.0,0.0,0.0
84a8019ffffffff,6.0,0.0,0.0
84a801bffffffff,52.0,0.0,0.0
84a802dffffffff,18.0,0.0,0.0
84a803dffffffff,2.0,0.0,0.0
84a8049ffffffff,13.0,0.0,0.0
84a804bffffffff,4.0,0.0,0.0
84a804dffffffff,17.0,0.0,0.0
84a8055ffffffff,9.0,0.0,0.0
84a8057ffffffff,2.0,0.0,0.0
84a805dffffffff,10.0,0.0,0.0
84a8061ffffffff,24.0,0.0,0.0
84a8063ffffffff,2.0,0.0,0.0
84a8067ffffffff,201.0,0.0,50.0
84a8069ffffffff,15.0,0.0,0.0
84a806bffffffff,3.0,0.0,0.0
84a806dffffffff,1.0,0.0,0.0
84a808dffffffff,2.0,0.0,0.0
84a8095ffffffff,2.0,0.0,0.0
84a80b1ffffffff,2.0,0.0,0.0
84a80c3ffffffff,11.0,0.0,0.0
84a80e3ffffffff,2.0,0.0,0.0
84a8101ffffffff,190.0,0.0,1.0
84a8103ffffffff,58.0,0.0,5.0
84a8105ffffffff,357.0,0.0,0.0
84a8107ffffffff,96.0,0.0,0.0
84a8109ffffffff,30.0,0.0,0.0
84a810bffffffff,131.0,0.0,0.0
84a810dffffffff,6.0,0.0,0.0
84a8113ffffffff,11.0,0.0,0.0
84a8115ffffffff,18.0,0.0,3.0
84a8117ffffffff,9.0,0.0,0.0
84a8119ffffffff,3.0,0.0,0.0
84a811dffffffff,8.0,0.0,0.0
84a8121ffffffff,10.0,0.0,0.0
84a8123ffffffff,97.0,0.0,4.0
84a8125ffffffff,34.0,0.0,0.0
84a8127ffffffff,146.0,0.0,23.0
84a8129ffffffff,84.0,0.0,2.0
84a812bffffffff,53.0,0.0,0.0
84a812dffffffff,9.0,0.0,1.0
84a8131ffffffff,136.0,0.0,7.0
84a8133ffffffff,2.0,0.0,0.0
84a8135ffffffff,2.0,0.0,0.0
84a8137ffffffff,2.0,0.0,0.0
84a8139ffffffff,25.0,0.0,0.0
84a813bffffffff,35.0,0.0,0.0
84a813dffffffff,23.0,0.0,0.0
84a8143ffffffff,12.0,0.0,0.0
84a8151ffffffff,8.0,0.0,0.0
84a8153ffffffff,38.0,0.0,0.0
84a8155ffffffff,56.0,0.0,0.0
84a8157ffffffff,73.0,0.0,1.0
84a815bffffffff,249.0,0.0,26.0
84a8163ffffffff,11.0,0.0,0.0
84a8167ffffffff,6.0,0.0,0.0
84a8185ffffffff,5.0,0.0,0.0
84a8187ffffffff,3.0,0.0,0.0
84a8189ffffffff,2.0,0.0,0.0
84a818dffffffff,2.0,0.0,0.0
84a8191ffffffff,3.0,0.0,0.0
84a8195ffffffff,42.0,0.0,0.0
84a81a1ffffffff,1.0,0.0,0.0
84a81a5ffffffff,1.0,0.0,0.0
84a81a7ffffffff,3.0,0.0,0.0
84a81a9ffffffff,2.0,0.0,0.0
84a81abffffffff,5.0,0.0,0.0
84a81adffffffff,3.0,0.0,0.0
84a81b1ffffffff,5.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,0.0
84a81bbffffffff,24.0,0.0,0.0
84a81c1ffffffff,2.0,0.0,0.0
84a81c3ffffffff,16.0,0.0,0.0
84a81c5ffffffff,2.0,0.0,0.0
84a81c7ffffffff,5.0,0.0,0.0
84a81cbffffffff,3.0,0.0,0.0
84a81cdffffffff,100.0,0.0,0.0
84a81d1ffffffff,2.0,0.0,0.0
84a81d9ffffffff,18.0,0.0,0.0
84a81e1ffffffff,22.0,0.0,0.0
84a81e7ffffffff,13.0,0.0,0.0
84a81e9ffffffff,89.0,0.0,0.0
84a81ebffffffff,6.0,0.0,0.0
84a81edffffffff,286.0,0.0,0.0
84a8203ffffffff,10.0,0.0,0.0
84a8207ffffffff,6.0,0.0,0.0
84a8209ffffffff,1.0,0.0,0.0
84a820dffffffff,2.0,0.0,0.0
84a8211ffffffff,4.0,0.0,0.0
84a8215ffffffff,8.0,0.0,0.0
84a8219ffffffff,7.0,0.0,0.0
84a821bffffffff,3.0,0.0,0.0
84a8221ffffffff,1.0,0.0,0.0
84a8225ffffffff,3.0,0.0,0.0
84a8229ffffffff,2.0,0.0,0.0
84a822bffffffff,13.0,0.0,0.0
84a8231ffffffff,2.0,0.0,0.0
84a8235ffffffff,10.0,0.0,0.0
84a8237ffffffff,6.0,0.0,0.0
84a8241ffffffff,28.0,0.0,0.0
84a8245ffffffff,23.0,0.0,0.0
84a8247ffffffff,14.0,0.0,0.0
84a8251ffffffff,3.0,0.0,0.0
84a8257ffffffff,11.0,0.0,0.0
84a8261ffffffff,6.0,0.0,0.0
84a8267ffffffff,3.0,0.0,0.0
84a826dffffffff,27.0,0.0,0.0
84a8287ffffffff,4.0,0.0,0.0
84a8291ffffffff,3.0,0.0,0.0
84a82a1ffffffff,3.0,0.0,0.0
