cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
8426803ffffffff,3.0,0.0,0.0
8426805ffffffff,8.0,0.0,0.0
842680bffffffff,64.0,0.0,0.0
8426811ffffffff,3.0,0.0,0.0
8426817ffffffff,22.0,0.0,0.0
842681bffffffff,90.0,0.0,0.0
842681dffffffff,14.0,2.0,0.0
8426821ffffffff,2.0,0.0,0.0
842682bffffffff,2.0,0.0,0.0
8426831ffffffff,8.0,0.0,0.0
8426833ffffffff,18.0,0.0,0.0
8426841ffffffff,10.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0
8426855ffffffff,2.0,0.0,0.0
8426859ffffffff,2.0,0.0,0.0
842685dffffffff,6.0,0.0,0.0
8426881ffffffff,34.0,1.0,0.0
8426885ffffffff,13.0,0.0,0.0
8426887ffffffff,28.0,0.0,0.0
8426889ffffffff,17.0,0.0,0.0
842688bffffffff,3.0,0.0,0.0
842688dffffffff,15.0,0.0,0.0
8426899ffffffff,3.0,0.0,0.0
842689dffffffff,1.0,0.0,0.0
84268a1ffffffff,19.0,0.0,0.0
84268a3ffffffff,3.0,0.0,0.0
84268a7ffffffff,8.0,0.0,0.0
84268abffffffff,1.0,0.0,0.0
84268adffffffff,4.0,0.0,0.0
84268b1ffffffff,5.0,0.0,0.0
84268b3ffffffff,4.0,0.0,0.0
84268b9ffffffff,24.0,0.0,0.0
84268bbffffffff,4.0,0.0,0.0
84268c1ffffffff,22.0,0.0,0.0
84268c3ffffffff,1.0,0.0,0.0
84268c5ffffffff,33.0,0.0,0.0
84268c7ffffffff,16.0,2.0,0.0
84268cbffffffff,2.0,0.0,0.0
84268cdffffffff,163.0,0.0,0.0
84268d1ffffffff,5.0,0.0,0.0
84268d3ffffffff,28.0,0.0,0.0
84268d5ffffffff,23.0,0.0,0.0
84268d7ffffffff,30.0,0.0,0.0
84268d9ffffffff,6.0,0.0,0.0
84268dbffffffff,9.0,0.0,0.0
84268ddffffffff,10.0,0.0,0.0
84268e1ffffffff,28.0,0.0,0.0
84268e9ffffffff,7.0,0.0,0.0
84268ebffffffff,18.0,0.0,0.0
84268edffffffff,13.0,0.0,0.0
8426901ffffffff,4.0,0.0,0.0
8426907ffffffff,10.0,0.0,0.0
842690dffffffff,38.0,0.0,0.0
8426913ffffffff,2.0,0.0,0.0
8426915ffffffff,4.0,0.0,0.0
842691dffffffff,3.0,0.0,0.0
8426929ffffffff,2.0,0.0,0.0
8426945ffffffff,4.0,0.0,0.0
842694bffffffff,2.0,0.0,0.0
842694dffffffff,5.0,0.0,0.0
8426957ffffffff,2.0,0.0,0.0
842695bffffffff,8.0,0.0,0.0
8426961ffffffff,71.0,0.0,0.0
8426963ffffffff,1.0,0.0,0.0
8426969ffffffff,62.0,1.0,0.0
842696bffffffff,9.0,0.0,0.0
8426983ffffffff,3.0,0.0,0.0
8426987ffffffff,54.0,0.0,0.0
8426989ffffffff,10.0,0.0,0.0
842698dffffffff,2.0,0.0,0.0
8426991ffffffff,8.0,0.0,0.0
8426995ffffffff,17.0,0.0,0.0
8426997ffffffff,7.0,0.0,0.0
8426999ffffffff,12.0,0.0,0.0
842699dffffffff,6.0,0.0,0.0
84269a9ffffffff,9.0,0.0,0.0
84269c1ffffffff,5.0,0.0,0.0
84269cbffffffff,1.0,0.0,0.0
84269d1ffffffff,22.0,0.0,0.0
84269d5ffffffff,13.0,0.0,0.0
84269d9ffffffff,4.0,0.0,0.0
84269e3ffffffff,8.0,0.0,0.0
84269e9ffffffff,2.0,0.0,0.0
84269ebffffffff,5.0,0.0,0.0
8426a15ffffffff,3.0,0.0,0.0
8426a51ffffffff,2.0,0.0,0.0
8426a81ffffffff,3.0,0.0,0.0
8426a83ffffffff,23.0,0.0,0.0
8426a87ffffffff,15.0,0.0,0.0
8426a89ffffffff,3.0,0.0,0.0
8426a8bffffffff,28.0,0.0,0.0
8426a8dffffffff,1.0,0.0,0.0
8426a97ffffffff,6.0,0.0,0.0
8426a9dffffffff,14.0,0.0,0.0
8426aa1ffffffff,38.0,0.0,0.0
8426aa5ffffffff,27.0,0.0,0.0
8426aa7ffffffff,18.0,0.0,0.0
8426aa9ffffffff,1.0,0.0,0.0
8426aabffffffff,14.0,0.0,0.0
8426aadffffffff,12.0,0.0,0.0
8426ab3ffffffff,14.0,0.0,0.0
8426abdffffffff,2.0,0.0,0.0
8426ac1ffffffff,2.0,0.0,0.0
8426acbffffffff,2.0,0.0,0.0
8426ad5ffffffff,2.0,0.0,0.0
8426ae3ffffffff,6.0,0.0,0.0
8426ae7ffffffff,4.0,0.0,0.0
8426ae9ffffffff,3.0,0.0,0.0
8426aebffffffff,5.0,0.0,0.0
8426b0bffffffff,9.0,0.0,0.0
8426b39ffffffff,4.0,0.0,0.0
8426b51ffffffff,2.0,0.0,0.0
8426b61ffffffff,4.0,0.0,0.0
8426b69ffffffff,2.0,0.0,0.0
8426c19ffffffff,4.0,0.0,0.0
8426c31ffffffff,1.0,1.0,0.0
8426c35ffffffff,1.0,0.0,0.0
8426c37ffffffff,8.0,0.0,0.0
8426c3bffffffff,1.0,0.0,0.0
8426c43ffffffff,1.0,0.0,0.0
8426c49ffffffff,4.0,0.0,0.0
8426c5bffffffff,2.0,0.0,0.0
8426c87ffffffff,1.0,0.0,0.0
8426c89ffffffff,6.0,0.0,0.0
8426c91ffffffff,1.0,0.0,0.0
8426c99ffffffff,7.0,0.0,0.0
8426c9dffffffff,74.0,0.0,0.0
8426cb5ffffffff,1.0,0.0,0.0
8426cb9ffffffff,8.0,0.0,0.0
8426cbdffffffff,3.0,1.0,0.0
8426cd5ffffffff,2.0,0.0,0.0
8426ce5ffffffff,2.0,0.0,0.0
8426d1dffffffff,2.0,0.0,0.0
8426d2bffffffff,2.0,0.0,0.0
8426d31ffffffff,1.0,0.0,0.0
8426d4dffffffff,2.0,0.0,0.0
8426d53ffffffff,2.0,0.0,0.0
8426d83ffffffff,4.0,0.0,0.0
8426d89ffffffff,2.0,0.0,0.0
8426d8bffffffff,2.0,0.0,0.0
8426d95ffffffff,16.0,0.0,0.0
8426d99ffffffff,4.0,0.0,0.0
8426da3ffffffff,2.0,0.0,0.0
8426da7ffffffff,2.0,0.0,0.0
8426db3ffffffff,4.0,0.0,0.0
8426dbdffffffff,4.0,0.0,0.0
8426dcdffffffff,3.0,0.0,0.0
8426dd7ffffffff,8.0,0.0,0.0
8426dd9ffffffff,3.0,0.0,0.0
8426ddbffffffff,6.0,0.0,0.0
8426de5ffffffff,2.0,0.0,0.0
8426de9ffffffff,1.0,0.0,0.0
8426debffffffff,2.0,0.0,0.0
8426e01ffffffff,4.0,0.0,0.0
8426e05ffffffff,2.0,0.0,0.0
8426e07ffffffff,1.0,0.0,0.0
8426e21ffffffff,17.0,0.0,0.0
8426e23ffffffff,4.0,0.0,0.0
8426e25ffffffff,5.0,0.0,0.0
8426e2bffffffff,4.0,0.0,0.0
8426e2dffffffff,12.0,0.0,0.0
8426e33ffffffff,5.0,2.0,0.0
8426e41ffffffff,4.0,0.0,0.0
8426e43ffffffff,5.0,0.0,0.0
8426e51ffffffff,4.0,0.0,0.0
8426e57ffffffff,3.0,0.0,0.0
8426e59ffffffff,2.0,0.0,0.0
8426e5bffffffff,13.0,0.0,0.0
8426e5dffffffff,1.0,0.0,0.0
8426e63ffffffff,4.0,0.0,0.0
8426e67ffffffff,8.0,0.0,0.0
8426e6dffffffff,1.0,0.0,0.0
8426e9dffffffff,10.0,0.0,0.0
8426ecdffffffff,2.0,0.0,0.0
8426ed5ffffffff,2.0,0.0,0.0
8426ed7ffffffff,32.0,0.0,0.0
8426ee3ffffffff,2.0,0.0,0.0
8426f01ffffffff,2.0,0.0,0.0
8426f07ffffffff,6.0,0.0,0.0
8426f11ffffffff,4.0,0.0,0.0
8426f13ffffffff,2.0,0.0,0.0
8426f17ffffffff,1.0,0.0,0.0
8426f21ffffffff,5.0,0.0,0.0
8426f25ffffffff,11.0,0.0,0.0
8426f27ffffffff,8.0,2.0,0.0
8426f2bffffffff,2.0,0.0,0.0
8426f2dffffffff,106.0,0.0,0.0
8426f37ffffffff,1.0,0.0,0.0
8426f43ffffffff,2.0,0.0,0.0
8426f57ffffffff,2.0,0.0,0.0
8426f59ffffffff,1.0,0.0,0.0
8426f63ffffffff,1.0,0.0,0.0
8426f65ffffffff,7.0,0.0,0.0
8426f6dffffffff,8.0,0.0,0.0
8427021ffffffff,49.0,0.0,0.0
8427025ffffffff,42.0,0.0,0.0
8427029ffffffff,15.0,0.0,0.0
842702bffffffff,11.0,0.0,0.0
8427063ffffffff,12.0,0.0,0.0
842708dffffffff,4.0,4.0,0.0
84270a3ffffffff,2.0,0.0,0.0
84270a7ffffffff,2.0,0.0,0.0
84270e1ffffffff,3.0,3.0,0.0
84270e3ffffffff,6.0,3.0,0.0
8427107ffffffff,1.0,1.0,0.0
842711bffffffff,2.0,0.0,0.0
8427131ffffffff,3.0,0.0,0.0
8427133ffffffff,6.0,0.0,0.0
842713bffffffff,1.0,0.0,0.0
8427141ffffffff,2.0,0.0,0.0
84271abffffffff,1.0,1.0,0.0
84271d3ffffffff,18.0,0.0,0.0
8427401ffffffff,7.0,0.0,0.0
8427407ffffffff,2.0,0.0,0.0
8427409ffffffff,1.0,0.0,0.0
8427411ffffffff,18.0,0.0,0.0
8427417ffffffff,7.0,0.0,0.0
8427419ffffffff,17.0,0.0,0.0
842741dffffffff,2.0,0.0,0.0
8427423ffffffff,2.0,0.0,0.0
8427435ffffffff,17.0,0.0,0.0
842746dffffffff,4.0,0.0,0.0
8427481ffffffff,12.0,0.0,0.0
8427483ffffffff,14.0,0.0,0.0
8427485ffffffff,91.0,0.0,0.0
8427487ffffffff,21.0,0.0,0.0
842748bffffffff,6.0,0.0,0.0
842748dffffffff,66.0,0.0,0.0
8427491ffffffff,4.0,0.0,0.0
8427493ffffffff,1.0,0.0,0.0
8427495ffffffff,6.0,0.0,0.0
8427499ffffffff,73.0,0.0,0.0
842749dffffffff,2.0,0.0,0.0
84274a3ffffffff,2.0,0.0,0.0
84274abffffffff,16.0,0.0,0.0
84274b1ffffffff,2.0,0.0,0.0
84274b3ffffffff,1.0,0.0,0.0
84274b5ffffffff,8.0,0.0,0.0
84274b9ffffffff,32.0,0.0,0.0
84274bdffffffff,2.0,0.0,0.0
84274c1ffffffff,5.0,0.0,0.0
84274cbffffffff,3.0,0.0,0.0
84274d1ffffffff,6.0,0.0,0.0
84274d3ffffffff,46.0,0.0,0.0
84274d5ffffffff,3.0,0.0,0.0
84274d7ffffffff,5.0,0.0,0.0
84274d9ffffffff,4.0,0.0,0.0
84274dbffffffff,8.0,0.0,0.0
84274ddffffffff,31.0,0.0,0.0
84274e1ffffffff,2.0,0.0,0.0
84274e3ffffffff,199.0,0.0,0.0
8427501ffffffff,2.0,0.0,0.0
8427513ffffffff,1.0,0.0,0.0
8427521ffffffff,1.0,0.0,0.0
8427523ffffffff,2.0,0.0,0.0
8427527ffffffff,1.0,0.0,0.0
8427529ffffffff,6.0,0.0,0.0
842752bffffffff,2.0,0.0,0.0
8427531ffffffff,4.0,0.0,0.0
8427537ffffffff,6.0,0.0,0.0
842753dffffffff,4.0,0.0,0.0
8427541ffffffff,6.0,0.0,0.0
8427569ffffffff,8.0,0.0,0.0
8427581ffffffff,20.0,0.0,0.0
8427583ffffffff,2.0,0.0,0.0
8427587ffffffff,4.0,0.0,0.0
842758dffffffff,4.0,0.0,0.0
8427591ffffffff,7.0,0.0,0.0
8427593ffffffff,4.0,0.0,0.0
8427595ffffffff,3.0,0.0,0.0
842759bffffffff,23.0,0.0,0.0
84275a1ffffffff,1.0,0.0,0.0
