cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
843ccc9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
843ce83ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843ce95ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d107ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d109ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
843d139ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843d1edffffffff,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
843dad1ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
843dad9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
843daddffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843f441ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843f44bffffffff,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843f4d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843f4dbffffffff,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84404c1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
844052dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
8440e11ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84411c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84411cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84416ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8441921ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844ba03ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844ba05ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844ba21ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844ba2bffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844bb1bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8464b63ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8465993ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
