cell_id,Cardellina pusilla,Cardellina pusilla pileolata,Cardellina pusilla pusilla,Cardellina pusilla chryseola
8412b17ffffffff,1.0,0.0,0.0,0.0
8412b49ffffffff,6.0,0.0,0.0,0.0
8412b4bffffffff,21.0,0.0,0.0,0.0
8412b51ffffffff,20.0,0.0,0.0,0.0
8412b53ffffffff,5.0,0.0,0.0,0.0
8412b55ffffffff,2.0,0.0,0.0,0.0
8412b57ffffffff,4.0,0.0,0.0,0.0
8412b63ffffffff,1.0,0.0,0.0,0.0
8412c01ffffffff,59.0,0.0,0.0,0.0
8412c03ffffffff,114.0,2.0,0.0,0.0
8412c05ffffffff,19.0,0.0,0.0,0.0
8412c07ffffffff,16.0,0.0,0.0,0.0
8412c09ffffffff,12.0,0.0,0.0,0.0
8412c0bffffffff,37.0,3.0,0.0,0.0
8412c11ffffffff,227.0,0.0,0.0,0.0
8412c13ffffffff,36.0,0.0,0.0,0.0
8412c15ffffffff,16.0,0.0,0.0,0.0
8412c17ffffffff,33.0,0.0,0.0,0.0
8412c19ffffffff,30.0,0.0,0.0,0.0
8412c1bffffffff,137.0,0.0,0.0,0.0
8412c1dffffffff,143.0,2.0,0.0,0.0
8412c21ffffffff,93.0,0.0,0.0,0.0
8412c23ffffffff,2.0,0.0,0.0,0.0
8412c25ffffffff,1.0,0.0,0.0,0.0
8412c33ffffffff,5.0,0.0,0.0,0.0
8412c35ffffffff,7.0,0.0,0.0,0.0
8412c37ffffffff,5.0,0.0,0.0,0.0
8412c39ffffffff,5.0,0.0,0.0,0.0
8412c3bffffffff,4.0,0.0,0.0,0.0
8412c43ffffffff,1.0,0.0,0.0,0.0
8412c45ffffffff,4.0,0.0,0.0,0.0
8412c47ffffffff,27.0,0.0,0.0,0.0
8412c49ffffffff,19.0,0.0,0.0,0.0
8412c4dffffffff,11.0,0.0,0.0,0.0
8412c55ffffffff,3.0,0.0,0.0,0.0
8412c5bffffffff,1.0,0.0,0.0,0.0
8412c5dffffffff,1.0,0.0,0.0,0.0
8412c63ffffffff,4.0,0.0,0.0,0.0
8412c81ffffffff,7.0,0.0,0.0,0.0
8412c83ffffffff,18.0,0.0,0.0,0.0
8412c85ffffffff,39.0,0.0,0.0,0.0
8412c87ffffffff,33.0,0.0,0.0,0.0
8412c89ffffffff,3.0,0.0,0.0,0.0
8412c8bffffffff,80.0,0.0,0.0,0.0
8412c91ffffffff,2.0,0.0,0.0,0.0
8412c95ffffffff,2.0,0.0,0.0,0.0
8412c97ffffffff,53.0,0.0,0.0,0.0
8412c9bffffffff,21.0,0.0,0.0,0.0
8412c9dffffffff,7.0,0.0,0.0,0.0
8412ca1ffffffff,41.0,0.0,0.0,0.0
8412ca3ffffffff,112.0,0.0,0.0,0.0
8412ca5ffffffff,5.0,0.0,0.0,0.0
8412ca7ffffffff,2.0,0.0,0.0,0.0
8412ca9ffffffff,37.0,0.0,0.0,0.0
8412cabffffffff,259.0,0.0,0.0,0.0
8412cadffffffff,9.0,0.0,0.0,0.0
8412cb1ffffffff,76.0,0.0,0.0,0.0
8412cb5ffffffff,210.0,0.0,0.0,0.0
8412cb7ffffffff,21.0,0.0,0.0,0.0
8412cb9ffffffff,7.0,0.0,0.0,0.0
8412cbbffffffff,2.0,0.0,0.0,0.0
8412cbdffffffff,198.0,0.0,0.0,0.0
8412cc1ffffffff,8.0,0.0,0.0,0.0
8412cc5ffffffff,17.0,0.0,0.0,0.0
8412cc7ffffffff,2.0,0.0,0.0,0.0
8412cc9ffffffff,78.0,0.0,0.0,0.0
8412ccbffffffff,3.0,0.0,0.0,0.0
8412ccdffffffff,1396.0,0.0,0.0,0.0
