cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
840c623ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c625ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c665ffffffff,190.0,42.0,0.0,0.0,0.0,0.0
840c66dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c68bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c6adffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840c71bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840c731ffffffff,5.0,1.0,0.0,0.0,0.0,0.0
840c733ffffffff,357.0,32.0,0.0,0.0,0.0,0.0
840c735ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
840c73bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c741ffffffff,15.0,8.0,0.0,0.0,0.0,0.0
840c745ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
840c74bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c74dffffffff,24.0,3.0,0.0,0.0,0.0,0.0
840c759ffffffff,27.0,4.0,0.0,0.0,0.0,0.0
840c769ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840ca43ffffffff,74.0,0.0,0.0,0.0,35.0,0.0
840cc15ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840cc5bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840cd8dffffffff,21.0,0.0,0.0,0.0,0.0,0.0
840cdcbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840cdd1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840ce17ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
840ce3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ceadffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840cee5ffffffff,45.0,0.0,0.0,0.0,0.0,0.0
840ceedffffffff,19.0,0.0,0.0,0.0,0.0,0.0
840cf4bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d039ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840d093ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840d09bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d0c3ffffffff,43.0,0.0,0.0,0.0,0.0,0.0
840d0d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d0d9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d0ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d0e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d0edffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d1b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d44dffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840d4d5ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
840d523ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840d569ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840d585ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d5a9ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
840d5bbffffffff,19.0,0.0,0.0,0.0,0.0,0.0
840d605ffffffff,97.0,0.0,0.0,0.0,0.0,0.0
840d607ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
840d615ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d619ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840d629ffffffff,153.0,0.0,0.0,0.0,0.0,0.0
840d62bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d62dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d651ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840d653ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840d657ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840d659ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
840d65dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840d667ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840d6a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d6e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d6e3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840d6ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d709ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d72dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840d747ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d75bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840d761ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840d763ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
840e149ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e491ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840e493ffffffff,57.0,2.0,0.0,0.0,0.0,0.0
840e497ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
840e499ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e49bffffffff,60.0,0.0,0.0,0.0,0.0,0.0
840e4d3ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
840e4dbffffffff,113.0,0.0,0.0,0.0,0.0,0.0
840e805ffffffff,1829.0,0.0,0.0,0.0,0.0,0.0
840e807ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e82bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e83bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840e863ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e8ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
