cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
832b00fffffffff,3.0,0.0,0.0
832b01fffffffff,10.0,4.0,0.0
832b02fffffffff,4.0,0.0,0.0
832b03fffffffff,23.0,17.0,2.0
832b0afffffffff,222.0,149.0,57.0
832b0cfffffffff,61.0,38.0,0.0
832b0efffffffff,4.0,2.0,0.0
832b12fffffffff,23.0,7.0,0.0
832b15fffffffff,1.0,0.0,1.0
832b16fffffffff,48.0,20.0,0.0
832b18fffffffff,10.0,4.0,0.0
832b19fffffffff,15.0,11.0,0.0
832b1afffffffff,85.0,2.0,23.0
832b1bfffffffff,8.0,1.0,2.0
832b1cfffffffff,2.0,0.0,0.0
832b1dfffffffff,4.0,0.0,1.0
832b23fffffffff,19.0,0.0,0.0
832b24fffffffff,1.0,0.0,0.0
832b25fffffffff,4.0,0.0,0.0
832b28fffffffff,24.0,22.0,0.0
832b2afffffffff,2.0,1.0,0.0
832b2cfffffffff,1.0,1.0,0.0
832b2efffffffff,10.0,4.0,0.0
832b30fffffffff,5.0,0.0,0.0
832b31fffffffff,6.0,0.0,0.0
832b80fffffffff,9.0,6.0,0.0
832b81fffffffff,54.0,2.0,21.0
832b82fffffffff,5.0,2.0,0.0
832b83fffffffff,27.0,7.0,0.0
832b85fffffffff,8.0,0.0,0.0
832b86fffffffff,2.0,2.0,0.0
832b88fffffffff,10.0,0.0,0.0
832b89fffffffff,45.0,4.0,23.0
832b8afffffffff,34.0,11.0,2.0
832b8bfffffffff,1.0,0.0,0.0
832b8cfffffffff,60.0,11.0,28.0
832b8dfffffffff,87.0,35.0,30.0
832b8efffffffff,11.0,0.0,9.0
832b90fffffffff,1.0,0.0,0.0
832b91fffffffff,11.0,5.0,0.0
832b94fffffffff,13.0,6.0,0.0
832b98fffffffff,40.0,4.0,4.0
832b99fffffffff,35.0,7.0,7.0
832b9afffffffff,18.0,0.0,0.0
832b9bfffffffff,288.0,57.0,35.0
832b9cfffffffff,75.0,18.0,0.0
832b9dfffffffff,128.0,29.0,16.0
832b9efffffffff,19.0,0.0,1.0
832ba0fffffffff,2.0,0.0,0.0
832ba5fffffffff,1.0,0.0,0.0
832ba8fffffffff,74.0,0.0,11.0
832ba9fffffffff,17.0,0.0,7.0
832baafffffffff,193.0,22.0,33.0
832babfffffffff,24.0,3.0,3.0
832bacfffffffff,26.0,11.0,0.0
832baefffffffff,8.0,0.0,0.0
832bb2fffffffff,4.0,0.0,4.0
832bb3fffffffff,41.0,9.0,2.0
834410fffffffff,2.0,0.0,2.0
834412fffffffff,29.0,11.0,9.0
834413fffffffff,120.0,48.0,28.0
834414fffffffff,71.0,46.0,3.0
834415fffffffff,3.0,3.0,0.0
834416fffffffff,41.0,23.0,5.0
83441afffffffff,71.0,18.0,16.0
83441bfffffffff,22.0,14.0,4.0
83441efffffffff,36.0,17.0,3.0
834424fffffffff,9.0,0.0,0.0
834430fffffffff,4.0,0.0,0.0
834432fffffffff,5.0,0.0,0.0
834434fffffffff,5.0,0.0,0.0
834440fffffffff,89.0,14.0,50.0
834442fffffffff,7.0,0.0,5.0
834443fffffffff,2.0,1.0,0.0
834444fffffffff,8.0,0.0,6.0
834445fffffffff,40.0,12.0,23.0
834446fffffffff,26.0,14.0,1.0
834449fffffffff,2.0,0.0,0.0
83444bfffffffff,2.0,0.0,0.0
83444cfffffffff,26.0,0.0,0.0
83444efffffffff,6.0,0.0,1.0
834450fffffffff,18.0,4.0,3.0
834451fffffffff,1.0,0.0,0.0
834452fffffffff,3.0,0.0,0.0
834455fffffffff,85.0,48.0,10.0
834456fffffffff,18.0,0.0,0.0
83445afffffffff,2.0,0.0,0.0
83445bfffffffff,6.0,1.0,0.0
83445cfffffffff,2.0,0.0,0.0
83445dfffffffff,3.0,0.0,0.0
834463fffffffff,8.0,6.0,2.0
834469fffffffff,3.0,0.0,0.0
83446cfffffffff,44.0,24.0,7.0
83446dfffffffff,8.0,1.0,1.0
83446efffffffff,30.0,8.0,3.0
834471fffffffff,5.0,2.0,0.0
834473fffffffff,83.0,64.0,4.0
834480fffffffff,3.0,0.0,0.0
834484fffffffff,9.0,1.0,0.0
834485fffffffff,27.0,2.0,0.0
834486fffffffff,13.0,0.0,0.0
8344a0fffffffff,3.0,0.0,0.0
8344a1fffffffff,42.0,6.0,26.0
8344a3fffffffff,36.0,0.0,0.0
8344a5fffffffff,11.0,2.0,5.0
8344a8fffffffff,13.0,3.0,1.0
8344a9fffffffff,57.0,14.0,3.0
8344abfffffffff,7.0,4.0,0.0
8344acfffffffff,36.0,3.0,26.0
8344adfffffffff,9.0,0.0,0.0
8344aefffffffff,61.0,0.0,59.0
8344b1fffffffff,4.0,1.0,0.0
8344b5fffffffff,9.0,0.0,0.0
8344c0fffffffff,19.0,0.0,4.0
8344c1fffffffff,226.0,112.0,64.0
8344c2fffffffff,10.0,3.0,2.0
8344c3fffffffff,34.0,13.0,17.0
8344c5fffffffff,15.0,7.0,8.0
8344c8fffffffff,10.0,3.0,2.0
8344c9fffffffff,54.0,3.0,3.0
8344cafffffffff,54.0,2.0,6.0
8344cbfffffffff,14.0,4.0,2.0
8344ccfffffffff,39.0,17.0,8.0
8344cdfffffffff,48.0,11.0,2.0
8344cefffffffff,10.0,3.0,0.0
8344d0fffffffff,51.0,19.0,6.0
8344d2fffffffff,24.0,3.0,2.0
8344d3fffffffff,12.0,2.0,2.0
8344d5fffffffff,29.0,0.0,7.0
8344d8fffffffff,40.0,6.0,5.0
8344d9fffffffff,34.0,2.0,2.0
8344dafffffffff,48.0,4.0,12.0
8344dbfffffffff,11.0,0.0,2.0
8344dcfffffffff,4.0,0.0,0.0
8344ddfffffffff,56.0,0.0,0.0
8344defffffffff,1.0,0.0,0.0
8344e0fffffffff,3.0,2.0,0.0
8344e2fffffffff,12.0,1.0,4.0
8344e3fffffffff,14.0,0.0,11.0
8344e4fffffffff,9.0,2.0,5.0
8344e5fffffffff,6.0,3.0,0.0
8344e6fffffffff,8.0,2.0,6.0
8344e8fffffffff,1.0,0.0,0.0
8344e9fffffffff,3.0,3.0,0.0
8344eafffffffff,20.0,7.0,2.0
8344ebfffffffff,3.0,0.0,0.0
8344edfffffffff,7.0,0.0,0.0
8344eefffffffff,24.0,8.0,4.0
8344f0fffffffff,22.0,5.0,2.0
8344f1fffffffff,2.0,0.0,2.0
8344f3fffffffff,24.0,11.0,2.0
8344f4fffffffff,62.0,18.0,2.0
8344f5fffffffff,20.0,0.0,2.0
834505fffffffff,19.0,0.0,0.0
834509fffffffff,21.0,4.0,0.0
83450afffffffff,13.0,2.0,0.0
83450bfffffffff,8.0,0.0,0.0
834510fffffffff,1.0,0.0,0.0
83451bfffffffff,3.0,0.0,1.0
83451dfffffffff,1.0,0.0,0.0
834520fffffffff,7.0,0.0,0.0
834521fffffffff,13.0,0.0,0.0
834522fffffffff,4.0,0.0,0.0
834523fffffffff,23.0,8.0,0.0
834524fffffffff,23.0,8.0,0.0
834526fffffffff,6.0,0.0,0.0
83452cfffffffff,17.0,4.0,0.0
83452efffffffff,27.0,0.0,0.0
834531fffffffff,24.0,0.0,0.0
834533fffffffff,1.0,1.0,0.0
834535fffffffff,3.0,3.0,0.0
834536fffffffff,1.0,1.0,0.0
834550fffffffff,6.0,6.0,0.0
834572fffffffff,13.0,3.0,0.0
834588fffffffff,4.0,0.0,4.0
83458bfffffffff,2.0,0.0,2.0
83458cfffffffff,4.0,0.0,0.0
83458efffffffff,1.0,0.0,1.0
834598fffffffff,14.0,5.0,5.0
8345a3fffffffff,38.0,5.0,2.0
8345aefffffffff,6.0,0.0,0.0
8345b2fffffffff,33.0,31.0,0.0
834802fffffffff,2.0,0.0,0.0
834823fffffffff,60.0,37.0,0.0
83482bfffffffff,2.0,0.0,0.0
83482efffffffff,2.0,0.0,0.0
834832fffffffff,1.0,0.0,0.0
834836fffffffff,4.0,0.0,0.0
834842fffffffff,9.0,0.0,0.0
834843fffffffff,24.0,14.0,0.0
834846fffffffff,2.0,0.0,0.0
83484afffffffff,30.0,6.0,0.0
834855fffffffff,1.0,1.0,0.0
834856fffffffff,4.0,0.0,0.0
834859fffffffff,2.0,0.0,0.0
83485afffffffff,11.0,5.0,0.0
83485bfffffffff,2.0,0.0,0.0
83485cfffffffff,2.0,2.0,0.0
83485dfffffffff,1.0,0.0,0.0
834871fffffffff,8.0,2.0,0.0
834873fffffffff,21.0,3.0,0.0
834880fffffffff,2.0,0.0,0.0
834882fffffffff,5.0,1.0,0.0
834888fffffffff,1.0,0.0,0.0
83488afffffffff,2.0,0.0,0.0
83488dfffffffff,6.0,2.0,0.0
834890fffffffff,38.0,2.0,4.0
834891fffffffff,3.0,0.0,0.0
834892fffffffff,1.0,0.0,1.0
834893fffffffff,23.0,3.0,0.0
834895fffffffff,132.0,2.0,0.0
834898fffffffff,22.0,0.0,0.0
83489afffffffff,2.0,0.0,0.0
83489cfffffffff,10.0,0.0,0.0
83489efffffffff,34.0,0.0,0.0
8348a0fffffffff,1.0,0.0,0.0
8348abfffffffff,4.0,0.0,0.0
8348b1fffffffff,3.0,0.0,0.0
8348b2fffffffff,219.0,46.0,0.0
8348b3fffffffff,16.0,0.0,1.0
8348c0fffffffff,2.0,2.0,0.0
8348c3fffffffff,19.0,4.0,2.0
8348c5fffffffff,5.0,2.0,0.0
8348c8fffffffff,4.0,0.0,0.0
8348c9fffffffff,4.0,0.0,0.0
8348ccfffffffff,2.0,0.0,0.0
8348cefffffffff,4.0,0.0,0.0
8348d1fffffffff,21.0,11.0,0.0
8348d2fffffffff,2.0,2.0,0.0
8348d3fffffffff,19.0,8.0,0.0
8348d4fffffffff,6.0,0.0,0.0
8348d8fffffffff,22.0,8.0,0.0
8348dbfffffffff,2.0,2.0,0.0
8348ddfffffffff,1.0,1.0,0.0
8348e8fffffffff,63.0,16.0,0.0
8348e9fffffffff,9.0,3.0,0.0
8348eafffffffff,2.0,0.0,0.0
8348ebfffffffff,34.0,5.0,0.0
8348ecfffffffff,14.0,2.0,0.0
8348eefffffffff,8.0,3.0,0.0
8348f2fffffffff,4.0,0.0,0.0
8348f3fffffffff,3.0,0.0,0.0
8348f6fffffffff,1.0,0.0,0.0
834908fffffffff,2.0,2.0,0.0
83490bfffffffff,2.0,0.0,0.0
83498cfffffffff,2.0,0.0,0.0
834992fffffffff,4.0,0.0,0.0
834995fffffffff,37.0,6.0,0.0
834996fffffffff,5.0,0.0,0.0
8349a8fffffffff,3.0,0.0,0.0
8349b3fffffffff,3.0,1.0,0.0
834c83fffffffff,4.0,0.0,0.0
834c88fffffffff,3.0,0.0,0.0
834cb3fffffffff,7.0,0.0,0.0
834cc0fffffffff,10.0,0.0,0.0
834cc2fffffffff,2.0,0.0,0.0
834cc5fffffffff,29.0,4.0,0.0
834cd0fffffffff,2.0,0.0,0.0
834cd6fffffffff,3.0,0.0,0.0
834ce8fffffffff,3.0,0.0,0.0
834ceafffffffff,12.0,0.0,0.0
834ceefffffffff,2.0,0.0,0.0
834cf2fffffffff,1.0,0.0,0.0
835e4bfffffffff,2.0,0.0,0.0
835e5cfffffffff,2.0,2.0,0.0
835e5dfffffffff,2.0,0.0,0.0
836620fffffffff,1.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0
8366a5fffffffff,5.0,0.0,0.0
8366b4fffffffff,3.0,0.0,0.0
8366b5fffffffff,13.0,0.0,0.0
83670cfffffffff,2.0,0.0,0.0
836725fffffffff,24.0,20.0,0.0
836726fffffffff,2.0,2.0,0.0
836730fffffffff,2.0,2.0,0.0
836732fffffffff,8.0,4.0,0.0
836736fffffffff,13.0,13.0,0.0
836746fffffffff,3.0,0.0,0.0
