cell_id,Mimus gilvus,Mimus gilvus gracilis/leucophaeus,Mimus gilvus [gilvus Group],Mimus gilvus magnirostris
84661dbffffffff,5.0,0.0,0.0,0.0
84661ddffffffff,15.0,0.0,0.0,0.0
84661e9ffffffff,6.0,0.0,0.0,0.0
84661ebffffffff,41.0,0.0,0.0,0.0
8466201ffffffff,41.0,0.0,2.0,0.0
8466203ffffffff,12.0,0.0,0.0,0.0
8466205ffffffff,90.0,0.0,12.0,0.0
8466207ffffffff,4.0,0.0,0.0,0.0
846620bffffffff,2152.0,0.0,301.0,0.0
8466211ffffffff,8.0,0.0,0.0,0.0
8466213ffffffff,15.0,0.0,0.0,0.0
8466217ffffffff,228.0,0.0,22.0,0.0
8466219ffffffff,43.0,0.0,8.0,0.0
846621bffffffff,17.0,0.0,0.0,0.0
846621dffffffff,8.0,0.0,0.0,0.0
8466221ffffffff,86.0,0.0,15.0,0.0
8466225ffffffff,28.0,0.0,0.0,0.0
8466227ffffffff,7.0,0.0,0.0,0.0
846622bffffffff,74.0,0.0,7.0,0.0
8466231ffffffff,10.0,0.0,0.0,0.0
8466233ffffffff,2.0,0.0,0.0,0.0
8466239ffffffff,3.0,0.0,0.0,0.0
846623bffffffff,79.0,0.0,19.0,0.0
846623dffffffff,5.0,0.0,0.0,0.0
8466251ffffffff,13.0,0.0,2.0,0.0
8466257ffffffff,397.0,0.0,7.0,0.0
846625bffffffff,16.0,0.0,4.0,0.0
8466283ffffffff,6.0,0.0,0.0,0.0
8466289ffffffff,4.0,0.0,0.0,0.0
846628bffffffff,7.0,0.0,0.0,0.0
8466291ffffffff,193.0,0.0,0.0,0.0
8466293ffffffff,56.0,0.0,0.0,0.0
8466295ffffffff,20.0,0.0,0.0,0.0
8466297ffffffff,3.0,0.0,0.0,0.0
8466299ffffffff,31.0,0.0,3.0,0.0
846629bffffffff,33.0,0.0,0.0,0.0
846629dffffffff,96.0,0.0,3.0,0.0
84662a3ffffffff,1.0,0.0,0.0,0.0
84662a7ffffffff,17.0,0.0,0.0,0.0
84662b1ffffffff,3.0,0.0,0.0,0.0
84662b5ffffffff,87.0,0.0,0.0,0.0
84662b7ffffffff,103.0,0.0,1.0,0.0
84662b9ffffffff,4.0,0.0,0.0,0.0
84662bbffffffff,11.0,0.0,0.0,0.0
84662c1ffffffff,9.0,0.0,0.0,0.0
84662c5ffffffff,2.0,0.0,0.0,0.0
84662c9ffffffff,309.0,0.0,0.0,0.0
84662cdffffffff,41.0,0.0,0.0,0.0
84662d3ffffffff,13.0,0.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0,0.0
84662d9ffffffff,1.0,0.0,0.0,0.0
84662e1ffffffff,11.0,0.0,0.0,0.0
84662e5ffffffff,10.0,0.0,0.0,0.0
84662e9ffffffff,50.0,0.0,0.0,0.0
84662ebffffffff,2.0,0.0,0.0,0.0
84662edffffffff,3.0,0.0,0.0,0.0
8466311ffffffff,5.0,0.0,0.0,0.0
8466313ffffffff,35.0,0.0,0.0,0.0
846631bffffffff,7.0,0.0,0.0,0.0
846640dffffffff,4.0,0.0,0.0,0.0
8466411ffffffff,153.0,0.0,0.0,0.0
8466415ffffffff,93.0,0.0,0.0,0.0
8466417ffffffff,16.0,0.0,0.0,0.0
8466419ffffffff,1.0,0.0,0.0,0.0
846641dffffffff,49.0,0.0,0.0,0.0
846642dffffffff,1.0,0.0,0.0,0.0
8466441ffffffff,12.0,0.0,0.0,0.0
8466449ffffffff,3.0,0.0,0.0,0.0
846644bffffffff,1.0,0.0,0.0,0.0
846645dffffffff,13.0,0.0,0.0,0.0
8466463ffffffff,1.0,0.0,0.0,0.0
84664ebffffffff,1.0,0.0,0.0,0.0
8466501ffffffff,1.0,0.0,0.0,0.0
8466505ffffffff,44.0,0.0,0.0,0.0
8466507ffffffff,2.0,0.0,0.0,0.0
8466509ffffffff,15.0,0.0,0.0,0.0
846650dffffffff,7.0,0.0,0.0,0.0
8466521ffffffff,2.0,0.0,0.0,0.0
8466525ffffffff,6.0,0.0,0.0,0.0
8466529ffffffff,477.0,0.0,0.0,0.0
846652bffffffff,6.0,0.0,0.0,0.0
846652dffffffff,346.0,0.0,0.0,0.0
8466537ffffffff,5.0,0.0,0.0,0.0
8466541ffffffff,7.0,0.0,0.0,0.0
8466543ffffffff,8.0,0.0,0.0,0.0
8466545ffffffff,229.0,0.0,0.0,0.0
8466547ffffffff,15.0,0.0,0.0,0.0
8466549ffffffff,90.0,0.0,0.0,0.0
846654bffffffff,113.0,0.0,0.0,0.0
846654dffffffff,48.0,0.0,0.0,0.0
8466555ffffffff,1.0,0.0,0.0,0.0
846655dffffffff,2.0,0.0,0.0,0.0
8466561ffffffff,64.0,0.0,0.0,0.0
8466563ffffffff,10.0,0.0,0.0,0.0
8466565ffffffff,209.0,0.0,0.0,0.0
8466567ffffffff,31.0,0.0,0.0,0.0
8466569ffffffff,118.0,0.0,0.0,0.0
846656bffffffff,14.0,0.0,0.0,0.0
846656dffffffff,390.0,0.0,0.0,0.0
84665abffffffff,2.0,0.0,0.0,0.0
84665bdffffffff,2.0,0.0,0.0,0.0
8466601ffffffff,1.0,0.0,0.0,0.0
8466603ffffffff,10.0,0.0,0.0,0.0
846660dffffffff,9.0,0.0,0.0,0.0
846661dffffffff,3.0,0.0,0.0,0.0
8466623ffffffff,6.0,0.0,0.0,0.0
8466627ffffffff,2.0,0.0,0.0,0.0
8466631ffffffff,20.0,0.0,0.0,0.0
8466635ffffffff,2.0,0.0,0.0,0.0
8466637ffffffff,53.0,0.0,0.0,0.0
8466639ffffffff,56.0,0.0,0.0,0.0
846663dffffffff,36.0,0.0,0.0,0.0
8466641ffffffff,11.0,0.0,0.0,0.0
8466645ffffffff,8.0,0.0,0.0,0.0
8466647ffffffff,45.0,0.0,0.0,0.0
846664dffffffff,48.0,0.0,0.0,0.0
8466701ffffffff,1.0,0.0,0.0,0.0
8466705ffffffff,22.0,0.0,0.0,0.0
8466707ffffffff,2.0,0.0,0.0,0.0
8466709ffffffff,1.0,0.0,0.0,0.0
846670dffffffff,32.0,0.0,0.0,0.0
846671bffffffff,4.0,0.0,0.0,0.0
8466721ffffffff,6.0,0.0,0.0,0.0
8466723ffffffff,30.0,0.0,0.0,0.0
8466725ffffffff,28.0,0.0,0.0,0.0
8466727ffffffff,368.0,0.0,0.0,0.0
8466729ffffffff,8.0,0.0,0.0,0.0
8466733ffffffff,14.0,0.0,0.0,0.0
8466735ffffffff,51.0,0.0,0.0,0.0
8466737ffffffff,35.0,0.0,0.0,0.0
8466749ffffffff,2.0,0.0,0.0,0.0
846674bffffffff,6.0,0.0,0.0,0.0
8466759ffffffff,5.0,0.0,0.0,0.0
846675dffffffff,177.0,0.0,0.0,0.0
8466761ffffffff,2.0,0.0,0.0,0.0
8466763ffffffff,35.0,0.0,0.0,0.0
8466765ffffffff,12.0,0.0,3.0,0.0
8466769ffffffff,9.0,0.0,0.0,0.0
846676dffffffff,14.0,0.0,0.0,0.0
8466a01ffffffff,25.0,0.0,0.0,0.0
8466a03ffffffff,98.0,0.0,25.0,0.0
8466a05ffffffff,10.0,0.0,0.0,0.0
8466a07ffffffff,1.0,0.0,0.0,0.0
8466a09ffffffff,4.0,0.0,0.0,0.0
8466a0bffffffff,850.0,0.0,17.0,0.0
8466a15ffffffff,68.0,0.0,16.0,0.0
8466a17ffffffff,6.0,0.0,4.0,0.0
8466a1dffffffff,773.0,0.0,39.0,0.0
8466a21ffffffff,16.0,0.0,0.0,0.0
8466a25ffffffff,11.0,0.0,0.0,0.0
8466a27ffffffff,1.0,0.0,0.0,0.0
8466a2dffffffff,2.0,0.0,0.0,0.0
8466a31ffffffff,13.0,0.0,0.0,0.0
8466a33ffffffff,1.0,0.0,0.0,0.0
8466a35ffffffff,1.0,0.0,0.0,0.0
