cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
840e4c1ffffffff,6.0,0.0,0.0,0.0
840e4c3ffffffff,6.0,0.0,0.0,0.0
840e4c5ffffffff,23.0,0.0,0.0,0.0
840e4c7ffffffff,6.0,0.0,0.0,0.0
840e4cbffffffff,5.0,0.0,0.0,0.0
840e4cdffffffff,15.0,0.0,0.0,0.0
840e4d1ffffffff,17.0,0.0,0.0,0.0
840e4d3ffffffff,17.0,0.0,0.0,0.0
840e4dbffffffff,250.0,0.0,0.0,0.0
840e4ddffffffff,2.0,0.0,0.0,0.0
840e4e7ffffffff,7.0,0.0,0.0,0.0
840e515ffffffff,1.0,0.0,0.0,0.0
840e519ffffffff,1.0,0.0,0.0,0.0
840e51dffffffff,2.0,0.0,0.0,0.0
840e523ffffffff,43.0,0.0,0.0,0.0
840e52bffffffff,2.0,0.0,0.0,0.0
840e531ffffffff,51.0,0.0,0.0,0.0
840e535ffffffff,39.0,0.0,0.0,0.0
840e539ffffffff,2.0,0.0,0.0,0.0
840e53dffffffff,26.0,0.0,0.0,0.0
840e583ffffffff,14.0,0.0,0.0,0.0
840e591ffffffff,1.0,0.0,0.0,0.0
840e59bffffffff,9.0,0.0,0.0,0.0
840e59dffffffff,15.0,0.0,0.0,0.0
840e5a3ffffffff,2.0,0.0,0.0,0.0
840e5abffffffff,4.0,0.0,0.0,0.0
840e5adffffffff,1.0,0.0,0.0,0.0
840e5b1ffffffff,13.0,0.0,0.0,0.0
840e5b3ffffffff,22.0,0.0,0.0,0.0
840e5b7ffffffff,8.0,0.0,0.0,0.0
840e5b9ffffffff,2.0,0.0,0.0,0.0
840e5bbffffffff,2.0,0.0,0.0,0.0
840e603ffffffff,3.0,0.0,0.0,0.0
840e613ffffffff,2.0,0.0,0.0,0.0
840e623ffffffff,89.0,0.0,0.0,0.0
840e63dffffffff,30.0,0.0,0.0,0.0
840e64bffffffff,2.0,0.0,0.0,0.0
840e697ffffffff,7.0,0.0,0.0,0.0
840e6a1ffffffff,1.0,0.0,0.0,0.0
840e6a5ffffffff,2.0,0.0,0.0,0.0
840e6a9ffffffff,1.0,0.0,0.0,0.0
840e6adffffffff,5.0,0.0,0.0,0.0
840e6b1ffffffff,8.0,0.0,0.0,0.0
840e6b3ffffffff,11.0,0.0,0.0,0.0
840e6b5ffffffff,10.0,0.0,0.0,0.0
840e6b7ffffffff,2.0,0.0,0.0,0.0
840e6c9ffffffff,1.0,0.0,0.0,0.0
840e6cdffffffff,1.0,0.0,0.0,0.0
840e6e5ffffffff,3.0,0.0,0.0,0.0
840e6e7ffffffff,5.0,0.0,0.0,0.0
840e6e9ffffffff,3.0,0.0,0.0,0.0
840e805ffffffff,802.0,0.0,0.0,0.0
840e807ffffffff,29.0,0.0,0.0,0.0
840e831ffffffff,3.0,0.0,0.0,0.0
840e835ffffffff,2.0,0.0,0.0,0.0
840e83bffffffff,5.0,0.0,0.0,0.0
840e83dffffffff,1.0,0.0,0.0,0.0
840e891ffffffff,7.0,0.0,0.0,0.0
840e897ffffffff,5.0,0.0,0.0,0.0
840e89bffffffff,18.0,0.0,0.0,0.0
840e8d3ffffffff,4.0,0.0,0.0,0.0
840e8e1ffffffff,4.0,0.0,0.0,0.0
840e8e9ffffffff,4.0,0.0,0.0,0.0
840e911ffffffff,12.0,0.0,0.0,0.0
840e92dffffffff,2.0,0.0,0.0,0.0
840e945ffffffff,6.0,0.0,0.0,0.0
840e963ffffffff,3.0,0.0,0.0,0.0
840e969ffffffff,4.0,0.0,0.0,0.0
840e9a1ffffffff,11.0,0.0,0.0,0.0
840e9a7ffffffff,18.0,0.0,0.0,0.0
840e9ebffffffff,4.0,0.0,0.0,0.0
840eb37ffffffff,1.0,0.0,0.0,0.0
840ec0bffffffff,15.0,0.0,0.0,0.0
840ec15ffffffff,1.0,0.0,0.0,0.0
840ec19ffffffff,25.0,0.0,0.0,0.0
840ec1bffffffff,22.0,0.0,0.0,0.0
840ec21ffffffff,64.0,0.0,0.0,0.0
840ec23ffffffff,22.0,0.0,0.0,0.0
840ec27ffffffff,11.0,0.0,0.0,0.0
840ec29ffffffff,38.0,0.0,0.0,0.0
840ec2dffffffff,21.0,0.0,0.0,0.0
840ec31ffffffff,2.0,0.0,0.0,0.0
840ec33ffffffff,2.0,0.0,0.0,0.0
840ec57ffffffff,15.0,0.0,0.0,0.0
840ec6bffffffff,1.0,0.0,0.0,0.0
840ec81ffffffff,30.0,7.0,0.0,0.0
840ec83ffffffff,3.0,0.0,0.0,0.0
840ec85ffffffff,10.0,0.0,0.0,0.0
840ec87ffffffff,2.0,0.0,0.0,0.0
840ec8dffffffff,11.0,0.0,0.0,0.0
840ec91ffffffff,42.0,2.0,0.0,0.0
840ec93ffffffff,4.0,0.0,0.0,0.0
840ec95ffffffff,105.0,0.0,0.0,0.0
840ec97ffffffff,13.0,0.0,0.0,0.0
840ec99ffffffff,5.0,5.0,0.0,0.0
840ec9bffffffff,6.0,2.0,0.0,0.0
840ec9dffffffff,43.0,4.0,0.0,0.0
840eca1ffffffff,2.0,0.0,0.0,0.0
840eca3ffffffff,5.0,0.0,0.0,0.0
840eca5ffffffff,3.0,0.0,0.0,0.0
840eca7ffffffff,7.0,0.0,0.0,0.0
840ecabffffffff,13.0,0.0,0.0,0.0
840ecb3ffffffff,5.0,2.0,0.0,0.0
840ecb9ffffffff,150.0,0.0,0.0,0.0
840ecbdffffffff,16.0,0.0,0.0,0.0
840ecc1ffffffff,165.0,0.0,0.0,0.0
840ecc7ffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,1043.0,4.0,0.0,0.0
840eccdffffffff,5.0,0.0,0.0,0.0
840ecd1ffffffff,4.0,0.0,0.0,0.0
840ecd7ffffffff,85.0,23.0,0.0,0.0
840ed13ffffffff,3.0,0.0,0.0,0.0
840ed19ffffffff,7.0,0.0,0.0,0.0
840ed1bffffffff,2.0,0.0,0.0,0.0
840ed1dffffffff,2.0,0.0,0.0,0.0
840ed45ffffffff,15.0,0.0,0.0,0.0
840ed49ffffffff,7.0,0.0,0.0,0.0
840ed4dffffffff,14.0,0.0,0.0,0.0
840ed55ffffffff,4.0,0.0,0.0,0.0
840ed5dffffffff,1.0,0.0,0.0,0.0
840ed81ffffffff,2.0,0.0,0.0,0.0
840ed83ffffffff,1.0,0.0,0.0,0.0
840ed85ffffffff,8.0,0.0,0.0,0.0
840ed87ffffffff,1.0,0.0,0.0,0.0
