cell_id,Canachites canadensis,Canachites canadensis [canadensis Group],Canachites canadensis franklinii/isleibi,Canachites canadensis [canadensis Group] x franklinii/isleibi
8412ab7ffffffff,18.0,0.0,2.0,0.0
8412ab9ffffffff,2.0,0.0,2.0,0.0
8412ad1ffffffff,2.0,0.0,0.0,0.0
8412ad7ffffffff,9.0,0.0,3.0,0.0
8412aebffffffff,1.0,0.0,0.0,0.0
8412c01ffffffff,9.0,0.0,0.0,0.0
8412c03ffffffff,47.0,0.0,0.0,0.0
8412c07ffffffff,4.0,0.0,0.0,0.0
8412c09ffffffff,10.0,0.0,0.0,0.0
8412c0bffffffff,39.0,0.0,0.0,0.0
8412c11ffffffff,35.0,0.0,0.0,0.0
8412c13ffffffff,23.0,0.0,0.0,0.0
8412c15ffffffff,4.0,0.0,1.0,0.0
8412c17ffffffff,73.0,0.0,6.0,0.0
8412c19ffffffff,2.0,0.0,0.0,0.0
8412c1bffffffff,9.0,0.0,0.0,0.0
8412c1dffffffff,16.0,0.0,0.0,0.0
8412c21ffffffff,5.0,0.0,0.0,0.0
8412c23ffffffff,2.0,0.0,0.0,0.0
8412c31ffffffff,4.0,0.0,0.0,0.0
8412c33ffffffff,2.0,0.0,0.0,0.0
8412c35ffffffff,2.0,0.0,0.0,0.0
8412c39ffffffff,2.0,0.0,0.0,0.0
8412c3bffffffff,8.0,0.0,0.0,0.0
8412c3dffffffff,2.0,0.0,0.0,0.0
8412c47ffffffff,4.0,0.0,0.0,0.0
8412c49ffffffff,23.0,0.0,0.0,0.0
8412c4dffffffff,14.0,0.0,0.0,0.0
8412c55ffffffff,3.0,0.0,0.0,0.0
8412c5dffffffff,4.0,0.0,0.0,0.0
8412c85ffffffff,2.0,0.0,0.0,0.0
8412c87ffffffff,2.0,0.0,0.0,0.0
8412ca1ffffffff,17.0,0.0,2.0,0.0
8412ca3ffffffff,65.0,0.0,20.0,0.0
8412ca5ffffffff,3.0,0.0,1.0,0.0
8412ca7ffffffff,1.0,0.0,0.0,0.0
8412ca9ffffffff,3.0,0.0,0.0,0.0
8412cabffffffff,35.0,0.0,10.0,0.0
8412cb1ffffffff,30.0,0.0,3.0,0.0
8412cb5ffffffff,81.0,0.0,17.0,0.0
8412cb7ffffffff,3.0,0.0,2.0,0.0
8412cbdffffffff,62.0,0.0,6.0,0.0
8412ce1ffffffff,3.0,0.0,0.0,0.0
8412ce3ffffffff,3.0,0.0,0.0,0.0
8412ce5ffffffff,4.0,0.0,0.0,0.0
8412ce7ffffffff,13.0,0.0,0.0,0.0
8412ce9ffffffff,12.0,0.0,4.0,0.0
8412cebffffffff,5.0,0.0,0.0,0.0
8412d03ffffffff,7.0,0.0,0.0,0.0
8412d0dffffffff,2.0,0.0,0.0,0.0
8412d11ffffffff,14.0,0.0,0.0,0.0
8412d13ffffffff,1.0,0.0,0.0,0.0
8412d17ffffffff,24.0,0.0,0.0,0.0
8412d29ffffffff,1.0,0.0,0.0,0.0
8412d2dffffffff,2.0,0.0,0.0,0.0
8412d33ffffffff,5.0,0.0,0.0,0.0
8412d35ffffffff,2.0,0.0,0.0,0.0
8412d39ffffffff,1.0,0.0,0.0,0.0
8412d3bffffffff,4.0,0.0,0.0,0.0
8412d43ffffffff,1.0,0.0,0.0,0.0
8412d45ffffffff,3.0,0.0,0.0,0.0
8412d47ffffffff,2.0,0.0,0.0,0.0
8412d49ffffffff,1.0,0.0,0.0,0.0
8412d4bffffffff,2.0,0.0,0.0,0.0
8412d4dffffffff,2.0,0.0,0.0,0.0
8412d59ffffffff,4.0,0.0,0.0,0.0
8412d61ffffffff,7.0,0.0,0.0,0.0
8412d63ffffffff,2.0,0.0,0.0,0.0
8412d65ffffffff,4.0,0.0,0.0,0.0
8412d67ffffffff,4.0,0.0,0.0,0.0
8412d69ffffffff,6.0,0.0,0.0,0.0
8412d6bffffffff,7.0,0.0,0.0,0.0
8412d81ffffffff,2.0,0.0,0.0,0.0
8412d83ffffffff,14.0,0.0,6.0,0.0
8412d89ffffffff,6.0,0.0,0.0,0.0
8412d8bffffffff,25.0,0.0,0.0,0.0
8412d8dffffffff,1.0,0.0,0.0,0.0
8412d91ffffffff,2.0,0.0,0.0,0.0
8412d93ffffffff,1.0,0.0,0.0,0.0
8412d99ffffffff,18.0,0.0,3.0,0.0
8412d9dffffffff,10.0,0.0,0.0,0.0
8412da9ffffffff,6.0,0.0,0.0,0.0
8412dc1ffffffff,2.0,0.0,0.0,0.0
8412dc3ffffffff,4.0,0.0,0.0,0.0
8412dc5ffffffff,1.0,0.0,0.0,0.0
8412dc9ffffffff,13.0,0.0,0.0,0.0
8412dcbffffffff,4.0,0.0,0.0,0.0
8412dd3ffffffff,1.0,0.0,0.0,0.0
8412dd7ffffffff,7.0,0.0,0.0,0.0
8412dd9ffffffff,4.0,0.0,0.0,0.0
8412ddbffffffff,16.0,0.0,0.0,0.0
8412dddffffffff,2.0,0.0,0.0,0.0
8412de1ffffffff,2.0,0.0,0.0,0.0
8412de5ffffffff,21.0,0.0,0.0,0.0
8412de9ffffffff,4.0,0.0,0.0,0.0
8412debffffffff,6.0,0.0,0.0,0.0
8412dedffffffff,3.0,0.0,0.0,0.0
8412e07ffffffff,2.0,0.0,0.0,0.0
8412e19ffffffff,3.0,0.0,0.0,0.0
8412e21ffffffff,2.0,0.0,0.0,0.0
8412e25ffffffff,5.0,0.0,0.0,0.0
8412e27ffffffff,1.0,0.0,0.0,0.0
8412e2bffffffff,2.0,0.0,0.0,0.0
8412e31ffffffff,9.0,0.0,0.0,0.0
8412e3bffffffff,6.0,0.0,0.0,0.0
8412e3dffffffff,10.0,0.0,0.0,0.0
8412e53ffffffff,1.0,0.0,0.0,0.0
8412f01ffffffff,2.0,0.0,0.0,0.0
8412f05ffffffff,2.0,0.0,0.0,0.0
8412f0dffffffff,2.0,0.0,0.0,0.0
8412f11ffffffff,1.0,0.0,0.0,0.0
8412f13ffffffff,17.0,0.0,0.0,0.0
8412f15ffffffff,4.0,0.0,0.0,0.0
8412f19ffffffff,2.0,0.0,0.0,0.0
8412f1bffffffff,4.0,0.0,0.0,0.0
8412f21ffffffff,9.0,0.0,0.0,0.0
8412f29ffffffff,7.0,0.0,0.0,0.0
8412f2bffffffff,6.0,0.0,0.0,0.0
8412f37ffffffff,4.0,0.0,0.0,0.0
8412f43ffffffff,11.0,0.0,0.0,0.0
8412f53ffffffff,1.0,0.0,0.0,0.0
8412f5dffffffff,2.0,0.0,0.0,0.0
8412f61ffffffff,2.0,0.0,0.0,0.0
8412f63ffffffff,6.0,0.0,0.0,0.0
8412f65ffffffff,1.0,0.0,0.0,0.0
8412f67ffffffff,2.0,0.0,0.0,0.0
8412f69ffffffff,2.0,0.0,0.0,0.0
8412f6bffffffff,7.0,0.0,4.0,0.0
8413069ffffffff,1.0,0.0,0.0,0.0
84131b1ffffffff,2.0,0.0,0.0,0.0
84131b7ffffffff,2.0,0.0,0.0,0.0
8413505ffffffff,6.0,0.0,0.0,0.0
8413529ffffffff,6.0,0.0,0.0,0.0
8413805ffffffff,2.0,0.0,0.0,0.0
8413807ffffffff,4.0,0.0,0.0,0.0
8413809ffffffff,1.0,0.0,0.0,0.0
8413821ffffffff,2.0,0.0,0.0,0.0
8413823ffffffff,2.0,0.0,0.0,0.0
8413825ffffffff,3.0,0.0,0.0,0.0
8413829ffffffff,13.0,0.0,0.0,0.0
841382bffffffff,4.0,0.0,0.0,0.0
841382dffffffff,24.0,0.0,0.0,0.0
8413831ffffffff,1.0,0.0,0.0,0.0
8413835ffffffff,2.0,0.0,0.0,0.0
8413839ffffffff,11.0,0.0,0.0,0.0
841383dffffffff,68.0,0.0,0.0,0.0
8413843ffffffff,1.0,0.0,0.0,0.0
8413849ffffffff,2.0,0.0,0.0,0.0
841385dffffffff,2.0,0.0,0.0,0.0
8413861ffffffff,29.0,0.0,0.0,0.0
8413865ffffffff,4.0,0.0,0.0,0.0
8413867ffffffff,44.0,0.0,0.0,0.0
841386dffffffff,1.0,0.0,0.0,0.0
8413885ffffffff,4.0,0.0,0.0,0.0
841388dffffffff,2.0,0.0,0.0,0.0
8413893ffffffff,2.0,0.0,0.0,0.0
84138a5ffffffff,2.0,0.0,0.0,0.0
84138adffffffff,4.0,0.0,0.0,0.0
84138c1ffffffff,3.0,0.0,0.0,0.0
84138c3ffffffff,4.0,0.0,0.0,0.0
84138c5ffffffff,6.0,0.0,0.0,0.0
84138c7ffffffff,128.0,0.0,0.0,0.0
84138c9ffffffff,4.0,0.0,0.0,0.0
84138d3ffffffff,2.0,0.0,0.0,0.0
84138d5ffffffff,7.0,0.0,0.0,0.0
84138d7ffffffff,3.0,0.0,0.0,0.0
8413909ffffffff,1.0,0.0,0.0,0.0
8413943ffffffff,7.0,0.0,0.0,0.0
841394bffffffff,5.0,0.0,0.0,0.0
8413959ffffffff,2.0,0.0,0.0,0.0
841399bffffffff,2.0,0.0,0.0,0.0
84139c9ffffffff,7.0,0.0,0.0,0.0
8413a61ffffffff,2.0,0.0,0.0,0.0
8413a65ffffffff,4.0,0.0,0.0,0.0
8413a6bffffffff,2.0,0.0,0.0,0.0
8413a95ffffffff,8.0,0.0,0.0,0.0
8413aadffffffff,6.0,0.0,0.0,0.0
8413addffffffff,2.0,0.0,0.0,0.0
8413b03ffffffff,2.0,0.0,0.0,0.0
8413b11ffffffff,2.0,0.0,0.0,0.0
8413b19ffffffff,2.0,0.0,0.0,0.0
8413b1dffffffff,3.0,0.0,0.0,0.0
8413b21ffffffff,2.0,0.0,0.0,0.0
8413b23ffffffff,10.0,0.0,0.0,0.0
8413b29ffffffff,3.0,0.0,0.0,0.0
8413b33ffffffff,3.0,0.0,0.0,0.0
8413b35ffffffff,8.0,0.0,0.0,0.0
8413b37ffffffff,2.0,0.0,0.0,0.0
8413b53ffffffff,4.0,0.0,0.0,0.0
8413b63ffffffff,2.0,0.0,0.0,0.0
841aa45ffffffff,18.0,0.0,0.0,0.0
841aa47ffffffff,2.0,0.0,0.0,0.0
841aa69ffffffff,23.0,4.0,0.0,0.0
841aa6bffffffff,4.0,0.0,0.0,0.0
841b801ffffffff,1.0,0.0,0.0,0.0
841b835ffffffff,2.0,0.0,0.0,0.0
841b83dffffffff,2.0,0.0,0.0,0.0
841b845ffffffff,7.0,0.0,0.0,0.0
841b92dffffffff,3.0,0.0,0.0,0.0
841b993ffffffff,1.0,0.0,0.0,0.0
841b999ffffffff,2.0,0.0,0.0,0.0
841b9a7ffffffff,3.0,0.0,0.0,0.0
841b9adffffffff,4.0,0.0,0.0,0.0
841b9b7ffffffff,2.0,0.0,0.0,0.0
841b9c1ffffffff,2.0,0.0,0.0,0.0
841b9c9ffffffff,4.0,0.0,0.0,0.0
841b9e1ffffffff,10.0,0.0,0.0,0.0
841b9e3ffffffff,2.0,0.0,0.0,0.0
841b9ebffffffff,8.0,0.0,0.0,0.0
841bb07ffffffff,1.0,0.0,0.0,0.0
841bb31ffffffff,1.0,0.0,0.0,0.0
841bb33ffffffff,1.0,0.0,0.0,0.0
8427001ffffffff,24.0,0.0,0.0,0.0
8427003ffffffff,4.0,0.0,0.0,0.0
8427007ffffffff,2.0,0.0,0.0,0.0
8427013ffffffff,10.0,0.0,0.0,0.0
8427029ffffffff,7.0,0.0,0.0,0.0
842702bffffffff,3.0,0.0,0.0,0.0
8427031ffffffff,33.0,0.0,0.0,0.0
