cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
849772dffffffff,10.0,0.0,0.0
8497733ffffffff,7.0,0.0,0.0
849773bffffffff,1.0,0.0,0.0
8497743ffffffff,3.0,0.0,0.0
8497749ffffffff,1.0,0.0,0.0
849774dffffffff,4.0,0.0,0.0
8497751ffffffff,10.0,0.0,0.0
849775dffffffff,3.0,0.0,0.0
8497827ffffffff,2.0,0.0,0.0
84978b3ffffffff,1.0,0.0,0.0
84978cbffffffff,2.0,0.0,0.0
84978d3ffffffff,2.0,0.0,0.0
84978d9ffffffff,16.0,0.0,0.0
84978ddffffffff,2.0,0.0,0.0
8497913ffffffff,3.0,0.0,0.0
8497937ffffffff,2.0,0.0,0.0
8497945ffffffff,2.0,0.0,0.0
84979e9ffffffff,3.0,0.0,0.0
8497a81ffffffff,2.0,0.0,0.0
8497a85ffffffff,3.0,0.0,0.0
8497a8bffffffff,17.0,0.0,0.0
8497aa3ffffffff,7.0,0.0,0.0
8497aabffffffff,83.0,0.0,0.0
8497ab5ffffffff,1.0,0.0,0.0
8497ac7ffffffff,2.0,0.0,0.0
8497acbffffffff,1.0,0.0,0.0
84ac12dffffffff,1.0,0.0,0.0
84ac801ffffffff,67.0,0.0,0.0
84ac805ffffffff,28.0,0.0,0.0
84ac80dffffffff,2.0,0.0,0.0
84ac811ffffffff,4.0,0.0,0.0
84ac815ffffffff,3.0,0.0,0.0
84ac819ffffffff,3.0,0.0,0.0
84ac81bffffffff,6.0,0.0,0.0
84ac829ffffffff,3.0,0.0,0.0
84ac82dffffffff,57.0,0.0,7.0
84ac841ffffffff,7.0,0.0,0.0
84ac849ffffffff,2.0,0.0,0.0
84ac84dffffffff,8.0,0.0,0.0
84ac851ffffffff,4.0,0.0,0.0
84ac863ffffffff,62.0,0.0,0.0
84ac867ffffffff,207.0,0.0,0.0
84ac8a9ffffffff,13.0,0.0,0.0
84ac8e7ffffffff,2.0,0.0,0.0
84ac8e9ffffffff,3.0,0.0,0.0
84ac90dffffffff,4.0,0.0,0.0
84ac941ffffffff,2.0,0.0,0.0
84ac945ffffffff,1.0,0.0,1.0
84ac94dffffffff,2.0,0.0,0.0
84ac95bffffffff,6.0,0.0,0.0
84ac961ffffffff,37.0,0.0,0.0
84ac969ffffffff,21.0,0.0,1.0
84ac96dffffffff,39.0,0.0,0.0
84ac995ffffffff,9.0,0.0,0.0
84ac99dffffffff,2.0,0.0,0.0
84ac9d9ffffffff,4.0,0.0,0.0
84ac9dbffffffff,2.0,0.0,0.0
84aca07ffffffff,2.0,0.0,0.0
84aca21ffffffff,1.0,0.0,0.0
84aca27ffffffff,35.0,0.0,0.0
84aca35ffffffff,2.0,0.0,0.0
84aca39ffffffff,1.0,0.0,0.0
84aca3dffffffff,8.0,0.0,0.0
84aca41ffffffff,1.0,0.0,0.0
84aca45ffffffff,2.0,0.0,0.0
84aca47ffffffff,1.0,0.0,0.0
84aca4bffffffff,4.0,0.0,0.0
84aca4dffffffff,5.0,0.0,0.0
84aca61ffffffff,28.0,0.0,7.0
84aca63ffffffff,1.0,0.0,0.0
84aca67ffffffff,2.0,0.0,0.0
84aca69ffffffff,2.0,0.0,0.0
84aca6bffffffff,93.0,0.0,5.0
84aca6dffffffff,11.0,0.0,0.0
84acaa5ffffffff,14.0,0.0,0.0
84acae7ffffffff,4.0,0.0,0.0
84acb13ffffffff,2.0,0.0,0.0
84acb15ffffffff,5.0,0.0,0.0
84acb1bffffffff,16.0,0.0,0.0
84acb31ffffffff,3.0,0.0,1.0
84acb33ffffffff,5.0,0.0,0.0
84acb35ffffffff,7.0,0.0,0.0
84acb3bffffffff,2.0,0.0,0.0
84ad821ffffffff,6.0,0.0,1.0
84ad825ffffffff,3.0,0.0,0.0
84ad829ffffffff,4.0,0.0,0.0
84ad82dffffffff,16.0,0.0,0.0
84ad861ffffffff,12.0,0.0,4.0
84ad867ffffffff,6.0,0.0,0.0
84ad869ffffffff,8.0,0.0,0.0
84ad883ffffffff,1.0,0.0,0.0
84ad8b5ffffffff,2.0,0.0,0.0
84ad8b9ffffffff,3.0,0.0,0.0
84ad901ffffffff,1.0,0.0,0.0
84ad927ffffffff,2.0,0.0,0.0
84ad945ffffffff,1.0,0.0,0.0
84ad95bffffffff,1.0,0.0,1.0
84ad991ffffffff,2.0,0.0,0.0
84ad997ffffffff,1.0,0.0,0.0
84ad9a5ffffffff,4.0,0.0,0.0
84ad9d1ffffffff,1.0,0.0,0.0
84ad9d3ffffffff,6.0,0.0,0.0
84adb13ffffffff,2.0,0.0,0.0
84adb2bffffffff,8.0,0.0,0.0
84adb31ffffffff,3.0,0.0,1.0
84adb3bffffffff,1.0,0.0,0.0
84adb43ffffffff,2.0,0.0,0.0
84adb63ffffffff,4.0,0.0,0.0
84adb67ffffffff,1.0,0.0,0.0
84bc891ffffffff,26.0,0.0,0.0
84bc893ffffffff,6.0,0.0,0.0
84bc897ffffffff,4.0,0.0,0.0
84bc899ffffffff,2.0,0.0,0.0
84bc89bffffffff,2.0,0.0,0.0
84bc8b5ffffffff,1.0,0.0,0.0
84bc8b7ffffffff,3.0,0.0,0.0
84bc991ffffffff,26.0,0.0,0.0
84bc993ffffffff,8.0,0.0,0.0
84bc997ffffffff,6.0,0.0,2.0
84bc9b3ffffffff,3.0,0.0,0.0
84bc9bbffffffff,5.0,0.0,0.0
84bcc07ffffffff,2.0,0.0,2.0
84bcc15ffffffff,2.0,0.0,0.0
84bcc33ffffffff,2.0,0.0,0.0
84bcc6bffffffff,2.0,0.0,0.0
84bcc8dffffffff,2.0,0.0,0.0
84bcca1ffffffff,3.0,0.0,0.0
84bcca5ffffffff,75.0,0.0,34.0
84bcca7ffffffff,8.0,0.0,0.0
84bcca9ffffffff,1.0,0.0,1.0
84bccadffffffff,11.0,0.0,7.0
84bccb7ffffffff,2.0,0.0,0.0
84bcccbffffffff,2.0,0.0,0.0
84bcce1ffffffff,1.0,0.0,0.0
84bcd01ffffffff,2.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd05ffffffff,188.0,0.0,32.0
84bcd07ffffffff,4.0,0.0,0.0
84bcd0dffffffff,218.0,0.0,42.0
84bcd11ffffffff,20.0,0.0,0.0
84bcd13ffffffff,22.0,0.0,5.0
84bcd17ffffffff,8.0,0.0,4.0
84bcd19ffffffff,2.0,0.0,0.0
84bcd21ffffffff,595.0,0.0,95.0
84bcd23ffffffff,254.0,0.0,21.0
84bcd25ffffffff,279.0,0.0,72.0
84bcd27ffffffff,365.0,0.0,75.0
84bcd29ffffffff,894.0,0.0,109.0
84bcd2bffffffff,59.0,0.0,0.0
84bcd2dffffffff,200.0,0.0,41.0
84bcd35ffffffff,75.0,0.0,15.0
84bcd45ffffffff,9.0,0.0,0.0
84bcd4bffffffff,8.0,0.0,0.0
84bcd4dffffffff,8.0,0.0,0.0
84bcd53ffffffff,1.0,0.0,0.0
84bcd61ffffffff,4.0,0.0,0.0
84bcd63ffffffff,465.0,0.0,90.0
84bcd67ffffffff,254.0,0.0,37.0
84bcd69ffffffff,2.0,0.0,0.0
84bcd6dffffffff,103.0,0.0,0.0
84bcd81ffffffff,16.0,0.0,2.0
