cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
83bc44fffffffff,6.0,2.0,0.0,0.0
83bc45fffffffff,110.0,12.0,0.0,0.0
83bc46fffffffff,2.0,0.0,0.0,0.0
83bc49fffffffff,8.0,1.0,0.0,0.0
83bc4dfffffffff,10.0,0.0,0.0,0.0
83bc53fffffffff,1.0,0.0,0.0,0.0
83bc5efffffffff,2.0,0.0,0.0,0.0
83bc68fffffffff,7.0,3.0,0.0,0.0
83bc69fffffffff,8.0,0.0,0.0,0.0
83bc6afffffffff,10.0,0.0,0.0,0.0
83bc6bfffffffff,12.0,2.0,0.0,0.0
83bc71fffffffff,10.0,0.0,0.0,0.0
83bc72fffffffff,2.0,0.0,0.0,0.0
83bc73fffffffff,14.0,3.0,0.0,0.0
83bc89fffffffff,37.0,0.0,0.0,0.0
83bc8bfffffffff,2.0,0.0,0.0,0.0
83bc99fffffffff,13.0,0.0,0.0,0.0
83bc9bfffffffff,1.0,0.0,0.0,0.0
83bcc0fffffffff,1.0,0.0,0.0,0.0
83bcc1fffffffff,2.0,0.0,0.0,0.0
83bcc2fffffffff,100.0,10.0,0.0,0.0
83bcc3fffffffff,47.0,15.0,0.0,0.0
83bcc4fffffffff,6.0,0.0,0.0,0.0
83bcc6fffffffff,82.0,8.0,0.0,0.0
83bccafffffffff,2.0,0.0,0.0,0.0
83bcccfffffffff,4.0,0.0,0.0,0.0
83bccefffffffff,2.0,2.0,0.0,0.0
83bcd0fffffffff,69.0,21.0,0.0,0.0
83bcd1fffffffff,33.0,11.0,0.0,0.0
83bcd2fffffffff,353.0,57.0,0.0,0.0
83bcd3fffffffff,8.0,0.0,0.0,0.0
83bcd4fffffffff,52.0,24.0,0.0,0.0
83bcd5fffffffff,4.0,2.0,0.0,0.0
83bcd6fffffffff,243.0,18.0,0.0,0.0
83bcd8fffffffff,16.0,2.0,0.0,0.0
83bcdafffffffff,7.0,0.0,0.0,0.0
83bcdbfffffffff,2.0,0.0,0.0,0.0
83bcdcfffffffff,124.0,13.0,0.0,0.0
83bcddfffffffff,27.0,2.0,0.0,0.0
83bcdefffffffff,16.0,0.0,0.0,0.0
83bce2fffffffff,104.0,15.0,0.0,0.0
