cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
842db0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842db1dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842db2dffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8434697ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84351b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8438169ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8438429ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8438625ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
843863dffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8438699ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84386a1ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
84386a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8438753ffffffff,3.0,0.0,0.0,0.0,0.0,2.0
8438757ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
843875bffffffff,3.0,0.0,0.0,0.0,0.0,3.0
8439005ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843900bffffffff,7.0,3.0,0.0,0.0,0.0,0.0
843901dffffffff,46.0,29.0,0.0,0.0,0.0,0.0
8439029ffffffff,16.0,0.0,0.0,0.0,0.0,4.0
843902bffffffff,4.0,4.0,0.0,0.0,0.0,0.0
843902dffffffff,25.0,0.0,0.0,0.0,0.0,1.0
8439039ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843903dffffffff,11.0,8.0,0.0,0.0,0.0,0.0
8439041ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439047ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8439051ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8439057ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843905dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8439061ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843906bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843906dffffffff,6.0,0.0,0.0,0.0,0.0,2.0
8439089ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
843908bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843908dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84390c3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84390c5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84390cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84390e7ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
8439101ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8439103ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8439113ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8439115ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8439153ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439159ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843915bffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8439183ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8439195ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439197ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84391abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84391c5ffffffff,66.0,0.0,0.0,0.0,0.0,0.0
84391c7ffffffff,91.0,0.0,0.0,0.0,0.0,0.0
84391cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84391d1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84391d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84391e9ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84391ebffffffff,48.0,1.0,0.0,0.0,0.0,0.0
8439205ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8439221ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8439227ffffffff,61.0,6.0,0.0,0.0,0.0,0.0
8439233ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8439235ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8439237ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439239ffffffff,5.0,1.0,0.0,0.0,0.0,0.0
843923dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8439287ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843928dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8439293ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8439297ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843929bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843929dffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84392a1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84392a5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84392a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84392a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84392adffffffff,7.0,2.0,0.0,0.0,0.0,0.0
84392c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84392d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84392dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84392e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84392e5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8439313ffffffff,27.0,0.0,0.0,0.0,0.0,1.0
8439317ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843931bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8439331ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8439333ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8439337ffffffff,14.0,2.0,0.0,0.0,0.0,0.0
843933bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8439435ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8439447ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
843946dffffffff,7.0,0.0,0.0,0.0,0.0,5.0
8439541ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8439547ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439563ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8439567ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84395c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439701ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8439709ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
843970bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8439711ffffffff,9.0,1.0,0.0,0.0,0.0,4.0
843971bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439721ffffffff,61.0,0.0,0.0,0.0,0.0,0.0
8439729ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
843972dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439739ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8439741ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439743ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843974bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8439755ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843976dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439837ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84398e5ffffffff,4.0,0.0,0.0,0.0,0.0,4.0
8439a99ffffffff,6.0,0.0,0.0,0.0,0.0,6.0
8439ab9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843e451ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843e689ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
843e68dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843e6c9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843ee93ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843ee9bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
843f2ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843f34bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843f365ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
843f4d1ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
843f66bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843f681ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
843f68dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843f6ebffffffff,6.0,0.0,0.0,0.0,0.0,0.0
844360bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8452d41ffffffff,15.0,0.0,0.0,0.0,0.0,15.0
8453a43ffffffff,6.0,0.0,0.0,6.0,0.0,0.0
8453a4bffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8454141ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8454c43ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8454c4bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8454c51ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8454c53ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8454e8bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845974dffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8463325ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a413ffffffff,3.0,0.0,0.0,0.0,0.0,3.0
847a417ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a457ffffffff,3.0,0.0,0.0,0.0,0.0,3.0
847a641ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847a651ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
847a657ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
847a6b3ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
847a6e5ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
847a6e9ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
847acd5ffffffff,5.0,0.0,0.0,0.0,0.0,5.0
847b4c5ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
847b4c7ffffffff,21.0,0.0,0.0,0.0,0.0,16.0
847b4cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
847b595ffffffff,3.0,0.0,0.0,0.0,0.0,2.0
84972dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8497513ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8497517ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84aca6bffffffff,3.0,0.0,0.0,0.0,0.0,3.0
84ad365ffffffff,3.0,0.0,0.0,0.0,0.0,3.0
84bcc17ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84bcc23ffffffff,17.0,0.0,0.0,0.0,0.0,5.0
84bcc29ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84bcc35ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84bcc3dffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84bcd29ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84bcdc9ffffffff,9.0,0.0,0.0,0.0,0.0,7.0
