cell_id,Tachybaptus ruficollis,Tachybaptus ruficollis [ruficollis Group],Tachybaptus ruficollis [tricolor Group]
824007fffffffff,4.0,0.0,0.0
82400ffffffffff,14.0,0.0,0.0
824017fffffffff,4.0,0.0,0.0
82401ffffffffff,26.0,3.0,0.0
824027fffffffff,5.0,0.0,0.0
82402ffffffffff,76.0,5.0,0.0
824037fffffffff,10.0,0.0,0.0
824047fffffffff,136.0,13.0,0.0
82404ffffffffff,66.0,8.0,0.0
824057fffffffff,8.0,6.0,0.0
82405ffffffffff,53.0,7.0,0.0
824067fffffffff,9.0,0.0,0.0
82406ffffffffff,15.0,0.0,0.0
824077fffffffff,44.0,4.0,0.0
82408ffffffffff,28.0,0.0,0.0
824097fffffffff,25.0,1.0,0.0
82409ffffffffff,2.0,0.0,0.0
8240a7fffffffff,62.0,4.0,0.0
8240affffffffff,11.0,0.0,0.0
8240b7fffffffff,60.0,2.0,0.0
8240c7fffffffff,10.0,0.0,0.0
8240dffffffffff,9.0,0.0,0.0
8240e7fffffffff,205.0,29.0,0.0
82410ffffffffff,16.0,0.0,0.0
824117fffffffff,38.0,3.0,0.0
82411ffffffffff,1651.0,94.0,0.0
824147fffffffff,125.0,3.0,0.0
82414ffffffffff,39.0,0.0,0.0
824157fffffffff,33.0,0.0,0.0
82415ffffffffff,40.0,12.0,0.0
824167fffffffff,6.0,0.0,0.0
82416ffffffffff,68.0,7.0,0.0
824177fffffffff,102.0,29.0,0.0
824187fffffffff,67.0,7.0,0.0
82418ffffffffff,17.0,1.0,0.0
824197fffffffff,449.0,268.0,0.0
82419ffffffffff,238.0,37.0,0.0
8241a7fffffffff,3906.0,1496.0,0.0
8241affffffffff,3.0,0.0,0.0
8241b7fffffffff,701.0,44.0,0.0
824207fffffffff,6.0,0.0,0.0
824227fffffffff,4.0,0.0,0.0
824237fffffffff,5.0,0.0,0.0
82424ffffffffff,273.0,0.0,0.0
824257fffffffff,150.0,0.0,0.0
82425ffffffffff,410.0,0.0,0.0
82426ffffffffff,106.0,0.0,0.0
8242c7fffffffff,2948.0,0.0,0.0
8242cffffffffff,2411.0,0.0,0.0
8242d7fffffffff,17.0,0.0,0.0
8242dffffffffff,978.0,0.0,0.0
8242e7fffffffff,82.0,0.0,0.0
8242effffffffff,191.0,0.0,0.0
824317fffffffff,11.0,0.0,0.0
82431ffffffffff,95.0,0.0,0.0
824327fffffffff,17.0,0.0,0.0
824337fffffffff,11.0,0.0,0.0
824367fffffffff,125.0,0.0,0.0
824377fffffffff,2.0,0.0,0.0
82438ffffffffff,166.0,25.0,0.0
8243a7fffffffff,1284.0,53.0,0.0
8243affffffffff,1784.0,46.0,0.0
824a27fffffffff,30.0,1.0,0.0
824b0ffffffffff,2.0,0.0,0.0
824b27fffffffff,2.0,2.0,0.0
824b37fffffffff,62.0,37.0,0.0
824b57fffffffff,6.0,3.0,0.0
824b67fffffffff,128.0,35.0,0.0
824b6ffffffffff,2.0,0.0,0.0
824b77fffffffff,278.0,79.0,0.0
824b87fffffffff,494.0,35.0,0.0
824b97fffffffff,25.0,0.0,0.0
824b9ffffffffff,49.0,10.0,0.0
824ba7fffffffff,12904.0,661.0,0.0
824baffffffffff,11.0,4.0,0.0
824bb7fffffffff,20419.0,2366.0,0.0
825207fffffffff,43.0,0.0,0.0
825217fffffffff,22.0,0.0,0.0
82521ffffffffff,49.0,0.0,0.0
825237fffffffff,9.0,0.0,0.0
82524ffffffffff,172.0,59.0,0.0
82528ffffffffff,3.0,0.0,0.0
825297fffffffff,3.0,3.0,0.0
82529ffffffffff,123.0,7.0,0.0
82530ffffffffff,1.0,0.0,0.0
825327fffffffff,4.0,0.0,0.0
825347fffffffff,61.0,0.0,0.0
82534ffffffffff,48.0,0.0,0.0
825357fffffffff,10.0,0.0,0.0
825367fffffffff,54.0,0.0,0.0
82536ffffffffff,297.0,0.0,0.0
8253affffffffff,29.0,0.0,0.0
8253b7fffffffff,7.0,0.0,0.0
82540ffffffffff,2.0,0.0,0.0
825417fffffffff,84.0,20.0,0.0
82541ffffffffff,28.0,0.0,0.0
825437fffffffff,3.0,1.0,0.0
8254affffffffff,159.0,8.0,0.0
8254f7fffffffff,25.0,2.0,0.0
825537fffffffff,7.0,5.0,0.0
82585ffffffffff,2.0,0.0,0.0
825887fffffffff,2.0,0.0,0.0
825897fffffffff,13.0,0.0,0.0
8258d7fffffffff,1.0,0.0,0.0
8258dffffffffff,3.0,0.0,0.0
8258e7fffffffff,4.0,2.0,0.0
826007fffffffff,1270.0,0.0,0.0
826017fffffffff,15942.0,0.0,0.0
82601ffffffffff,420.0,0.0,0.0
826027fffffffff,3693.0,0.0,0.0
826037fffffffff,8216.0,0.0,0.0
826087fffffffff,226.0,0.0,0.0
82608ffffffffff,2781.0,0.0,0.0
826097fffffffff,1133.0,0.0,0.0
82609ffffffffff,672.0,0.0,0.0
8260a7fffffffff,391.0,0.0,0.0
8260affffffffff,995.0,0.0,0.0
8260b7fffffffff,2847.0,0.0,0.0
826107fffffffff,339.0,22.0,0.0
826117fffffffff,72.0,0.0,0.0
82611ffffffffff,766.0,3.0,0.0
82618ffffffffff,5222.0,0.0,0.0
82619ffffffffff,135.0,0.0,0.0
8261affffffffff,453.0,1.0,0.0
826327fffffffff,5.0,1.0,0.0
826337fffffffff,112.0,25.0,0.0
8263affffffffff,3.0,0.0,0.0
826417fffffffff,95.0,0.0,0.0
826427fffffffff,14.0,0.0,0.0
826437fffffffff,9.0,3.0,0.0
826487fffffffff,217.0,62.0,0.0
82648ffffffffff,59.0,10.0,0.0
826497fffffffff,481.0,122.0,0.0
82649ffffffffff,41.0,5.0,0.0
8264a7fffffffff,738.0,309.0,0.0
8264b7fffffffff,288.0,94.0,0.0
826507fffffffff,69.0,0.0,0.0
82651ffffffffff,174.0,28.0,0.0
826527fffffffff,13.0,0.0,0.0
826587fffffffff,455.0,33.0,0.0
82658ffffffffff,1280.0,434.0,0.0
826597fffffffff,22.0,0.0,0.0
82659ffffffffff,604.0,178.0,0.0
8265a7fffffffff,11.0,0.0,0.0
8265b7fffffffff,159.0,24.0,0.0
82681ffffffffff,10.0,0.0,0.0
82682ffffffffff,3.0,0.0,0.0
826867fffffffff,6.0,4.0,0.0
826877fffffffff,1.0,0.0,0.0
8268cffffffffff,6.0,0.0,0.0
8268d7fffffffff,11.0,0.0,11.0
8268dffffffffff,2.0,0.0,0.0
826947fffffffff,503.0,16.0,0.0
82694ffffffffff,32.0,0.0,0.0
82695ffffffffff,5.0,0.0,0.0
82696ffffffffff,36.0,1.0,0.0
826a4ffffffffff,2.0,0.0,0.0
826a5ffffffffff,9.0,0.0,0.0
826a6ffffffffff,2.0,0.0,0.0
826ac7fffffffff,96.0,3.0,0.0
826acffffffffff,62.0,1.0,0.0
826adffffffffff,125.0,0.0,0.0
