cell_id,Polioptila caerulea,Polioptila caerulea [obscura Group],Polioptila caerulea caerulea,Polioptila caerulea cozumelae
84281b5ffffffff,4.0,0.0,0.0,0.0
84281c3ffffffff,2.0,2.0,0.0,0.0
84281cbffffffff,9.0,0.0,0.0,0.0
84281d5ffffffff,2.0,0.0,0.0,0.0
84281e9ffffffff,12.0,0.0,0.0,0.0
84281ebffffffff,2.0,2.0,0.0,0.0
84281edffffffff,5.0,0.0,0.0,0.0
8428301ffffffff,19.0,0.0,0.0,0.0
8428303ffffffff,16.0,0.0,0.0,0.0
8428305ffffffff,1.0,0.0,0.0,0.0
8428307ffffffff,25.0,0.0,0.0,0.0
8428309ffffffff,121.0,2.0,0.0,0.0
842830bffffffff,4.0,0.0,0.0,0.0
842830dffffffff,46.0,0.0,0.0,0.0
8428313ffffffff,8.0,0.0,0.0,0.0
8428317ffffffff,2.0,0.0,0.0,0.0
8428321ffffffff,4.0,1.0,0.0,0.0
8428323ffffffff,4.0,0.0,0.0,0.0
8428327ffffffff,25.0,0.0,0.0,0.0
8428329ffffffff,18.0,0.0,0.0,0.0
842832bffffffff,51.0,0.0,0.0,0.0
842832dffffffff,1.0,0.0,0.0,0.0
8428339ffffffff,14.0,0.0,0.0,0.0
842833bffffffff,5.0,0.0,0.0,0.0
842833dffffffff,4.0,0.0,0.0,0.0
8428341ffffffff,12.0,0.0,0.0,0.0
8428343ffffffff,34.0,0.0,0.0,0.0
8428345ffffffff,53.0,0.0,0.0,0.0
8428347ffffffff,41.0,0.0,0.0,0.0
842834dffffffff,25.0,9.0,0.0,0.0
8428355ffffffff,164.0,0.0,0.0,0.0
8428357ffffffff,18.0,0.0,0.0,0.0
8428361ffffffff,6.0,0.0,0.0,0.0
8428363ffffffff,52.0,0.0,0.0,0.0
8428367ffffffff,66.0,0.0,0.0,0.0
8428369ffffffff,2.0,0.0,0.0,0.0
842836bffffffff,25.0,0.0,0.0,0.0
8428841ffffffff,3.0,0.0,0.0,0.0
8428843ffffffff,14.0,0.0,0.0,0.0
8428847ffffffff,5.0,0.0,0.0,0.0
842884dffffffff,2.0,0.0,0.0,0.0
842888bffffffff,2.0,0.0,0.0,0.0
8428895ffffffff,2.0,0.0,0.0,0.0
842889bffffffff,7.0,1.0,0.0,0.0
8428907ffffffff,1.0,0.0,0.0,0.0
842891dffffffff,5.0,0.0,0.0,0.0
8428931ffffffff,28.0,0.0,0.0,0.0
8428935ffffffff,4.0,0.0,0.0,0.0
8428941ffffffff,3.0,0.0,0.0,0.0
842894dffffffff,2.0,0.0,0.0,0.0
8428a91ffffffff,8.0,0.0,0.0,0.0
8428a93ffffffff,3.0,0.0,0.0,0.0
8428a95ffffffff,41.0,0.0,0.0,0.0
8428a97ffffffff,44.0,0.0,0.0,0.0
8428a9dffffffff,2.0,0.0,0.0,0.0
8428aa5ffffffff,2.0,0.0,0.0,0.0
8428abbffffffff,2.0,0.0,0.0,0.0
8428ad7ffffffff,7.0,0.0,0.0,0.0
8428addffffffff,1.0,0.0,0.0,0.0
8428ae9ffffffff,5.0,0.0,0.0,0.0
8428b07ffffffff,4.0,0.0,0.0,0.0
8428b09ffffffff,5.0,0.0,0.0,0.0
8428b0dffffffff,4.0,0.0,0.0,0.0
8428b21ffffffff,1.0,0.0,0.0,0.0
8428b23ffffffff,2.0,0.0,0.0,0.0
8428b2bffffffff,15.0,0.0,0.0,0.0
8428b31ffffffff,1.0,1.0,0.0,0.0
8428b61ffffffff,2.0,0.0,0.0,0.0
8428b63ffffffff,3.0,0.0,0.0,0.0
8428b69ffffffff,1.0,0.0,0.0,0.0
8428b6dffffffff,5.0,0.0,0.0,0.0
