cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
8312f1fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
8312f2fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8312f3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312f4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312f5fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8312f6fffffffff,1195.0,0.0,0.0,0.0,0.0,0.0
831311fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831313fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831352fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
831382fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
831383fffffffff,140.0,0.0,0.0,0.0,0.0,0.0
831386fffffffff,1364.0,0.0,0.0,0.0,0.0,0.0
831389fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83138cfffffffff,115.0,0.0,0.0,0.0,0.0,0.0
83138dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
831391fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
831393fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
831394fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831396fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
831398fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83139bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,587.0,0.0,0.0,0.0,0.0,0.0
8313a2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8313a3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8313a6fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8313a9fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8313b0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8313b1fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8313b2fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8313b3fffffffff,331.0,0.0,0.0,0.0,0.0,0.0
8313b6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831aa0fffffffff,148.0,0.0,0.0,0.0,0.0,0.0
831aa2fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
831aa3fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
831aa4fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
831aa6fffffffff,88.0,0.0,0.0,0.0,0.0,0.0
831b83fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
