cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
8426969ffffffff,11.0,0.0,0.0,0.0
842696bffffffff,39.0,0.0,10.0,0.0
8426981ffffffff,2.0,0.0,0.0,0.0
8426983ffffffff,3.0,0.0,0.0,0.0
8426987ffffffff,11.0,0.0,2.0,0.0
8426989ffffffff,8.0,0.0,0.0,0.0
8426991ffffffff,2.0,0.0,0.0,0.0
8426995ffffffff,42.0,0.0,2.0,0.0
8426997ffffffff,1.0,0.0,0.0,0.0
842699bffffffff,9.0,0.0,0.0,0.0
842699dffffffff,4.0,0.0,0.0,0.0
84269abffffffff,4.0,0.0,0.0,0.0
84269b9ffffffff,4.0,0.0,0.0,0.0
84269bbffffffff,8.0,0.0,0.0,0.0
84269c1ffffffff,63.0,0.0,0.0,0.0
84269c5ffffffff,2.0,0.0,0.0,0.0
84269cdffffffff,45.0,0.0,0.0,0.0
84269d1ffffffff,6.0,0.0,0.0,0.0
84269d5ffffffff,3.0,0.0,0.0,0.0
84269d7ffffffff,2.0,0.0,0.0,0.0
84269d9ffffffff,5.0,0.0,0.0,0.0
84269e1ffffffff,3.0,0.0,0.0,0.0
84269ebffffffff,2.0,0.0,0.0,0.0
8426a2bffffffff,2.0,0.0,0.0,0.0
8426a81ffffffff,2.0,2.0,0.0,0.0
8426a87ffffffff,18.0,2.0,2.0,0.0
8426a8bffffffff,10.0,1.0,0.0,0.0
8426a91ffffffff,1.0,0.0,0.0,0.0
8426a95ffffffff,6.0,6.0,0.0,0.0
8426a97ffffffff,1.0,1.0,0.0,0.0
8426a9dffffffff,6.0,3.0,0.0,0.0
8426aa5ffffffff,6.0,0.0,0.0,0.0
8426aa7ffffffff,9.0,1.0,0.0,0.0
8426aa9ffffffff,20.0,3.0,5.0,0.0
8426aabffffffff,28.0,11.0,2.0,0.0
8426aadffffffff,16.0,2.0,0.0,0.0
8426ab3ffffffff,5.0,2.0,0.0,0.0
8426ab5ffffffff,8.0,0.0,1.0,0.0
8426ab7ffffffff,15.0,3.0,0.0,0.0
8426abbffffffff,11.0,4.0,0.0,3.0
8426ac5ffffffff,1.0,0.0,0.0,0.0
