cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
84be8d5ffffffff,239.0,0.0,239.0
84be8d7ffffffff,455.0,0.0,455.0
84be8d9ffffffff,1733.0,0.0,1733.0
84be8dbffffffff,1135.0,0.0,1135.0
84be8ddffffffff,116.0,0.0,116.0
84bea91ffffffff,102.0,0.0,102.0
84bea93ffffffff,22.0,0.0,22.0
84bea95ffffffff,376.0,0.0,375.0
84bea97ffffffff,134.0,0.0,134.0
84bea9bffffffff,3.0,0.0,3.0
84beab3ffffffff,1792.0,0.0,1787.0
84beab7ffffffff,4.0,0.0,4.0
84beabbffffffff,360.0,0.0,360.0
84bec07ffffffff,3.0,0.0,3.0
84bec17ffffffff,1.0,0.0,1.0
84bec41ffffffff,1.0,0.0,1.0
84bec4dffffffff,6.0,0.0,6.0
84bec61ffffffff,2.0,0.0,2.0
84bec63ffffffff,2.0,0.0,2.0
84bece9ffffffff,2.0,0.0,2.0
84bed25ffffffff,6.0,0.0,6.0
84bed2dffffffff,1.0,0.0,1.0
84bed41ffffffff,1.0,0.0,1.0
84bed45ffffffff,22.0,0.0,22.0
84bed47ffffffff,4.0,0.0,4.0
84bed59ffffffff,6.0,0.0,6.0
84bedcbffffffff,2.0,0.0,2.0
84bedcdffffffff,2.0,0.0,2.0
84bede5ffffffff,16.0,0.0,16.0
84bededffffffff,13.0,0.0,13.0
84bee01ffffffff,54.0,0.0,54.0
84bee03ffffffff,1.0,0.0,1.0
84bee05ffffffff,6.0,0.0,6.0
84bee07ffffffff,5.0,0.0,5.0
84bee29ffffffff,3.0,0.0,3.0
84bee2bffffffff,11.0,0.0,11.0
84bee2dffffffff,24.0,0.0,24.0
84bee3dffffffff,1.0,0.0,1.0
84bee41ffffffff,9.0,0.0,9.0
84bee49ffffffff,8.0,0.0,8.0
84bee4bffffffff,18.0,0.0,18.0
84bee4dffffffff,5.0,0.0,5.0
84bee51ffffffff,12.0,0.0,12.0
84bee53ffffffff,5.0,0.0,5.0
84bee55ffffffff,12.0,0.0,12.0
84bee57ffffffff,1.0,0.0,1.0
84bee5bffffffff,10.0,0.0,10.0
84bee5dffffffff,5.0,0.0,5.0
84bee61ffffffff,10.0,0.0,10.0
84bee65ffffffff,4.0,0.0,4.0
84bee67ffffffff,14.0,0.0,14.0
84bee6bffffffff,3.0,0.0,3.0
84bee6dffffffff,18.0,0.0,18.0
84beea7ffffffff,2.0,0.0,2.0
84beecdffffffff,3.0,0.0,3.0
84bef01ffffffff,15.0,0.0,15.0
84bef03ffffffff,6.0,0.0,6.0
84bef05ffffffff,121.0,0.0,121.0
84bef07ffffffff,36.0,0.0,36.0
84bef09ffffffff,16.0,0.0,16.0
84bef0bffffffff,6.0,0.0,6.0
84bef0dffffffff,340.0,0.0,340.0
84bef21ffffffff,24.0,0.0,24.0
84bef23ffffffff,3.0,0.0,3.0
84bef25ffffffff,27.0,0.0,27.0
84bef27ffffffff,4.0,0.0,4.0
84bef29ffffffff,3.0,0.0,3.0
84bef2bffffffff,13.0,0.0,13.0
84bef2dffffffff,332.0,0.0,332.0
84bef31ffffffff,1.0,0.0,1.0
84bef35ffffffff,4.0,0.0,4.0
84bef3dffffffff,6.0,0.0,6.0
84bef41ffffffff,29.0,0.0,29.0
84bef43ffffffff,13.0,0.0,13.0
84bef45ffffffff,7.0,0.0,7.0
84bef47ffffffff,15.0,0.0,15.0
84bef49ffffffff,5.0,0.0,5.0
84bef4dffffffff,4.0,0.0,4.0
84bef51ffffffff,5.0,0.0,5.0
84bef53ffffffff,6.0,0.0,6.0
84bef57ffffffff,2.0,0.0,2.0
84bef59ffffffff,3.0,0.0,3.0
84bef5dffffffff,39.0,0.0,39.0
84bef61ffffffff,54.0,0.0,54.0
84bef63ffffffff,64.0,0.0,64.0
84bef65ffffffff,170.0,0.0,170.0
84bef67ffffffff,234.0,0.0,234.0
84bef69ffffffff,16.0,0.0,16.0
84bef6bffffffff,31.0,0.0,31.0
84bef6dffffffff,292.0,0.0,292.0
84bf481ffffffff,16.0,0.0,16.0
84bf483ffffffff,34.0,0.0,34.0
84bf485ffffffff,43.0,0.0,43.0
84bf487ffffffff,77.0,0.0,77.0
84bf489ffffffff,2.0,0.0,2.0
84bf48bffffffff,4.0,0.0,4.0
84bf48dffffffff,4.0,0.0,4.0
84bf491ffffffff,15.0,0.0,15.0
84bf493ffffffff,2.0,0.0,2.0
84bf495ffffffff,7.0,0.0,7.0
84bf497ffffffff,13.0,0.0,13.0
84bf499ffffffff,2.0,0.0,2.0
84bf49bffffffff,17.0,0.0,17.0
84bf49dffffffff,39.0,0.0,39.0
84bf4a1ffffffff,2.0,0.0,2.0
84bf4a5ffffffff,6.0,0.0,6.0
84bf4a9ffffffff,10.0,0.0,10.0
84bf4abffffffff,9.0,0.0,9.0
84bf4adffffffff,11.0,0.0,11.0
84bf4b1ffffffff,126.0,0.0,126.0
84bf4b3ffffffff,53.0,0.0,53.0
84bf4b9ffffffff,439.0,0.0,438.0
84bf4bbffffffff,116.0,0.0,116.0
84bf4bdffffffff,40.0,0.0,40.0
84bf4c1ffffffff,59.0,0.0,59.0
84bf4c3ffffffff,30.0,0.0,30.0
84bf4c5ffffffff,30.0,0.0,30.0
84bf4c7ffffffff,5.0,0.0,5.0
84bf4c9ffffffff,47.0,0.0,47.0
84bf4cbffffffff,157.0,0.0,157.0
84bf4d1ffffffff,6.0,0.0,6.0
84bf4d3ffffffff,2.0,0.0,2.0
84bf4d5ffffffff,71.0,0.0,71.0
84bf4d9ffffffff,28.0,0.0,28.0
84bf4ddffffffff,322.0,0.0,322.0
84bf4e1ffffffff,1.0,0.0,1.0
84bf4e3ffffffff,19.0,0.0,19.0
84bf4e7ffffffff,47.0,0.0,47.0
84bf4ebffffffff,37.0,0.0,37.0
84bf599ffffffff,6.0,0.0,6.0
84bf59bffffffff,2.0,0.0,2.0
84bf6b3ffffffff,24.0,0.0,24.0
84bf6b5ffffffff,8.0,0.0,8.0
84bf6b7ffffffff,475.0,0.0,475.0
84bf8b9ffffffff,201.0,0.0,201.0
84c9805ffffffff,59.0,59.0,0.0
84c9821ffffffff,43.0,43.0,0.0
84c9823ffffffff,28.0,28.0,0.0
84c9825ffffffff,20.0,20.0,0.0
84c9827ffffffff,168.0,168.0,0.0
84c9829ffffffff,8.0,8.0,0.0
84c982bffffffff,17.0,17.0,0.0
84c982dffffffff,150.0,150.0,0.0
84c983dffffffff,8.0,8.0,0.0
84c9861ffffffff,56.0,56.0,0.0
84c9863ffffffff,52.0,52.0,0.0
84c9865ffffffff,19.0,19.0,0.0
84c9867ffffffff,9.0,9.0,0.0
84c9869ffffffff,139.0,139.0,0.0
84c986bffffffff,33.0,33.0,0.0
84c986dffffffff,58.0,58.0,0.0
84c9901ffffffff,48.0,48.0,0.0
84c9903ffffffff,2.0,2.0,0.0
84c9905ffffffff,232.0,232.0,0.0
84c990bffffffff,8.0,8.0,0.0
84c990dffffffff,1.0,1.0,0.0
84c9911ffffffff,6.0,6.0,0.0
84c9913ffffffff,5.0,5.0,0.0
84c9915ffffffff,10.0,10.0,0.0
84c9917ffffffff,30.0,30.0,0.0
84c991bffffffff,87.0,87.0,0.0
84c991dffffffff,6.0,6.0,0.0
84c9921ffffffff,4.0,4.0,0.0
84c9923ffffffff,142.0,142.0,0.0
84c9925ffffffff,6.0,6.0,0.0
84c9927ffffffff,112.0,112.0,0.0
84c992bffffffff,22.0,22.0,0.0
84c9931ffffffff,144.0,144.0,0.0
84c9935ffffffff,64.0,64.0,0.0
84c9939ffffffff,7.0,7.0,0.0
84c993bffffffff,9.0,9.0,0.0
84c993dffffffff,13.0,13.0,0.0
84c9943ffffffff,2.0,2.0,0.0
84c9951ffffffff,4.0,4.0,0.0
84c9953ffffffff,4.0,4.0,0.0
84c9957ffffffff,11.0,11.0,0.0
84c9959ffffffff,2.0,2.0,0.0
84c995bffffffff,13.0,13.0,0.0
84c9963ffffffff,2.0,2.0,0.0
84c996dffffffff,2.0,2.0,0.0
84c99c1ffffffff,45.0,45.0,0.0
84c99c5ffffffff,40.0,40.0,0.0
84c99c7ffffffff,23.0,23.0,0.0
84c99c9ffffffff,19.0,19.0,0.0
84c99cdffffffff,18.0,18.0,0.0
84c99e9ffffffff,9.0,9.0,0.0
84c99ebffffffff,32.0,32.0,0.0
84c9b03ffffffff,11.0,11.0,0.0
84c9b05ffffffff,5.0,5.0,0.0
84c9b07ffffffff,4.0,4.0,0.0
84c9b15ffffffff,1.0,1.0,0.0
84c9b17ffffffff,216.0,216.0,0.0
84c9b23ffffffff,2.0,2.0,0.0
84c9b29ffffffff,1.0,1.0,0.0
84c9b2dffffffff,2.0,2.0,0.0
84c9b31ffffffff,40.0,40.0,0.0
84c9b33ffffffff,159.0,159.0,0.0
84c9b39ffffffff,3.0,3.0,0.0
84c9b3bffffffff,4.0,4.0,0.0
84c9b3dffffffff,3.0,3.0,0.0
84c9b63ffffffff,10.0,10.0,0.0
84d8925ffffffff,38.0,0.0,38.0
84d892dffffffff,8.0,0.0,8.0
84d8961ffffffff,15.0,0.0,15.0
84d8965ffffffff,10.0,0.0,10.0
84d896dffffffff,32.0,0.0,32.0
84d8b65ffffffff,12.0,0.0,12.0
