cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
8320e6fffffffff,13.0,2.0,0.0,0.0,0.0
8320e8fffffffff,2.0,0.0,0.0,0.0,0.0
8320eefffffffff,2.0,0.0,0.0,0.0,0.0
8320f2fffffffff,1.0,0.0,0.0,0.0,0.0
832180fffffffff,1.0,0.0,0.0,0.0,0.0
832186fffffffff,1.0,0.0,0.0,0.0,0.0
832199fffffffff,1.0,0.0,0.0,0.0,0.0
83219cfffffffff,1.0,0.0,0.0,0.0,0.0
8321a2fffffffff,4.0,0.0,0.0,0.0,0.0
83240afffffffff,2.0,0.0,0.0,0.0,0.0
83244bfffffffff,13.0,8.0,0.0,0.0,0.0
832482fffffffff,4.0,2.0,0.0,0.0,0.0
83248afffffffff,2.0,0.0,0.0,0.0,0.0
8324c0fffffffff,2.0,0.0,0.0,0.0,0.0
8324d5fffffffff,1.0,0.0,0.0,0.0,0.0
8324e8fffffffff,2.0,0.0,0.0,0.0,0.0
8324e9fffffffff,1.0,1.0,0.0,0.0,0.0
8325b0fffffffff,1.0,0.0,0.0,0.0,0.0
8325b4fffffffff,8.0,4.0,0.0,0.0,0.0
832600fffffffff,20.0,0.0,0.0,0.0,0.0
832601fffffffff,12.0,0.0,0.0,0.0,0.0
832602fffffffff,17.0,0.0,0.0,0.0,0.0
832603fffffffff,13.0,0.0,0.0,0.0,0.0
832604fffffffff,28.0,0.0,0.0,0.0,0.0
832605fffffffff,11.0,0.0,0.0,0.0,0.0
832606fffffffff,25.0,0.0,0.0,0.0,0.0
832608fffffffff,4.0,0.0,0.0,0.0,0.0
83260afffffffff,42.0,0.0,0.0,0.0,0.0
83260bfffffffff,49.0,0.0,0.0,0.0,0.0
83260cfffffffff,5.0,0.0,0.0,0.0,0.0
83260efffffffff,22.0,0.0,0.0,0.0,0.0
832610fffffffff,14.0,0.0,0.0,0.0,0.0
832611fffffffff,24.0,0.0,0.0,0.0,0.0
832612fffffffff,5.0,0.0,0.0,0.0,0.0
832613fffffffff,22.0,0.0,0.0,0.0,0.0
