cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
838b44fffffffff,311.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0
838b46fffffffff,33.0,0.0,0.0
838b48fffffffff,2.0,1.0,0.0
838b4efffffffff,23.0,0.0,0.0
838b50fffffffff,6.0,0.0,0.0
838b51fffffffff,39.0,3.0,0.0
838b52fffffffff,13.0,0.0,0.0
838b56fffffffff,59.0,0.0,0.0
838b5cfffffffff,87.0,9.0,0.0
838b5dfffffffff,12.0,0.0,0.0
838b61fffffffff,178.0,2.0,0.0
838b62fffffffff,33.0,0.0,0.0
838b63fffffffff,156.0,0.0,0.0
838b69fffffffff,24.0,0.0,0.0
838b6cfffffffff,147.0,0.0,0.0
838b6efffffffff,38.0,0.0,0.0
838b71fffffffff,372.0,0.0,0.0
838b72fffffffff,3.0,0.0,0.0
838b74fffffffff,12.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838b76fffffffff,2.0,0.0,0.0
838b82fffffffff,2.0,0.0,0.0
838b83fffffffff,1.0,1.0,0.0
838b84fffffffff,56.0,2.0,0.0
838b88fffffffff,15.0,0.0,0.0
838b93fffffffff,2.0,0.0,0.0
838b99fffffffff,7.0,0.0,0.0
838b9cfffffffff,1.0,0.0,0.0
838b9dfffffffff,54.0,0.0,0.0
838ba0fffffffff,13.0,0.0,0.0
838ba2fffffffff,5.0,0.0,0.0
838ba4fffffffff,1.0,0.0,0.0
838ba5fffffffff,4.0,0.0,0.0
838ba6fffffffff,150.0,2.0,0.0
838bacfffffffff,1.0,1.0,0.0
838bb4fffffffff,3.0,2.0,0.0
838bb5fffffffff,429.0,19.0,0.0
838e64fffffffff,103.0,0.0,0.0
838e65fffffffff,35.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0
838f40fffffffff,251.0,0.0,0.0
838f41fffffffff,1.0,0.0,0.0
838f42fffffffff,9.0,0.0,0.0
838f43fffffffff,35.0,0.0,0.0
838f44fffffffff,11.0,0.0,0.0
838f46fffffffff,162.0,0.0,0.0
838f48fffffffff,79.0,0.0,0.0
838f4afffffffff,28.0,0.0,0.0
838f4bfffffffff,33.0,0.0,0.0
838f4cfffffffff,17.0,0.0,0.0
838f4efffffffff,3.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f55fffffffff,7.0,0.0,0.0
838f5dfffffffff,7.0,0.0,0.0
838f61fffffffff,205.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
838f6cfffffffff,10.0,0.0,0.0
838f6efffffffff,20.0,0.0,0.0
838f71fffffffff,1.0,0.0,0.0
838f73fffffffff,17.0,0.0,0.0
83a801fffffffff,25.0,9.0,0.0
83a802fffffffff,18.0,6.0,0.0
83a803fffffffff,15.0,9.0,0.0
83a806fffffffff,1.0,0.0,0.0
83a808fffffffff,3.0,1.0,0.0
83a809fffffffff,10.0,0.0,0.0
83a80afffffffff,3.0,0.0,0.0
83a80bfffffffff,13.0,0.0,0.0
83a80cfffffffff,24.0,13.0,0.0
83a80dfffffffff,9.0,8.0,0.0
83a80efffffffff,27.0,7.0,0.0
83a810fffffffff,98.0,30.0,0.0
83a811fffffffff,309.0,127.0,0.0
83a812fffffffff,4.0,0.0,0.0
83a813fffffffff,269.0,223.0,0.0
83a814fffffffff,23.0,13.0,0.0
83a815fffffffff,2.0,0.0,0.0
83a818fffffffff,453.0,328.0,0.0
83a819fffffffff,186.0,48.0,0.0
83a81afffffffff,108.0,49.0,0.0
83a81bfffffffff,185.0,83.0,0.0
83a81cfffffffff,290.0,71.0,0.0
83a81dfffffffff,58.0,37.0,0.0
83a81efffffffff,1874.0,381.0,0.0
83a821fffffffff,2.0,2.0,0.0
83a828fffffffff,6.0,6.0,0.0
83a829fffffffff,84.0,9.0,0.0
83a82afffffffff,7.0,7.0,0.0
83a82bfffffffff,20.0,17.0,0.0
83a82cfffffffff,3.0,2.0,0.0
83a82dfffffffff,6.0,0.0,0.0
83a82efffffffff,2.0,2.0,0.0
83a840fffffffff,263.0,35.0,0.0
83a841fffffffff,30.0,20.0,0.0
83a842fffffffff,12.0,3.0,0.0
83a843fffffffff,1.0,1.0,0.0
83a844fffffffff,25.0,7.0,0.0
83a845fffffffff,69.0,0.0,0.0
83a846fffffffff,73.0,8.0,0.0
83a848fffffffff,1.0,0.0,0.0
83a849fffffffff,1.0,0.0,0.0
83a84afffffffff,9.0,2.0,0.0
83a84dfffffffff,5.0,0.0,0.0
83a84efffffffff,11.0,3.0,0.0
83a851fffffffff,3.0,0.0,0.0
83a852fffffffff,6.0,0.0,0.0
83a853fffffffff,3.0,3.0,0.0
83a855fffffffff,120.0,36.0,0.0
83a856fffffffff,2.0,1.0,0.0
83a859fffffffff,859.0,42.0,0.0
83a85afffffffff,8.0,0.0,0.0
83a85bfffffffff,18.0,2.0,0.0
83a85dfffffffff,525.0,10.0,0.0
83a860fffffffff,10.0,1.0,0.0
83a861fffffffff,4.0,0.0,0.0
83a862fffffffff,19.0,1.0,0.0
83a863fffffffff,3.0,2.0,0.0
83a864fffffffff,21.0,0.0,0.0
83a865fffffffff,56.0,0.0,0.0
83a866fffffffff,4.0,0.0,0.0
83a868fffffffff,4.0,0.0,0.0
83a869fffffffff,10.0,0.0,0.0
83a86afffffffff,2.0,0.0,0.0
83a86bfffffffff,15.0,0.0,0.0
83a86cfffffffff,10.0,0.0,0.0
83a86dfffffffff,14.0,0.0,0.0
83a86efffffffff,7.0,0.0,0.0
83a870fffffffff,20.0,15.0,0.0
83a871fffffffff,7.0,3.0,0.0
83a872fffffffff,5.0,4.0,0.0
83a873fffffffff,50.0,23.0,0.0
83a874fffffffff,2.0,1.0,0.0
83a875fffffffff,7.0,3.0,0.0
83a876fffffffff,31.0,27.0,0.0
83a883fffffffff,1.0,1.0,0.0
83a888fffffffff,2.0,0.0,2.0
83a88afffffffff,5.0,2.0,3.0
83a88bfffffffff,2.0,0.0,2.0
83a88efffffffff,2.0,0.0,0.0
83a89bfffffffff,6.0,0.0,6.0
83a8a1fffffffff,13.0,0.0,0.0
83a8a2fffffffff,5.0,0.0,0.0
83a8a3fffffffff,2.0,0.0,0.0
83a8a8fffffffff,2.0,0.0,0.0
83a8a9fffffffff,23.0,2.0,0.0
83a8aafffffffff,1.0,0.0,0.0
83a8acfffffffff,5.0,3.0,0.0
83a8adfffffffff,44.0,16.0,0.0
83a8aefffffffff,4.0,2.0,0.0
83a8c0fffffffff,168.0,61.0,0.0
83a8c1fffffffff,1.0,1.0,0.0
83a8c2fffffffff,21.0,5.0,0.0
83a8c3fffffffff,2.0,0.0,0.0
83a8c4fffffffff,18.0,0.0,0.0
83a8c5fffffffff,4.0,0.0,0.0
83a8c6fffffffff,5.0,0.0,0.0
83a8c9fffffffff,2.0,2.0,0.0
83a8cafffffffff,3.0,1.0,0.0
83a8ccfffffffff,7.0,1.0,0.0
83a8cdfffffffff,2.0,0.0,0.0
83a8cefffffffff,2.0,0.0,0.0
83a8d1fffffffff,43.0,11.0,0.0
83a8d4fffffffff,4.0,0.0,0.0
83a8d5fffffffff,1.0,0.0,0.0
83a8dafffffffff,2.0,0.0,0.0
83a8dcfffffffff,2.0,1.0,0.0
83a8ddfffffffff,6.0,0.0,0.0
83a8defffffffff,1.0,0.0,0.0
83a8e0fffffffff,4.0,4.0,0.0
83a8e1fffffffff,1.0,0.0,0.0
83a8e4fffffffff,10.0,0.0,0.0
83a8e5fffffffff,4.0,4.0,0.0
83a8e6fffffffff,65.0,30.0,0.0
83a8e8fffffffff,1.0,1.0,0.0
83a8eafffffffff,2.0,2.0,0.0
83a8ecfffffffff,56.0,4.0,0.0
83a8f0fffffffff,2.0,0.0,0.0
83a8f1fffffffff,5.0,2.0,0.0
83a8f4fffffffff,57.0,17.0,0.0
83a8f5fffffffff,19.0,16.0,0.0
