cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
8426943ffffffff,63.0,0.0,0.0
8426945ffffffff,105.0,0.0,0.0
8426947ffffffff,440.0,0.0,0.0
842694dffffffff,83.0,0.0,0.0
8426951ffffffff,62.0,0.0,0.0
8426953ffffffff,32.0,0.0,0.0
8426955ffffffff,20.0,0.0,0.0
8426957ffffffff,5.0,0.0,0.0
8426959ffffffff,28.0,0.0,0.0
842695bffffffff,32.0,0.0,0.0
842695dffffffff,28.0,0.0,0.0
8426961ffffffff,85.0,0.0,0.0
8426963ffffffff,466.0,0.0,0.0
8426965ffffffff,19.0,0.0,0.0
8426967ffffffff,98.0,0.0,0.0
8426969ffffffff,250.0,0.0,0.0
842696bffffffff,4288.0,0.0,0.0
8426981ffffffff,74.0,15.0,0.0
8426983ffffffff,319.0,9.0,0.0
8426985ffffffff,21.0,0.0,0.0
8426987ffffffff,421.0,4.0,0.0
8426989ffffffff,356.0,15.0,0.0
842698bffffffff,432.0,17.0,0.0
842698dffffffff,26.0,4.0,0.0
8426991ffffffff,215.0,5.0,0.0
8426993ffffffff,21.0,2.0,0.0
8426995ffffffff,501.0,26.0,0.0
8426997ffffffff,21.0,0.0,0.0
8426999ffffffff,91.0,9.0,0.0
842699bffffffff,338.0,20.0,0.0
842699dffffffff,366.0,48.0,0.0
84269a1ffffffff,22.0,0.0,0.0
84269a3ffffffff,1.0,0.0,0.0
84269a7ffffffff,2.0,0.0,0.0
84269a9ffffffff,120.0,0.0,0.0
84269abffffffff,7.0,0.0,0.0
84269adffffffff,10.0,0.0,0.0
84269b1ffffffff,14.0,0.0,0.0
84269b5ffffffff,19.0,8.0,0.0
84269b7ffffffff,30.0,13.0,0.0
84269b9ffffffff,126.0,0.0,0.0
84269bbffffffff,30.0,2.0,0.0
84269bdffffffff,11.0,2.0,0.0
84269c1ffffffff,470.0,0.0,0.0
84269c3ffffffff,15.0,0.0,0.0
84269c5ffffffff,243.0,0.0,0.0
84269c7ffffffff,254.0,5.0,0.0
84269c9ffffffff,25.0,0.0,0.0
84269cbffffffff,902.0,0.0,0.0
84269cdffffffff,263.0,0.0,0.0
84269d1ffffffff,134.0,23.0,0.0
84269d3ffffffff,41.0,8.0,0.0
84269d5ffffffff,320.0,8.0,0.0
84269d7ffffffff,368.0,31.0,0.0
84269d9ffffffff,418.0,51.0,0.0
84269dbffffffff,32.0,0.0,0.0
84269ddffffffff,373.0,29.0,0.0
84269e1ffffffff,41.0,0.0,0.0
84269e3ffffffff,8.0,0.0,0.0
84269e5ffffffff,2.0,0.0,0.0
84269e7ffffffff,4.0,0.0,0.0
84269e9ffffffff,37.0,0.0,0.0
84269ebffffffff,168.0,0.0,0.0
84269edffffffff,2.0,0.0,0.0
8426a07ffffffff,12.0,0.0,0.0
8426a15ffffffff,20.0,0.0,0.0
8426a17ffffffff,3.0,0.0,0.0
8426a21ffffffff,7.0,0.0,0.0
8426a27ffffffff,5.0,0.0,0.0
8426a2bffffffff,111.0,2.0,0.0
8426a31ffffffff,3.0,0.0,0.0
8426a33ffffffff,22.0,0.0,0.0
8426a39ffffffff,5.0,0.0,0.0
8426a3bffffffff,4.0,0.0,0.0
8426a3dffffffff,8.0,0.0,0.0
8426a6dffffffff,72.0,2.0,0.0
8426a87ffffffff,20.0,2.0,0.0
8426a8bffffffff,4.0,2.0,0.0
8426aa1ffffffff,12.0,0.0,0.0
8426aa5ffffffff,500.0,21.0,0.0
8426aa7ffffffff,61.0,4.0,0.0
8426aa9ffffffff,1.0,0.0,0.0
8426aabffffffff,61.0,4.0,0.0
8426aadffffffff,58.0,0.0,0.0
8426abdffffffff,4.0,0.0,0.0
8426ae1ffffffff,2.0,2.0,0.0
8426ae3ffffffff,2.0,0.0,0.0
8426ae7ffffffff,345.0,0.0,0.0
8426aedffffffff,2.0,0.0,0.0
8426b01ffffffff,58.0,3.0,0.0
8426b03ffffffff,23.0,0.0,0.0
8426b05ffffffff,14.0,3.0,0.0
8426b09ffffffff,13.0,0.0,0.0
8426b0bffffffff,173.0,0.0,0.0
8426b0dffffffff,69.0,7.0,0.0
8426b1bffffffff,3.0,0.0,0.0
8426b1dffffffff,23.0,0.0,0.0
8426b21ffffffff,2.0,0.0,0.0
8426b23ffffffff,41.0,3.0,0.0
8426b25ffffffff,19.0,0.0,0.0
8426b27ffffffff,5.0,0.0,0.0
8426b29ffffffff,16.0,0.0,0.0
8426b2dffffffff,6.0,0.0,0.0
8426b33ffffffff,4.0,0.0,0.0
8426b37ffffffff,1.0,0.0,0.0
8426b41ffffffff,27.0,0.0,0.0
8426b45ffffffff,70.0,0.0,0.0
8426b47ffffffff,235.0,0.0,0.0
8426b49ffffffff,6.0,0.0,0.0
8426b4dffffffff,4.0,0.0,0.0
8426b51ffffffff,2.0,0.0,0.0
8426b57ffffffff,38.0,0.0,0.0
8426b5dffffffff,7.0,0.0,0.0
8426b61ffffffff,294.0,14.0,0.0
8426b63ffffffff,171.0,30.0,0.0
8426b65ffffffff,26.0,0.0,0.0
8426b67ffffffff,27.0,3.0,0.0
8426b69ffffffff,1224.0,60.0,0.0
8426b6bffffffff,11.0,0.0,0.0
8426b6dffffffff,261.0,16.0,0.0
8426d25ffffffff,4.0,0.0,0.0
8426d45ffffffff,52.0,0.0,0.0
8426d47ffffffff,5.0,0.0,0.0
8426d6bffffffff,13.0,0.0,0.0
8426d6dffffffff,13.0,0.0,0.0
8426f25ffffffff,4.0,0.0,0.0
8427813ffffffff,2.0,0.0,0.0
842782dffffffff,4.0,0.0,0.0
84278e3ffffffff,1.0,0.0,0.0
8427901ffffffff,6.0,0.0,0.0
8427905ffffffff,7.0,0.0,0.0
8427907ffffffff,28.0,0.0,0.0
8427911ffffffff,23.0,0.0,0.0
8427915ffffffff,24.0,0.0,0.0
8427917ffffffff,13.0,0.0,0.0
842791bffffffff,5.0,0.0,0.0
842791dffffffff,19.0,0.0,0.0
8427921ffffffff,154.0,0.0,0.0
8427923ffffffff,180.0,0.0,0.0
8427925ffffffff,71.0,0.0,0.0
8427927ffffffff,2295.0,54.0,0.0
8427929ffffffff,46.0,0.0,0.0
842792bffffffff,40.0,0.0,0.0
842792dffffffff,13.0,0.0,0.0
8427931ffffffff,8.0,0.0,0.0
8427933ffffffff,17.0,0.0,0.0
8427935ffffffff,45.0,0.0,0.0
8427937ffffffff,31.0,0.0,0.0
8427939ffffffff,6.0,0.0,0.0
842793dffffffff,8.0,0.0,0.0
8427953ffffffff,24.0,0.0,0.0
8427957ffffffff,2.0,0.0,0.0
842795bffffffff,98.0,7.0,0.0
842795dffffffff,1.0,0.0,0.0
8427965ffffffff,19.0,1.0,0.0
8427981ffffffff,7.0,0.0,0.0
8427985ffffffff,14.0,0.0,0.0
8427987ffffffff,13.0,0.0,0.0
842798dffffffff,9.0,0.0,0.0
8427995ffffffff,73.0,0.0,0.0
8427997ffffffff,60.0,0.0,0.0
8427999ffffffff,2.0,0.0,0.0
84279a1ffffffff,116.0,2.0,0.0
84279a3ffffffff,9.0,0.0,0.0
84279a5ffffffff,343.0,32.0,0.0
84279a7ffffffff,21.0,0.0,0.0
84279a9ffffffff,52.0,0.0,0.0
84279abffffffff,133.0,0.0,0.0
84279adffffffff,92.0,0.0,0.0
84279b3ffffffff,2.0,0.0,0.0
84279b9ffffffff,27.0,0.0,0.0
84279bbffffffff,24.0,3.0,0.0
84279c5ffffffff,10.0,0.0,0.0
84279e7ffffffff,15.0,0.0,0.0
84279ebffffffff,2.0,0.0,0.0
8428021ffffffff,812.0,0.0,0.0
8428023ffffffff,4.0,0.0,0.0
8428025ffffffff,27.0,0.0,0.0
8428027ffffffff,37.0,0.0,0.0
8428029ffffffff,16.0,0.0,0.0
842802bffffffff,1.0,0.0,0.0
842802dffffffff,8.0,0.0,0.0
8428065ffffffff,139.0,0.0,0.0
8428067ffffffff,5.0,0.0,0.0
842806dffffffff,223.0,0.0,0.0
8428101ffffffff,5.0,0.0,0.0
8428103ffffffff,92.0,0.0,0.0
8428105ffffffff,18.0,0.0,0.0
8428107ffffffff,39.0,0.0,0.0
8428109ffffffff,751.0,0.0,17.0
842810bffffffff,171.0,0.0,0.0
842810dffffffff,391.0,0.0,0.0
8428111ffffffff,2847.0,0.0,0.0
8428113ffffffff,59.0,0.0,0.0
8428115ffffffff,84.0,0.0,0.0
8428117ffffffff,177.0,0.0,0.0
8428119ffffffff,36.0,0.0,0.0
842811bffffffff,89.0,0.0,0.0
842811dffffffff,133.0,0.0,0.0
8428121ffffffff,2.0,0.0,0.0
8428123ffffffff,253.0,0.0,10.0
8428127ffffffff,1.0,0.0,0.0
8428129ffffffff,106.0,0.0,0.0
842812bffffffff,218.0,0.0,0.0
8428131ffffffff,67.0,0.0,0.0
8428133ffffffff,88.0,0.0,0.0
8428135ffffffff,34.0,0.0,0.0
8428137ffffffff,46.0,0.0,0.0
8428139ffffffff,117.0,0.0,0.0
842813bffffffff,71.0,0.0,0.0
842813dffffffff,32.0,0.0,2.0
8428141ffffffff,1390.0,0.0,0.0
8428143ffffffff,1327.0,0.0,6.0
8428145ffffffff,441.0,0.0,0.0
8428147ffffffff,509.0,0.0,0.0
8428149ffffffff,158.0,0.0,0.0
842814bffffffff,51.0,0.0,0.0
842814dffffffff,2689.0,0.0,0.0
8428153ffffffff,4.0,0.0,0.0
8428155ffffffff,523.0,0.0,7.0
8428163ffffffff,3.0,0.0,0.0
8428169ffffffff,2.0,0.0,0.0
842816bffffffff,148.0,0.0,0.0
842816dffffffff,1.0,0.0,0.0
8428189ffffffff,6.0,0.0,0.0
842818dffffffff,6.0,0.0,0.0
84281a5ffffffff,499.0,0.0,0.0
84281a9ffffffff,2.0,0.0,0.0
84281abffffffff,2.0,0.0,0.0
84281adffffffff,211.0,0.0,0.0
84281c1ffffffff,46.0,0.0,0.0
84281c3ffffffff,17.0,0.0,0.0
84281c5ffffffff,13.0,0.0,0.0
84281c7ffffffff,46.0,0.0,0.0
84281c9ffffffff,25.0,0.0,0.0
84281cbffffffff,13.0,0.0,0.0
84281cdffffffff,11.0,0.0,0.0
84281e1ffffffff,416.0,0.0,0.0
84281e3ffffffff,16.0,0.0,0.0
84281e5ffffffff,1128.0,0.0,0.0
84281e7ffffffff,657.0,0.0,0.0
84281e9ffffffff,1090.0,0.0,0.0
84281ebffffffff,16.0,0.0,0.0
84281edffffffff,737.0,0.0,0.0
8428321ffffffff,3.0,0.0,0.0
8428323ffffffff,1.0,0.0,0.0
8428325ffffffff,929.0,0.0,116.0
8428327ffffffff,530.0,0.0,0.0
842832dffffffff,79.0,0.0,6.0
8428333ffffffff,52.0,0.0,0.0
842833bffffffff,105.0,0.0,0.0
8428365ffffffff,12.0,0.0,0.0
8428367ffffffff,3.0,0.0,0.0
8428801ffffffff,252.0,0.0,0.0
8428803ffffffff,32.0,0.0,0.0
8428805ffffffff,46.0,0.0,0.0
8428807ffffffff,131.0,0.0,0.0
8428809ffffffff,57.0,0.0,0.0
842880bffffffff,5.0,0.0,0.0
842880dffffffff,169.0,0.0,0.0
8428811ffffffff,100.0,0.0,0.0
8428813ffffffff,348.0,0.0,0.0
8428815ffffffff,49.0,0.0,0.0
8428817ffffffff,717.0,0.0,0.0
8428819ffffffff,18.0,0.0,0.0
842881bffffffff,156.0,0.0,0.0
842881dffffffff,19.0,0.0,0.0
8428821ffffffff,3.0,0.0,0.0
8428823ffffffff,2.0,0.0,0.0
8428825ffffffff,17.0,0.0,0.0
8428829ffffffff,6.0,0.0,0.0
842882bffffffff,3.0,0.0,0.0
842882dffffffff,20.0,0.0,0.0
8428831ffffffff,10.0,0.0,0.0
8428833ffffffff,8.0,0.0,0.0
8428835ffffffff,6.0,0.0,0.0
8428839ffffffff,718.0,0.0,0.0
842883bffffffff,89.0,0.0,0.0
842883dffffffff,10.0,0.0,0.0
8428841ffffffff,116.0,0.0,0.0
8428843ffffffff,331.0,0.0,0.0
8428845ffffffff,13.0,0.0,0.0
8428847ffffffff,2189.0,0.0,0.0
8428849ffffffff,31.0,0.0,0.0
842884bffffffff,35.0,0.0,0.0
842884dffffffff,47.0,0.0,0.0
8428855ffffffff,14.0,0.0,0.0
8428857ffffffff,6.0,0.0,0.0
842885bffffffff,6.0,0.0,0.0
842885dffffffff,28.0,0.0,0.0
8428861ffffffff,220.0,0.0,0.0
8428863ffffffff,291.0,0.0,0.0
8428865ffffffff,15.0,0.0,0.0
8428867ffffffff,21.0,0.0,0.0
8428869ffffffff,5.0,0.0,0.0
842886bffffffff,6.0,0.0,0.0
842886dffffffff,345.0,0.0,0.0
8428881ffffffff,6.0,0.0,0.0
8428885ffffffff,8.0,0.0,0.0
8428889ffffffff,6.0,0.0,0.0
842888dffffffff,50.0,0.0,0.0
8428891ffffffff,9.0,0.0,0.0
8428893ffffffff,347.0,0.0,0.0
8428899ffffffff,2.0,0.0,0.0
842889bffffffff,96.0,0.0,0.0
84288a1ffffffff,134.0,0.0,0.0
84288a3ffffffff,15.0,0.0,0.0
84288a5ffffffff,292.0,0.0,0.0
84288a7ffffffff,10.0,0.0,0.0
84288a9ffffffff,27.0,0.0,0.0
84288adffffffff,373.0,0.0,0.0
84288b7ffffffff,31.0,0.0,0.0
84288c1ffffffff,200.0,0.0,0.0
84288c3ffffffff,2.0,0.0,0.0
84288c5ffffffff,1029.0,0.0,0.0
84288c7ffffffff,43.0,0.0,0.0
84288c9ffffffff,76.0,0.0,0.0
84288cbffffffff,83.0,0.0,0.0
84288cdffffffff,191.0,0.0,0.0
84288d1ffffffff,5.0,0.0,0.0
84288d3ffffffff,81.0,0.0,0.0
84288d5ffffffff,4.0,0.0,0.0
84288d9ffffffff,4.0,0.0,0.0
84288dbffffffff,26.0,0.0,0.0
84288e1ffffffff,50.0,0.0,0.0
