cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
832b2afffffffff,343.0,0.0,0.0
832b2cfffffffff,340.0,0.0,0.0
832b2efffffffff,487.0,0.0,0.0
832b30fffffffff,1741.0,0.0,0.0
832b31fffffffff,1655.0,0.0,0.0
832b32fffffffff,380.0,0.0,0.0
832b33fffffffff,440.0,0.0,0.0
832b34fffffffff,815.0,0.0,0.0
832b35fffffffff,30.0,0.0,0.0
832b36fffffffff,350.0,0.0,0.0
832ba5fffffffff,1.0,0.0,0.0
