cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
842e881ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
842e889ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
842e88bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842e8c7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842ea8bffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842ea9bffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842ea9dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842eac1ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
842eac3ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
842eac7ffffffff,20.0,0.0,20.0,0.0,0.0,0.0,0.0
842eac9ffffffff,140.0,0.0,140.0,0.0,0.0,0.0,0.0
842eacbffffffff,99.0,0.0,99.0,0.0,0.0,0.0,0.0
842ead1ffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0
842ead3ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842ead5ffffffff,19.0,0.0,19.0,0.0,0.0,0.0,0.0
842ead7ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842ead9ffffffff,164.0,0.0,164.0,0.0,0.0,0.0,0.0
842eadbffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842eaddffffffff,47.0,0.0,47.0,0.0,0.0,0.0,0.0
842ec03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec81ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec91ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec99ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec9bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842ecb9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
842ecbbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
