cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
83652dfffffffff,1.0,0.0,0.0
836581fffffffff,2.0,0.0,0.0
836583fffffffff,4.0,0.0,0.0
836584fffffffff,39.0,0.0,0.0
836585fffffffff,6.0,0.0,0.0
836586fffffffff,1.0,0.0,0.0
836588fffffffff,16.0,0.0,0.0
836589fffffffff,5.0,0.0,0.0
83658afffffffff,17.0,0.0,0.0
83658bfffffffff,9.0,3.0,0.0
83658efffffffff,163.0,0.0,0.0
836590fffffffff,1.0,0.0,0.0
836591fffffffff,1.0,0.0,0.0
836599fffffffff,46.0,0.0,0.0
83659cfffffffff,7.0,0.0,0.0
8365a2fffffffff,4.0,0.0,0.0
8365b0fffffffff,18.0,0.0,0.0
8365b1fffffffff,1.0,0.0,0.0
8365b2fffffffff,27.0,0.0,0.0
8365b3fffffffff,4.0,0.0,0.0
8365b6fffffffff,24.0,0.0,0.0
836802fffffffff,7.0,0.0,0.0
836811fffffffff,42.0,0.0,0.0
836812fffffffff,38.0,0.0,0.0
836815fffffffff,9.0,0.0,0.0
836818fffffffff,167.0,1.0,0.0
83681afffffffff,1.0,0.0,0.0
83681cfffffffff,22.0,0.0,0.0
83689afffffffff,2.0,0.0,0.0
8368abfffffffff,5.0,0.0,0.0
8368acfffffffff,16.0,0.0,0.0
836934fffffffff,12.0,0.0,0.0
838c10fffffffff,6.0,0.0,0.0
838c96fffffffff,19.0,0.0,0.0
838cadfffffffff,2.0,0.0,0.0
838cd5fffffffff,2.0,0.0,0.0
838d8cfffffffff,2.0,0.0,0.0
