cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
822917fffffffff,1981.0,0.0,210.0,0.0
82291ffffffffff,282.0,0.0,158.0,0.0
822987fffffffff,3641.0,0.0,343.0,0.0
82298ffffffffff,4861.0,0.0,709.0,0.0
822997fffffffff,1168.0,0.0,155.0,0.0
82299ffffffffff,377.0,0.0,68.0,0.0
8229a7fffffffff,25964.0,0.0,3794.0,0.0
8229affffffffff,7273.0,0.0,953.0,0.0
8229b7fffffffff,3858.0,0.0,793.0,0.0
822a07fffffffff,675.0,0.0,179.0,0.0
822a17fffffffff,24562.0,0.0,3327.0,0.0
822a1ffffffffff,2.0,0.0,0.0,0.0
822a37fffffffff,23695.0,0.0,5603.0,0.0
822a4ffffffffff,393.0,2.0,0.0,0.0
822a87fffffffff,2555.0,0.0,625.0,0.0
822a8ffffffffff,3489.0,0.0,640.0,0.0
822a97fffffffff,5654.0,0.0,481.0,0.0
822a9ffffffffff,465.0,0.0,19.0,0.0
822aa7fffffffff,13355.0,0.0,4139.0,0.0
822aaffffffffff,46388.0,0.0,9255.0,0.0
822ab7fffffffff,20431.0,0.0,2205.0,0.0
822ad7fffffffff,663.0,0.0,51.0,0.0
822af7fffffffff,7732.0,0.0,1272.0,0.0
822b07fffffffff,3991.0,0.0,365.0,0.0
822b0ffffffffff,2932.0,0.0,274.0,0.0
822b17fffffffff,9896.0,0.0,331.0,0.0
822b1ffffffffff,3329.0,0.0,596.0,0.0
822b27fffffffff,807.0,0.0,19.0,0.0
822b2ffffffffff,579.0,0.0,126.0,0.0
822b37fffffffff,1722.0,0.0,49.0,0.0
822b87fffffffff,8413.0,0.0,609.0,0.0
822b8ffffffffff,9032.0,0.0,1634.0,0.0
822b97fffffffff,1290.0,0.0,135.0,0.0
822b9ffffffffff,17395.0,0.0,2757.0,0.0
822ba7fffffffff,5475.0,0.0,2.0,0.0
822baffffffffff,27619.0,0.0,993.0,0.0
822bb7fffffffff,1545.0,0.0,15.0,0.0
822c07fffffffff,369.0,172.0,0.0,0.0
822c0ffffffffff,293.0,84.0,0.0,0.0
822c17fffffffff,60.0,0.0,0.0,0.0
822c1ffffffffff,40.0,2.0,0.0,0.0
822c27fffffffff,84.0,44.0,0.0,0.0
822c2ffffffffff,271.0,83.0,0.0,0.0
822c37fffffffff,23.0,10.0,0.0,0.0
822c47fffffffff,3.0,0.0,0.0,0.0
822c4ffffffffff,1.0,1.0,0.0,0.0
822c57fffffffff,3.0,0.0,0.0,0.0
822c67fffffffff,3.0,0.0,0.0,0.0
822c77fffffffff,23.0,11.0,0.0,0.0
822c87fffffffff,34.0,0.0,0.0,0.0
822c8ffffffffff,48.0,0.0,0.0,0.0
822c97fffffffff,176.0,145.0,0.0,0.0
822c9ffffffffff,5.0,0.0,0.0,0.0
822caffffffffff,39.0,0.0,0.0,0.0
822cc7fffffffff,305.0,0.0,0.0,0.0
822cd7fffffffff,137.0,0.0,0.0,0.0
822cdffffffffff,2.0,0.0,0.0,0.0
822ce7fffffffff,174.0,45.0,0.0,0.0
822cf7fffffffff,459.0,0.0,0.0,0.0
822d07fffffffff,200.0,32.0,0.0,0.0
822d17fffffffff,155.0,29.0,0.0,0.0
822d1ffffffffff,15.0,1.0,0.0,0.0
822d27fffffffff,24.0,0.0,0.0,0.0
822d2ffffffffff,6.0,0.0,0.0,0.0
822d37fffffffff,589.0,96.0,0.0,0.0
822d57fffffffff,3.0,0.0,0.0,0.0
822d5ffffffffff,35.0,3.0,0.0,0.0
822d67fffffffff,7.0,0.0,0.0,0.0
822d77fffffffff,17.0,9.0,0.0,0.0
822d97fffffffff,5.0,2.0,0.0,0.0
822da7fffffffff,451.0,125.0,0.0,0.0
822daffffffffff,182.0,22.0,0.0,0.0
822db7fffffffff,4435.0,2489.0,0.0,0.0
822e0ffffffffff,49.0,5.0,0.0,0.0
822e17fffffffff,38.0,26.0,0.0,0.0
822e1ffffffffff,33.0,1.0,0.0,0.0
822e2ffffffffff,16.0,2.0,0.0,0.0
822e47fffffffff,24.0,17.0,0.0,0.0
822e67fffffffff,508.0,115.0,0.0,0.0
822e6ffffffffff,381.0,3.0,0.0,0.0
822e77fffffffff,155.0,91.0,0.0,0.0
822eaffffffffff,54.0,35.0,0.0,0.0
822ec7fffffffff,2.0,2.0,0.0,0.0
822ecffffffffff,16.0,0.0,0.0,0.0
822ed7fffffffff,2.0,0.0,0.0,0.0
822ee7fffffffff,2.0,0.0,0.0,0.0
822f47fffffffff,3.0,0.0,0.0,0.0
822f5ffffffffff,732.0,313.0,0.0,0.0
823007fffffffff,3.0,3.0,0.0,0.0
823017fffffffff,11.0,6.0,0.0,0.0
82301ffffffffff,35.0,30.0,0.0,0.0
823027fffffffff,15.0,15.0,0.0,0.0
82302ffffffffff,3.0,3.0,0.0,0.0
823037fffffffff,46.0,33.0,0.0,0.0
823087fffffffff,101.0,47.0,0.0,0.0
823097fffffffff,25.0,8.0,0.0,0.0
82309ffffffffff,517.0,283.0,0.0,0.0
8230a7fffffffff,12.0,6.0,0.0,0.0
8230affffffffff,6.0,4.0,0.0,0.0
8230b7fffffffff,2.0,2.0,0.0,0.0
8230c7fffffffff,265.0,69.0,0.0,0.0
8230cffffffffff,2.0,2.0,0.0,0.0
8230d7fffffffff,36.0,20.0,0.0,0.0
8230dffffffffff,41.0,5.0,0.0,0.0
8230e7fffffffff,736.0,444.0,0.0,0.0
8230effffffffff,52.0,32.0,0.0,0.0
8230f7fffffffff,1.0,0.0,0.0,0.0
82310ffffffffff,2.0,2.0,0.0,0.0
823117fffffffff,2.0,2.0,0.0,0.0
823127fffffffff,7.0,0.0,0.0,0.0
82312ffffffffff,3.0,3.0,0.0,0.0
823137fffffffff,2.0,0.0,0.0,0.0
823157fffffffff,1.0,1.0,0.0,0.0
82315ffffffffff,1.0,0.0,0.0,0.0
82316ffffffffff,28.0,8.0,0.0,0.0
823187fffffffff,342.0,280.0,0.0,0.0
82318ffffffffff,124.0,98.0,0.0,0.0
823197fffffffff,1.0,0.0,0.0,0.0
82319ffffffffff,4.0,2.0,0.0,0.0
8231affffffffff,470.0,333.0,0.0,0.0
823427fffffffff,86.0,10.0,6.0,0.0
823437fffffffff,69.0,2.0,2.0,0.0
823447fffffffff,11.0,0.0,0.0,0.0
82344ffffffffff,15.0,0.0,0.0,0.0
82346ffffffffff,68.0,12.0,0.0,0.0
82351ffffffffff,589.0,104.0,62.0,0.0
8235affffffffff,146.0,24.0,0.0,0.0
823817fffffffff,33.0,10.0,0.0,0.0
823827fffffffff,447.0,26.0,0.0,0.0
823837fffffffff,10.0,0.0,0.0,0.0
823847fffffffff,5.0,1.0,0.0,0.0
823867fffffffff,13.0,0.0,0.0,0.0
82386ffffffffff,25.0,2.0,0.0,0.0
823877fffffffff,4.0,0.0,0.0,0.0
823907fffffffff,2775.0,664.0,0.0,0.0
82390ffffffffff,2303.0,173.0,0.0,0.0
823917fffffffff,3234.0,178.0,0.0,0.0
82391ffffffffff,2022.0,226.0,0.0,0.0
823927fffffffff,1542.0,407.0,0.0,0.0
82392ffffffffff,6137.0,592.0,0.0,0.0
823937fffffffff,2138.0,125.0,0.0,0.0
823947fffffffff,1659.0,205.0,0.0,0.0
82394ffffffffff,1.0,0.0,0.0,0.0
823957fffffffff,1621.0,206.0,0.0,0.0
82395ffffffffff,8.0,0.0,0.0,0.0
823967fffffffff,104.0,8.0,0.0,0.0
82396ffffffffff,500.0,84.0,0.0,0.0
823977fffffffff,3163.0,360.0,0.0,0.0
823987fffffffff,29.0,14.0,0.0,0.0
82398ffffffffff,32.0,5.0,0.0,0.0
823997fffffffff,51.0,14.0,0.0,0.0
8239affffffffff,96.0,27.0,0.0,0.0
823c07fffffffff,59.0,6.0,0.0,0.0
823c0ffffffffff,110.0,61.0,0.0,0.0
823c17fffffffff,12.0,0.0,0.0,0.0
823c1ffffffffff,469.0,23.0,0.0,0.0
823c37fffffffff,102.0,4.0,0.0,0.0
823c57fffffffff,8.0,2.0,0.0,0.0
823c5ffffffffff,242.0,0.0,0.0,0.0
823c67fffffffff,2.0,2.0,0.0,0.0
823c6ffffffffff,1.0,0.0,0.0,0.0
823c87fffffffff,5.0,0.0,0.0,0.0
823c8ffffffffff,25.0,0.0,0.0,0.0
823c97fffffffff,53.0,0.0,0.0,0.0
823c9ffffffffff,73.0,0.0,0.0,0.0
823ca7fffffffff,8.0,0.0,0.0,0.0
823caffffffffff,12.0,0.0,0.0,0.0
823cb7fffffffff,552.0,0.0,0.0,0.0
823cc7fffffffff,36.0,0.0,0.0,0.0
823ccffffffffff,4.0,2.0,0.0,0.0
823cd7fffffffff,7.0,0.0,0.0,0.0
823cdffffffffff,3.0,0.0,0.0,0.0
823ce7fffffffff,266.0,0.0,0.0,0.0
823ceffffffffff,826.0,0.0,0.0,0.0
823cf7fffffffff,161.0,12.0,0.0,0.0
823d07fffffffff,74.0,0.0,0.0,0.0
823d17fffffffff,1129.0,20.0,0.0,0.0
823d27fffffffff,7.0,0.0,0.0,0.0
823d37fffffffff,497.0,13.0,0.0,0.0
823d87fffffffff,1304.0,0.0,0.0,0.0
823d8ffffffffff,52.0,0.0,0.0,0.0
823d97fffffffff,133.0,0.0,0.0,0.0
823d9ffffffffff,218.0,0.0,0.0,0.0
823da7fffffffff,2857.0,0.0,0.0,0.0
823daffffffffff,280.0,0.0,0.0,0.0
823db7fffffffff,495.0,0.0,0.0,0.0
823e47fffffffff,45.0,10.0,0.0,0.0
823e5ffffffffff,129.0,16.0,0.0,0.0
823e67fffffffff,10.0,2.0,0.0,0.0
823e6ffffffffff,1383.0,410.0,0.0,0.0
823e77fffffffff,32.0,7.0,0.0,0.0
