cell_id,Dendrocopos major,Dendrocopos major canariensis/thanneri,Dendrocopos major numidus/mauritanus,Dendrocopos major [major Group],Dendrocopos major poelzami,Dendrocopos major japonicus,Dendrocopos major cabanisi/stresemanni
8408c89ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c8bffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c8dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c91ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c95ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c97ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408cc9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408cd5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408cd7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ce1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ce5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408cebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d01ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d07ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d11ffffffff,8.0,0.0,0.0,1.0,0.0,0.0,0.0
8408d15ffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
8408d17ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8408d19ffffffff,63.0,0.0,0.0,1.0,0.0,0.0,0.0
8408d1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d1dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d29ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d2dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d31ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d37ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d41ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d43ffffffff,9.0,0.0,0.0,1.0,0.0,0.0,0.0
8408d45ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d49ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d51ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d55ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d57ffffffff,23.0,0.0,0.0,2.0,0.0,0.0,0.0
8408d5dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d81ffffffff,25.0,0.0,0.0,1.0,0.0,0.0,0.0
8408d83ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d85ffffffff,20.0,0.0,0.0,6.0,0.0,0.0,0.0
8408d87ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d89ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408d8bffffffff,114.0,0.0,0.0,3.0,0.0,0.0,0.0
8408d8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408da9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408dd9ffffffff,17.0,0.0,0.0,4.0,0.0,0.0,0.0
8408de3ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8408de7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408debffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ea7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ed3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408eddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f0dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f25ffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
8408f43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f47ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8408f63ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
84094b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409805ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8409811ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8409815ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8409819ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409821ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8409829ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840982bffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
840982dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8409883ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409887ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8409889ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840989bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84098a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84098a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84098abffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
84098b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84098b9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84098bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84098bdffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84098c5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84098c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84098e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84098e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84098ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8409911ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8409913ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8409917ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
840991bffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0
8409937ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409981ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8409987ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8409991ffffffff,28.0,0.0,0.0,3.0,0.0,0.0,0.0
8409993ffffffff,172.0,0.0,0.0,42.0,0.0,0.0,0.0
8409995ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8409997ffffffff,21.0,0.0,0.0,6.0,0.0,0.0,0.0
8409999ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840999bffffffff,5.0,0.0,0.0,1.0,0.0,0.0,0.0
840999dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84099a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84099a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84099b1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84099b9ffffffff,50.0,0.0,0.0,1.0,0.0,0.0,0.0
84099bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84099bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84099cdffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84099d7ffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
84099ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84099e9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
84099ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409a09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409a43ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8409a45ffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0
8409a47ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8409a69ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8409a6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409b1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840a337ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
840a911ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840b9a7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840bb01ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840bb03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840bb07ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840bb0dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840bb3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
