cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
8428d23ffffffff,2.0,2.0,0.0,0.0,0.0
8428d33ffffffff,3.0,0.0,0.0,0.0,0.0
8428d49ffffffff,2.0,0.0,0.0,0.0,0.0
8428d55ffffffff,2.0,0.0,2.0,0.0,0.0
8428d5dffffffff,3.0,1.0,0.0,0.0,0.0
8428da9ffffffff,8.0,8.0,0.0,0.0,0.0
8428dadffffffff,2.0,2.0,0.0,0.0,0.0
8428dc9ffffffff,29.0,6.0,0.0,0.0,0.0
8428de1ffffffff,1.0,1.0,0.0,0.0,0.0
8428de9ffffffff,4.0,0.0,0.0,0.0,0.0
8428f01ffffffff,13.0,4.0,0.0,0.0,0.0
8428f05ffffffff,13.0,0.0,0.0,0.0,0.0
8428f07ffffffff,19.0,0.0,0.0,0.0,0.0
8428f0bffffffff,5.0,0.0,0.0,0.0,0.0
8428f11ffffffff,2.0,2.0,0.0,0.0,0.0
8428f17ffffffff,1.0,0.0,0.0,0.0,0.0
8428f27ffffffff,3.0,3.0,0.0,0.0,0.0
8428f29ffffffff,5.0,0.0,0.0,0.0,0.0
8428f43ffffffff,2.0,0.0,0.0,0.0,0.0
8428f51ffffffff,2.0,0.0,0.0,0.0,0.0
8428f59ffffffff,6.0,0.0,0.0,0.0,0.0
8428f5dffffffff,5.0,0.0,0.0,0.0,0.0
8428f63ffffffff,2.0,0.0,0.0,0.0,0.0
8428f6bffffffff,2.0,2.0,0.0,0.0,0.0
8429135ffffffff,3.0,0.0,0.0,0.0,0.0
84291a5ffffffff,6.0,6.0,0.0,0.0,0.0
84291a7ffffffff,16.0,3.0,0.0,0.0,0.0
842980dffffffff,2.0,0.0,0.0,2.0,0.0
842986bffffffff,2.0,0.0,0.0,2.0,0.0
8429891ffffffff,13.0,7.0,0.0,0.0,0.0
842989bffffffff,22.0,22.0,0.0,0.0,0.0
842989dffffffff,4.0,0.0,0.0,0.0,0.0
84298c9ffffffff,2.0,2.0,0.0,0.0,0.0
84298cbffffffff,1.0,0.0,0.0,0.0,0.0
84298dbffffffff,2.0,0.0,0.0,0.0,0.0
84298ddffffffff,3.0,0.0,0.0,0.0,0.0
8429903ffffffff,2.0,0.0,0.0,0.0,0.0
842990bffffffff,1.0,0.0,0.0,0.0,0.0
8429941ffffffff,3.0,0.0,0.0,3.0,0.0
8429945ffffffff,17.0,0.0,0.0,17.0,0.0
8429947ffffffff,1.0,0.0,0.0,1.0,0.0
842994dffffffff,3.0,0.0,0.0,3.0,0.0
842998dffffffff,2.0,0.0,0.0,0.0,0.0
8429995ffffffff,3.0,0.0,0.0,0.0,0.0
84299bbffffffff,14.0,0.0,0.0,0.0,0.0
84299bdffffffff,8.0,0.0,0.0,0.0,0.0
84299ebffffffff,12.0,0.0,0.0,1.0,0.0
8429a01ffffffff,13.0,0.0,0.0,0.0,0.0
8429a03ffffffff,45.0,6.0,0.0,0.0,0.0
8429a05ffffffff,27.0,0.0,0.0,0.0,0.0
8429a0dffffffff,2.0,2.0,0.0,0.0,0.0
8429a13ffffffff,1.0,0.0,0.0,0.0,0.0
8429a1dffffffff,2.0,0.0,0.0,0.0,0.0
8429a45ffffffff,14.0,10.0,0.0,0.0,0.0
8429a6bffffffff,2.0,2.0,0.0,0.0,0.0
8429a93ffffffff,5.0,0.0,0.0,0.0,0.0
8429a9bffffffff,6.0,2.0,0.0,0.0,0.0
8429aa1ffffffff,2.0,2.0,0.0,0.0,0.0
8429aa7ffffffff,3.0,2.0,0.0,0.0,0.0
8429aa9ffffffff,3.0,3.0,0.0,0.0,0.0
8429aabffffffff,10.0,10.0,0.0,0.0,0.0
8429ab7ffffffff,2.0,0.0,0.0,0.0,0.0
8429ac9ffffffff,2.0,0.0,0.0,0.0,0.0
8429acdffffffff,2.0,2.0,0.0,0.0,0.0
8429ad3ffffffff,2.0,2.0,0.0,0.0,0.0
8429ae3ffffffff,1.0,0.0,0.0,0.0,0.0
8429b25ffffffff,3.0,0.0,0.0,3.0,0.0
8429b6dffffffff,2.0,0.0,0.0,0.0,0.0
8445245ffffffff,3.0,0.0,0.0,0.0,3.0
844524bffffffff,26.0,0.0,0.0,0.0,16.0
8445353ffffffff,3.0,0.0,0.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0,0.0,0.0
8448ab7ffffffff,5.0,0.0,0.0,0.0,0.0
8448c01ffffffff,3.0,0.0,0.0,0.0,0.0
8448c09ffffffff,2.0,0.0,0.0,0.0,0.0
8448c13ffffffff,2.0,0.0,0.0,0.0,0.0
8448c59ffffffff,21.0,0.0,0.0,18.0,0.0
8448c5bffffffff,2.0,0.0,0.0,2.0,0.0
8448c61ffffffff,48.0,0.0,0.0,3.0,0.0
8448c63ffffffff,13.0,0.0,0.0,0.0,0.0
