cell_id,Egretta garzetta,Egretta garzetta garzetta,Egretta garzetta immaculata,Egretta garzetta dimorpha
833084fffffffff,25.0,0.0,0.0,0.0
83308efffffffff,75.0,33.0,0.0,0.0
833091fffffffff,88.0,3.0,0.0,0.0
833092fffffffff,20.0,4.0,0.0,0.0
833093fffffffff,3.0,2.0,0.0,0.0
833096fffffffff,9.0,2.0,0.0,0.0
833098fffffffff,457.0,15.0,0.0,0.0
833099fffffffff,383.0,79.0,0.0,0.0
83309afffffffff,566.0,422.0,0.0,0.0
83309bfffffffff,1108.0,293.0,0.0,0.0
83309cfffffffff,1.0,0.0,0.0,0.0
83309dfffffffff,347.0,110.0,0.0,0.0
83309efffffffff,41.0,11.0,0.0,0.0
8330a1fffffffff,13.0,0.0,0.0,0.0
8330a2fffffffff,4.0,0.0,0.0,0.0
8330a3fffffffff,8.0,4.0,0.0,0.0
8330acfffffffff,5.0,0.0,0.0,0.0
8330b1fffffffff,2.0,0.0,0.0,0.0
8330b5fffffffff,4.0,0.0,0.0,0.0
8330c0fffffffff,19.0,0.0,0.0,0.0
8330c1fffffffff,98.0,0.0,0.0,0.0
8330c2fffffffff,20.0,0.0,0.0,0.0
8330c3fffffffff,6.0,0.0,0.0,0.0
8330c4fffffffff,93.0,6.0,0.0,0.0
8330c5fffffffff,7.0,0.0,0.0,0.0
8330c6fffffffff,48.0,0.0,0.0,0.0
8330cefffffffff,1.0,0.0,0.0,0.0
8330d0fffffffff,11.0,0.0,0.0,0.0
8330d1fffffffff,73.0,0.0,0.0,0.0
8330d4fffffffff,2.0,0.0,0.0,0.0
8330d5fffffffff,4.0,0.0,0.0,0.0
8330d8fffffffff,2.0,0.0,0.0,0.0
8330d9fffffffff,67.0,2.0,0.0,0.0
8330dafffffffff,2.0,0.0,0.0,0.0
8330dbfffffffff,6.0,4.0,0.0,0.0
8330ddfffffffff,2.0,0.0,0.0,0.0
8330e0fffffffff,333.0,44.0,0.0,0.0
8330e1fffffffff,145.0,6.0,0.0,0.0
8330e2fffffffff,178.0,4.0,0.0,0.0
8330e3fffffffff,49.0,9.0,0.0,0.0
8330e5fffffffff,98.0,4.0,0.0,0.0
8330eafffffffff,12.0,2.0,0.0,0.0
8330eefffffffff,2.0,0.0,0.0,0.0
8330f3fffffffff,11.0,0.0,0.0,0.0
83310bfffffffff,2.0,0.0,0.0,0.0
833159fffffffff,3.0,0.0,0.0,0.0
