cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
842666bffffffff,173.0,0.0,0.0,0.0
842666dffffffff,31.0,0.0,0.0,0.0
8426681ffffffff,31.0,0.0,0.0,0.0
8426683ffffffff,11.0,0.0,0.0,0.0
8426685ffffffff,9.0,0.0,0.0,0.0
8426687ffffffff,6.0,0.0,0.0,0.0
8426689ffffffff,147.0,0.0,0.0,0.0
842668bffffffff,224.0,0.0,0.0,0.0
842668dffffffff,19.0,0.0,0.0,0.0
8426691ffffffff,2.0,0.0,0.0,0.0
8426693ffffffff,12.0,0.0,0.0,0.0
8426695ffffffff,17.0,0.0,0.0,0.0
8426697ffffffff,5.0,0.0,0.0,0.0
8426699ffffffff,11.0,0.0,0.0,0.0
842669bffffffff,81.0,0.0,0.0,0.0
842669dffffffff,13.0,0.0,0.0,0.0
84266a1ffffffff,109.0,0.0,0.0,0.0
84266a3ffffffff,10.0,0.0,0.0,0.0
84266a5ffffffff,45.0,0.0,0.0,0.0
84266a7ffffffff,34.0,0.0,0.0,0.0
84266a9ffffffff,72.0,0.0,0.0,0.0
84266abffffffff,16.0,0.0,0.0,0.0
84266adffffffff,98.0,0.0,0.0,0.0
84266b1ffffffff,39.0,0.0,0.0,0.0
84266b3ffffffff,2.0,0.0,0.0,0.0
84266b5ffffffff,61.0,0.0,0.0,0.0
84266b7ffffffff,7.0,0.0,0.0,0.0
84266b9ffffffff,2.0,0.0,0.0,0.0
84266bbffffffff,60.0,0.0,0.0,0.0
84266bdffffffff,2.0,0.0,0.0,0.0
84266c1ffffffff,151.0,0.0,0.0,0.0
84266c3ffffffff,3.0,0.0,0.0,0.0
84266c5ffffffff,713.0,0.0,0.0,0.0
84266c7ffffffff,4.0,0.0,0.0,0.0
84266cbffffffff,13.0,0.0,0.0,0.0
84266cdffffffff,71.0,0.0,0.0,0.0
84266d1ffffffff,143.0,0.0,0.0,0.0
84266d3ffffffff,101.0,0.0,0.0,0.0
84266d5ffffffff,474.0,0.0,0.0,0.0
84266d7ffffffff,7.0,0.0,0.0,0.0
84266d9ffffffff,6.0,0.0,0.0,0.0
84266dbffffffff,214.0,0.0,0.0,0.0
84266ddffffffff,6.0,0.0,0.0,0.0
84266e1ffffffff,432.0,0.0,0.0,0.0
84266e3ffffffff,45.0,0.0,0.0,0.0
84266e5ffffffff,2.0,0.0,0.0,0.0
84266e7ffffffff,49.0,0.0,0.0,0.0
84266e9ffffffff,18.0,0.0,0.0,0.0
84266ebffffffff,28.0,0.0,0.0,0.0
84266edffffffff,10.0,0.0,0.0,0.0
8426703ffffffff,4.0,0.0,0.0,0.0
8426705ffffffff,15.0,0.0,0.0,0.0
8426707ffffffff,10.0,0.0,0.0,0.0
8426709ffffffff,6.0,0.0,0.0,0.0
842670bffffffff,3.0,0.0,0.0,0.0
842670dffffffff,1.0,0.0,0.0,0.0
8426711ffffffff,28.0,0.0,0.0,0.0
8426713ffffffff,3.0,0.0,0.0,0.0
8426717ffffffff,27.0,0.0,0.0,0.0
8426719ffffffff,178.0,0.0,0.0,0.0
842671bffffffff,11.0,0.0,0.0,0.0
842671dffffffff,5.0,0.0,0.0,0.0
8426721ffffffff,5.0,0.0,0.0,0.0
8426723ffffffff,14.0,0.0,0.0,0.0
8426725ffffffff,1.0,0.0,0.0,0.0
8426727ffffffff,1.0,0.0,0.0,0.0
842672bffffffff,8.0,0.0,0.0,0.0
8426731ffffffff,11.0,0.0,0.0,0.0
8426733ffffffff,11.0,0.0,0.0,0.0
8426735ffffffff,12.0,0.0,0.0,0.0
8426737ffffffff,2.0,0.0,0.0,0.0
8426739ffffffff,4.0,0.0,0.0,0.0
842673bffffffff,9.0,0.0,0.0,0.0
842673dffffffff,7.0,0.0,0.0,0.0
8426741ffffffff,2.0,0.0,0.0,0.0
8426743ffffffff,4.0,0.0,0.0,0.0
8426745ffffffff,191.0,0.0,0.0,0.0
8426747ffffffff,31.0,0.0,0.0,0.0
8426751ffffffff,3.0,0.0,0.0,0.0
8426753ffffffff,6.0,0.0,0.0,0.0
8426757ffffffff,3.0,0.0,0.0,0.0
8426759ffffffff,14.0,0.0,0.0,0.0
842675bffffffff,9.0,0.0,0.0,0.0
842675dffffffff,39.0,0.0,0.0,0.0
8426761ffffffff,4.0,0.0,0.0,0.0
8426763ffffffff,6.0,0.0,0.0,0.0
8426765ffffffff,6.0,0.0,0.0,0.0
8426767ffffffff,9.0,0.0,0.0,0.0
8426769ffffffff,3.0,0.0,0.0,0.0
842676dffffffff,7.0,0.0,0.0,0.0
842681bffffffff,80.0,0.0,0.0,0.0
8426853ffffffff,25.0,0.0,0.0,0.0
8426881ffffffff,166.0,0.0,0.0,0.0
8426889ffffffff,28.0,0.0,0.0,0.0
842688bffffffff,3.0,0.0,0.0,0.0
842688dffffffff,15.0,0.0,0.0,0.0
8426891ffffffff,4.0,0.0,0.0,0.0
8426899ffffffff,2.0,0.0,0.0,0.0
842689dffffffff,18.0,0.0,0.0,0.0
84268c3ffffffff,3.0,0.0,0.0,0.0
84268c7ffffffff,48.0,0.0,0.0,0.0
84268cdffffffff,33.0,0.0,0.0,0.0
84268d5ffffffff,2.0,0.0,0.0,0.0
84268d7ffffffff,4.0,0.0,0.0,0.0
84269c1ffffffff,23.0,0.0,0.0,0.0
84269c3ffffffff,2.0,0.0,0.0,0.0
84269cbffffffff,2.0,0.0,0.0,0.0
84269cdffffffff,4.0,0.0,0.0,0.0
8426a87ffffffff,2.0,0.0,0.0,0.0
8426a8bffffffff,25.0,0.0,0.0,0.0
8426a95ffffffff,4.0,0.0,0.0,0.0
8426a97ffffffff,6.0,0.0,0.0,0.0
8426a9dffffffff,7.0,0.0,0.0,0.0
8426aa5ffffffff,134.0,0.0,0.0,0.0
8426aa7ffffffff,2.0,0.0,0.0,0.0
8426aabffffffff,2.0,0.0,0.0,0.0
8426ab3ffffffff,3.0,0.0,0.0,0.0
8426ab9ffffffff,2.0,0.0,0.0,0.0
8426ad1ffffffff,1.0,0.0,0.0,0.0
8426adbffffffff,2.0,0.0,0.0,0.0
8426c07ffffffff,2.0,0.0,0.0,0.0
8426c0bffffffff,2.0,0.0,0.0,0.0
8426c11ffffffff,131.0,0.0,0.0,0.0
8426c13ffffffff,5.0,0.0,0.0,0.0
8426c17ffffffff,3.0,0.0,0.0,0.0
8426c19ffffffff,183.0,0.0,0.0,0.0
8426c1bffffffff,12.0,0.0,0.0,0.0
8426c1dffffffff,21.0,0.0,0.0,0.0
8426c23ffffffff,2.0,0.0,0.0,0.0
8426c27ffffffff,3.0,0.0,0.0,0.0
8426c2dffffffff,8.0,0.0,0.0,0.0
8426c31ffffffff,41.0,0.0,0.0,0.0
8426c33ffffffff,2.0,0.0,0.0,0.0
8426c35ffffffff,2.0,0.0,0.0,0.0
8426c37ffffffff,32.0,0.0,0.0,0.0
8426c39ffffffff,2.0,0.0,0.0,0.0
8426c3bffffffff,58.0,0.0,0.0,0.0
8426c43ffffffff,40.0,0.0,0.0,0.0
8426c45ffffffff,3.0,0.0,0.0,0.0
8426c49ffffffff,3.0,0.0,0.0,0.0
8426c4bffffffff,2.0,0.0,0.0,0.0
8426c4dffffffff,7.0,0.0,0.0,0.0
8426c51ffffffff,3.0,0.0,0.0,0.0
