cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
84194a5ffffffff,1.0,0.0,0.0
84194a7ffffffff,6.0,0.0,0.0
84194a9ffffffff,1.0,0.0,0.0
84194abffffffff,24.0,2.0,0.0
84194b1ffffffff,6.0,0.0,0.0
84194b9ffffffff,13.0,0.0,0.0
84194bbffffffff,5.0,0.0,0.0
84194c5ffffffff,177.0,0.0,8.0
84194d5ffffffff,24.0,0.0,1.0
84194d9ffffffff,35.0,0.0,0.0
84194ddffffffff,70.0,0.0,0.0
84194e1ffffffff,24.0,0.0,0.0
84194e3ffffffff,60.0,3.0,2.0
84194e5ffffffff,2.0,0.0,0.0
84194e7ffffffff,86.0,2.0,10.0
84194e9ffffffff,56.0,0.0,3.0
84194ebffffffff,76.0,0.0,0.0
8419501ffffffff,47.0,2.0,0.0
8419507ffffffff,238.0,3.0,0.0
8419509ffffffff,13.0,4.0,0.0
841950dffffffff,13.0,6.0,0.0
8419511ffffffff,15.0,0.0,0.0
8419513ffffffff,2.0,0.0,0.0
8419517ffffffff,21.0,2.0,0.0
8419519ffffffff,8.0,0.0,0.0
841951bffffffff,6.0,0.0,0.0
841951dffffffff,3.0,0.0,0.0
8419521ffffffff,1.0,0.0,0.0
8419527ffffffff,25.0,2.0,0.0
8419529ffffffff,12.0,0.0,0.0
841952dffffffff,2.0,0.0,0.0
8419531ffffffff,122.0,27.0,0.0
8419533ffffffff,20.0,0.0,0.0
841953bffffffff,50.0,12.0,0.0
8419543ffffffff,3.0,0.0,0.0
8419545ffffffff,1.0,0.0,0.0
8419551ffffffff,3.0,3.0,0.0
8419555ffffffff,3.0,0.0,0.0
8419557ffffffff,17.0,2.0,2.0
841955bffffffff,2.0,0.0,0.0
8419561ffffffff,4.0,2.0,0.0
8419563ffffffff,18.0,9.0,0.0
8419565ffffffff,361.0,2.0,0.0
8419567ffffffff,10.0,0.0,0.0
8419569ffffffff,6.0,0.0,0.0
841956bffffffff,2.0,0.0,0.0
841956dffffffff,5.0,0.0,0.0
8419581ffffffff,30.0,0.0,0.0
8419583ffffffff,2.0,0.0,0.0
8419585ffffffff,1.0,0.0,0.0
8419587ffffffff,28.0,0.0,0.0
8419591ffffffff,102.0,0.0,0.0
8419593ffffffff,3.0,0.0,0.0
8419597ffffffff,123.0,0.0,2.0
841959bffffffff,97.0,2.0,1.0
84195a1ffffffff,25.0,2.0,0.0
84195a3ffffffff,20.0,0.0,0.0
84195a5ffffffff,51.0,2.0,0.0
84195a7ffffffff,13.0,0.0,0.0
84195abffffffff,9.0,0.0,0.0
84195adffffffff,6.0,0.0,0.0
84195b1ffffffff,31.0,2.0,0.0
84195b5ffffffff,1.0,0.0,0.0
84195b7ffffffff,26.0,0.0,0.0
84195bbffffffff,169.0,27.0,0.0
84195bdffffffff,10.0,0.0,0.0
84195d1ffffffff,2.0,0.0,0.0
84195d3ffffffff,7.0,0.0,3.0
84195d5ffffffff,2.0,0.0,0.0
84195d9ffffffff,2.0,0.0,0.0
84195e5ffffffff,4.0,0.0,0.0
84195e7ffffffff,8.0,0.0,0.0
841963dffffffff,1.0,0.0,0.0
8419683ffffffff,104.0,0.0,0.0
8419689ffffffff,58.0,0.0,0.0
841968bffffffff,5.0,0.0,0.0
841969dffffffff,2.0,0.0,0.0
84196b1ffffffff,26.0,0.0,0.0
84196b3ffffffff,50.0,0.0,0.0
84196b9ffffffff,7.0,0.0,0.0
84196bbffffffff,2.0,0.0,0.0
84196c3ffffffff,4.0,0.0,0.0
84196d5ffffffff,5.0,0.0,0.0
84196d9ffffffff,21.0,0.0,0.0
84196ddffffffff,47.0,0.0,0.0
8419721ffffffff,31.0,2.0,0.0
8419723ffffffff,42.0,2.0,0.0
8419725ffffffff,1.0,0.0,0.0
8419727ffffffff,7.0,0.0,0.0
8419729ffffffff,73.0,0.0,0.0
841972bffffffff,183.0,4.0,2.0
841972dffffffff,2.0,0.0,0.0
8419731ffffffff,2.0,0.0,0.0
8419733ffffffff,30.0,0.0,0.0
8419737ffffffff,3.0,3.0,0.0
8419739ffffffff,141.0,18.0,4.0
841973bffffffff,35.0,0.0,4.0
841973dffffffff,26.0,0.0,0.0
8419763ffffffff,16.0,0.0,0.0
8419769ffffffff,16.0,0.0,0.0
841976bffffffff,74.0,3.0,0.0
841f001ffffffff,11.0,0.0,9.0
841f003ffffffff,3.0,0.0,0.0
841f00dffffffff,8.0,0.0,0.0
841f03bffffffff,1.0,0.0,0.0
841f041ffffffff,1.0,0.0,0.0
841f051ffffffff,23.0,0.0,0.0
841f059ffffffff,22.0,0.0,0.0
841f061ffffffff,20.0,0.0,0.0
841f069ffffffff,7.0,0.0,0.0
841f06dffffffff,2.0,0.0,0.0
841f09bffffffff,8.0,0.0,0.0
841f0c7ffffffff,2.0,0.0,0.0
841f0edffffffff,1.0,0.0,0.0
841f149ffffffff,7.0,0.0,0.0
841f14bffffffff,13.0,0.0,0.0
841f14dffffffff,4.0,0.0,0.0
841f15dffffffff,4.0,0.0,0.0
841f207ffffffff,14.0,0.0,1.0
841f211ffffffff,14.0,0.0,0.0
841f217ffffffff,28.0,0.0,0.0
841f219ffffffff,3.0,0.0,0.0
841f21dffffffff,6.0,0.0,0.0
841f221ffffffff,2.0,0.0,0.0
841f22bffffffff,6.0,0.0,0.0
841f233ffffffff,6.0,0.0,1.0
841f23bffffffff,4.0,0.0,0.0
841f241ffffffff,1.0,0.0,0.0
841f243ffffffff,2.0,0.0,0.0
841f245ffffffff,2.0,0.0,0.0
841f247ffffffff,1.0,0.0,0.0
841f251ffffffff,12.0,0.0,0.0
841f253ffffffff,2.0,0.0,0.0
841f257ffffffff,11.0,0.0,0.0
841f25dffffffff,17.0,0.0,2.0
841f26dffffffff,7.0,0.0,0.0
841f283ffffffff,18.0,0.0,0.0
841f29dffffffff,14.0,0.0,0.0
841f2a1ffffffff,7.0,0.0,0.0
841f2a3ffffffff,28.0,0.0,28.0
841f2a9ffffffff,6.0,0.0,0.0
841f2adffffffff,2.0,0.0,0.0
841f2d7ffffffff,2.0,0.0,0.0
841f2dbffffffff,2.0,0.0,0.0
841f2edffffffff,3.0,0.0,0.0
841f303ffffffff,4.0,0.0,0.0
841f315ffffffff,9.0,0.0,0.0
841f31bffffffff,5.0,0.0,3.0
841f31dffffffff,4.0,0.0,4.0
841f325ffffffff,1.0,0.0,0.0
841f327ffffffff,23.0,0.0,0.0
841f333ffffffff,4.0,0.0,0.0
841f335ffffffff,30.0,0.0,0.0
841f337ffffffff,14.0,0.0,0.0
841f33bffffffff,16.0,0.0,4.0
841f33dffffffff,196.0,0.0,9.0
841f351ffffffff,4.0,0.0,1.0
841f355ffffffff,3.0,0.0,2.0
841f357ffffffff,2.0,0.0,0.0
841f359ffffffff,8.0,0.0,1.0
841f601ffffffff,2.0,0.0,0.0
