cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
8328f3fffffffff,2.0,0.0,0.0,0.0
8328f4fffffffff,7.0,0.0,0.0,0.0
8328f5fffffffff,6.0,0.0,0.0,0.0
8328f6fffffffff,1.0,0.0,0.0,0.0
832912fffffffff,1.0,0.0,0.0,0.0
83291afffffffff,7.0,0.0,2.0,0.0
832984fffffffff,21.0,0.0,0.0,0.0
832986fffffffff,3.0,0.0,0.0,0.0
832988fffffffff,3.0,0.0,0.0,0.0
832989fffffffff,22.0,0.0,5.0,0.0
83298cfffffffff,21.0,0.0,4.0,0.0
83298dfffffffff,13.0,0.0,8.0,0.0
832990fffffffff,5.0,0.0,1.0,0.0
832992fffffffff,3.0,0.0,0.0,0.0
832993fffffffff,4.0,0.0,0.0,0.0
832994fffffffff,2.0,0.0,0.0,0.0
832995fffffffff,4.0,0.0,0.0,0.0
8329a0fffffffff,113.0,0.0,1.0,0.0
8329a1fffffffff,16.0,0.0,0.0,0.0
8329a2fffffffff,68.0,0.0,0.0,0.0
8329a3fffffffff,6.0,0.0,0.0,0.0
8329a4fffffffff,19.0,0.0,0.0,0.0
8329a5fffffffff,24.0,0.0,0.0,0.0
8329a6fffffffff,170.0,0.0,0.0,0.0
8329a9fffffffff,6.0,0.0,0.0,0.0
8329abfffffffff,11.0,0.0,2.0,0.0
8329acfffffffff,3.0,0.0,0.0,0.0
8329adfffffffff,5.0,0.0,0.0,0.0
8329aefffffffff,2.0,0.0,0.0,0.0
8329b0fffffffff,106.0,0.0,0.0,0.0
8329b1fffffffff,1.0,0.0,0.0,0.0
8329b2fffffffff,12.0,0.0,1.0,0.0
8329b3fffffffff,2.0,0.0,0.0,0.0
8329b5fffffffff,15.0,0.0,0.0,0.0
8329b6fffffffff,95.0,0.0,1.0,0.0
832a06fffffffff,2.0,0.0,0.0,0.0
832a10fffffffff,323.0,0.0,22.0,0.0
832a12fffffffff,5565.0,0.0,2.0,0.0
832a13fffffffff,5872.0,0.0,2.0,0.0
832a14fffffffff,54.0,0.0,21.0,0.0
832a15fffffffff,17.0,0.0,9.0,0.0
832a16fffffffff,87.0,0.0,0.0,0.0
832a30fffffffff,61.0,2.0,0.0,0.0
832a31fffffffff,186.0,0.0,2.0,0.0
832a32fffffffff,150.0,0.0,4.0,0.0
832a33fffffffff,82.0,0.0,1.0,0.0
832a34fffffffff,30.0,2.0,9.0,0.0
832a36fffffffff,123.0,0.0,0.0,0.0
832a4cfffffffff,2.0,0.0,0.0,0.0
832a80fffffffff,16.0,0.0,14.0,0.0
832a81fffffffff,11.0,0.0,2.0,0.0
832a82fffffffff,2.0,0.0,0.0,0.0
832a83fffffffff,1.0,0.0,0.0,0.0
832a84fffffffff,40.0,0.0,3.0,0.0
832a85fffffffff,10.0,0.0,0.0,0.0
832a88fffffffff,8.0,0.0,0.0,0.0
832a8afffffffff,3.0,0.0,0.0,0.0
832a8bfffffffff,6.0,0.0,0.0,0.0
832a8cfffffffff,4.0,3.0,0.0,0.0
832a8efffffffff,4.0,0.0,0.0,0.0
832a90fffffffff,1.0,0.0,0.0,0.0
832a91fffffffff,3.0,0.0,0.0,0.0
832a92fffffffff,2.0,0.0,0.0,0.0
832a93fffffffff,14.0,0.0,0.0,0.0
832a94fffffffff,2.0,0.0,0.0,0.0
832a95fffffffff,8.0,0.0,0.0,0.0
832a96fffffffff,1.0,0.0,0.0,0.0
832a99fffffffff,12.0,0.0,0.0,0.0
832a9bfffffffff,5.0,0.0,0.0,0.0
832a9cfffffffff,2.0,0.0,0.0,0.0
832aa1fffffffff,66.0,0.0,3.0,0.0
832aa2fffffffff,14.0,0.0,0.0,0.0
832aa3fffffffff,35.0,0.0,0.0,0.0
832aa4fffffffff,55.0,0.0,0.0,0.0
832aa5fffffffff,4.0,0.0,0.0,0.0
