cell_id,Calidris alpina,Calidris alpina pacifica/arcticola,Calidris alpina hudsonia,Calidris alpina arctica,Calidris alpina schinzii,Calidris alpina alpina/centralis,Calidris alpina [sakhalina Group]
8227a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,3388.0,0.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,512.0,0.0,0.0,0.0,0.0,0.0,0.0
82281ffffffffff,2192.0,0.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,20603.0,396.0,0.0,0.0,0.0,0.0,0.0
822887fffffffff,272.0,0.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,639.0,5.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8228a7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,422.0,0.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8228c7fffffffff,5185.0,13.0,0.0,0.0,0.0,0.0,0.0
8228cffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8228d7fffffffff,12761.0,322.0,0.0,0.0,0.0,0.0,0.0
8228dffffffffff,7326.0,120.0,0.0,0.0,0.0,0.0,0.0
8228e7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,6096.0,0.0,0.0,0.0,0.0,0.0,0.0
822917fffffffff,582.0,0.0,0.0,0.0,0.0,0.0,0.0
82291ffffffffff,61.0,11.0,0.0,0.0,0.0,0.0,0.0
822987fffffffff,123.0,0.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,360.0,0.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,8022.0,0.0,0.0,0.0,0.0,0.0,0.0
8229affffffffff,2505.0,1.0,0.0,0.0,0.0,0.0,0.0
8229b7fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
822a07fffffffff,517.0,0.0,0.0,0.0,0.0,0.0,0.0
822a17fffffffff,22473.0,0.0,0.0,0.0,0.0,0.0,0.0
822a1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822a37fffffffff,13814.0,0.0,0.0,0.0,0.0,0.0,0.0
822a4ffffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
822a87fffffffff,131.0,0.0,0.0,0.0,0.0,0.0,0.0
822a8ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
822a97fffffffff,1620.0,0.0,0.0,0.0,0.0,0.0,0.0
822a9ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
822aa7fffffffff,1798.0,0.0,0.0,0.0,0.0,0.0,0.0
822aaffffffffff,34341.0,0.0,602.0,0.0,0.0,0.0,0.0
822ab7fffffffff,21011.0,0.0,5.0,0.0,0.0,0.0,0.0
822ad7fffffffff,2583.0,0.0,0.0,0.0,0.0,0.0,0.0
822af7fffffffff,7396.0,0.0,0.0,0.0,0.0,0.0,0.0
822b07fffffffff,413.0,0.0,0.0,0.0,0.0,0.0,0.0
822b0ffffffffff,873.0,0.0,0.0,0.0,0.0,0.0,0.0
822b17fffffffff,3137.0,0.0,0.0,0.0,0.0,0.0,0.0
822b1ffffffffff,421.0,0.0,0.0,0.0,0.0,0.0,0.0
822b27fffffffff,335.0,0.0,0.0,0.0,0.0,0.0,0.0
822b2ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
822b37fffffffff,1098.0,0.0,0.0,0.0,0.0,0.0,0.0
