cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
844e581ffffffff,4.0,0.0,1.0
844e587ffffffff,2.0,0.0,0.0
844e5b1ffffffff,3.0,0.0,1.0
844e5b7ffffffff,3.0,0.0,1.0
844e5bdffffffff,2.0,0.0,1.0
844e649ffffffff,47.0,0.0,15.0
844e64dffffffff,1.0,0.0,1.0
844e711ffffffff,1.0,0.0,1.0
844e717ffffffff,3.0,0.0,2.0
844ec93ffffffff,32.0,0.0,17.0
844ec97ffffffff,3.0,0.0,2.0
844ec9bffffffff,7.0,0.0,0.0
844ee91ffffffff,1.0,0.0,0.0
844ee9bffffffff,1.0,0.0,0.0
844eed3ffffffff,1.0,0.0,0.0
844f431ffffffff,1.0,0.0,1.0
844f491ffffffff,10.0,0.0,0.0
844f495ffffffff,152.0,0.0,71.0
844f49bffffffff,6.0,0.0,0.0
844f4adffffffff,1.0,0.0,1.0
844f4b5ffffffff,14.0,0.0,1.0
844f4e3ffffffff,2.0,0.0,0.0
844f593ffffffff,3.0,0.0,1.0
844f59bffffffff,2.0,0.0,2.0
845214bffffffff,2.0,0.0,0.0
8452155ffffffff,14.0,0.0,1.0
8452157ffffffff,1.0,0.0,0.0
84521e9ffffffff,8.0,0.0,0.0
84521edffffffff,2.0,0.0,0.0
8452329ffffffff,9.0,0.0,0.0
845232bffffffff,2.0,0.0,0.0
8452499ffffffff,4.0,0.0,0.0
84524d3ffffffff,15.0,0.0,0.0
84524d7ffffffff,59.0,0.0,0.0
8452893ffffffff,2.0,0.0,0.0
8452d41ffffffff,15.0,0.0,0.0
8452f23ffffffff,3.0,0.0,0.0
8453a95ffffffff,3.0,0.0,0.0
8454941ffffffff,14.0,1.0,0.0
8454943ffffffff,1.0,1.0,0.0
8454949ffffffff,8.0,0.0,0.0
845494bffffffff,30.0,3.0,0.0
8454969ffffffff,3.0,0.0,0.0
8454ac3ffffffff,13.0,0.0,0.0
8454b01ffffffff,2.0,0.0,0.0
8454b05ffffffff,18.0,6.0,0.0
8454b07ffffffff,46.0,17.0,0.0
8454b2bffffffff,3.0,0.0,0.0
8457497ffffffff,8.0,0.0,0.0
84574d1ffffffff,73.0,22.0,0.0
84574d9ffffffff,5.0,0.0,0.0
84574dbffffffff,2.0,2.0,0.0
84574ddffffffff,6.0,0.0,0.0
845a0d7ffffffff,3.0,0.0,0.0
845c365ffffffff,2.0,0.0,0.0
845d101ffffffff,74.0,0.0,20.0
845d103ffffffff,3.0,0.0,0.0
845d105ffffffff,558.0,0.0,67.0
845d107ffffffff,100.0,0.0,20.0
845d10dffffffff,2.0,0.0,0.0
845d115ffffffff,3.0,0.0,0.0
845d121ffffffff,2.0,0.0,0.0
845d129ffffffff,64.0,0.0,10.0
845d12bffffffff,518.0,0.0,156.0
845d131ffffffff,41.0,0.0,4.0
845d13bffffffff,2.0,0.0,0.0
845d13dffffffff,47.0,0.0,13.0
845d145ffffffff,14.0,0.0,2.0
845d147ffffffff,6.0,0.0,0.0
845d163ffffffff,2.0,0.0,0.0
845d169ffffffff,39.0,0.0,0.0
845d16bffffffff,30.0,0.0,0.0
845d311ffffffff,2.0,0.0,0.0
845e0d3ffffffff,1.0,0.0,0.0
845e1a7ffffffff,2.0,0.0,0.0
845e405ffffffff,3.0,0.0,0.0
845e407ffffffff,5.0,0.0,0.0
845e429ffffffff,28.0,0.0,0.0
845e42bffffffff,43.0,0.0,0.0
845e431ffffffff,22.0,0.0,0.0
845e433ffffffff,13.0,0.0,0.0
845e437ffffffff,8.0,0.0,0.0
845e439ffffffff,2.0,0.0,0.0
845e43dffffffff,24.0,0.0,0.0
845e443ffffffff,2.0,0.0,0.0
845e457ffffffff,2.0,0.0,0.0
845e461ffffffff,9.0,1.0,0.0
845e463ffffffff,14.0,0.0,0.0
845e465ffffffff,9.0,0.0,0.0
845e467ffffffff,4.0,0.0,0.0
845e469ffffffff,198.0,38.0,0.0
845e483ffffffff,2.0,0.0,0.0
845e4a1ffffffff,4.0,0.0,0.0
845e4a3ffffffff,44.0,0.0,0.0
845e4a9ffffffff,2.0,0.0,0.0
845e4adffffffff,259.0,0.0,0.0
845e4b1ffffffff,53.0,0.0,0.0
845e4b5ffffffff,16.0,0.0,0.0
845e4b7ffffffff,103.0,0.0,0.0
845e4bdffffffff,4.0,0.0,0.0
845e4e7ffffffff,2.0,0.0,0.0
845e4e9ffffffff,1.0,0.0,0.0
845e4ebffffffff,2.0,0.0,0.0
845e59bffffffff,19.0,0.0,0.0
845e5c1ffffffff,2.0,0.0,0.0
845e5cbffffffff,9.0,0.0,0.0
845e5d3ffffffff,22.0,0.0,0.0
845e5d9ffffffff,52.0,0.0,0.0
845e5ddffffffff,9.0,0.0,0.0
845e625ffffffff,21.0,0.0,0.0
845e62dffffffff,277.0,0.0,0.0
845e659ffffffff,20.0,2.0,0.0
845e667ffffffff,546.0,0.0,0.0
845e705ffffffff,44.0,0.0,0.0
845e711ffffffff,2.0,0.0,0.0
845e713ffffffff,1.0,0.0,0.0
845e717ffffffff,19.0,4.0,0.0
845e719ffffffff,125.0,0.0,0.0
845e71bffffffff,176.0,0.0,0.0
845e71dffffffff,23.0,0.0,0.0
845e729ffffffff,2.0,0.0,0.0
845e72bffffffff,2.0,0.0,0.0
845e753ffffffff,46.0,0.0,0.0
845e75bffffffff,8.0,0.0,0.0
845f491ffffffff,7.0,0.0,0.0
845f497ffffffff,14.0,0.0,0.0
845f4b3ffffffff,79.0,0.0,0.0
845f4b5ffffffff,1.0,0.0,0.0
845f583ffffffff,1.0,0.0,0.0
845f587ffffffff,7.0,0.0,0.0
845f595ffffffff,2.0,0.0,0.0
845f5b5ffffffff,560.0,0.0,0.0
845f5b9ffffffff,12.0,0.0,0.0
845f5bdffffffff,31.0,0.0,0.0
846326bffffffff,2.0,0.0,0.0
8463321ffffffff,2.0,0.0,0.0
8463323ffffffff,10.0,0.0,0.0
8463325ffffffff,18.0,0.0,0.0
8463ae3ffffffff,4.0,0.0,0.0
8463ae5ffffffff,3.0,0.0,0.0
8466061ffffffff,6.0,0.0,0.0
8466067ffffffff,31.0,0.0,0.0
8466103ffffffff,4.0,0.0,0.0
846610bffffffff,9.0,0.0,0.0
8466119ffffffff,2.0,0.0,0.0
846615bffffffff,9.0,0.0,0.0
8466161ffffffff,2.0,0.0,0.0
8466165ffffffff,6.0,0.0,0.0
8466201ffffffff,8.0,0.0,0.0
8466205ffffffff,10.0,0.0,0.0
846620bffffffff,18.0,0.0,0.0
8466221ffffffff,1.0,0.0,0.0
846622bffffffff,1.0,0.0,0.0
8466311ffffffff,3.0,0.0,0.0
8466313ffffffff,65.0,0.0,0.0
8466317ffffffff,9.0,0.0,0.0
846631bffffffff,4.0,0.0,0.0
846631dffffffff,2.0,0.0,0.0
8466a61ffffffff,4.0,0.0,0.0
8466a63ffffffff,49.0,0.0,0.0
8466a65ffffffff,254.0,0.0,0.0
8466a67ffffffff,8.0,0.0,0.0
8466a69ffffffff,1.0,0.0,0.0
8466b49ffffffff,1.0,0.0,0.0
8466b59ffffffff,68.0,0.0,0.0
8466b5bffffffff,35.0,0.0,0.0
84670cbffffffff,2.0,0.0,0.0
8467153ffffffff,2.0,0.0,0.0
8467253ffffffff,49.0,0.0,0.0
84672a9ffffffff,2.0,0.0,0.0
8467329ffffffff,10.0,0.0,0.0
8467367ffffffff,2.0,0.0,0.0
846740dffffffff,2.0,0.0,0.0
8467413ffffffff,17.0,3.0,0.0
8467417ffffffff,2.0,1.0,0.0
846743bffffffff,24.0,5.0,0.0
846743dffffffff,6.0,0.0,0.0
8467445ffffffff,3.0,0.0,0.0
8467447ffffffff,81.0,0.0,0.0
8467451ffffffff,12.0,0.0,0.0
8467455ffffffff,1.0,0.0,0.0
846745bffffffff,50.0,2.0,0.0
8467461ffffffff,87.0,0.0,0.0
8467463ffffffff,71.0,0.0,0.0
846746bffffffff,17.0,0.0,0.0
846746dffffffff,118.0,0.0,0.0
84674c9ffffffff,6.0,0.0,0.0
84674cbffffffff,5.0,0.0,0.0
84674cdffffffff,32.0,0.0,0.0
8467521ffffffff,8.0,0.0,0.0
846752dffffffff,35.0,0.0,0.0
846754bffffffff,3.0,0.0,0.0
8467551ffffffff,2.0,0.0,0.0
8467553ffffffff,2.0,0.0,0.0
8467555ffffffff,26.0,0.0,0.0
8467559ffffffff,7.0,0.0,0.0
846755dffffffff,14.0,0.0,0.0
8467567ffffffff,1.0,0.0,0.0
8467569ffffffff,4.0,0.0,0.0
8467693ffffffff,19.0,0.0,0.0
846769bffffffff,5.0,0.0,0.0
84676b5ffffffff,6.0,0.0,0.0
84676b9ffffffff,4.0,0.0,0.0
84676bdffffffff,2.0,0.0,0.0
84676d7ffffffff,2.0,1.0,0.0
84676edffffffff,1.0,0.0,0.0
8467723ffffffff,2.0,0.0,0.0
8467733ffffffff,1.0,0.0,0.0
8467737ffffffff,216.0,0.0,0.0
8467835ffffffff,3.0,0.0,0.0
846783dffffffff,10.0,0.0,0.0
8467843ffffffff,3.0,0.0,0.0
846784bffffffff,2.0,0.0,0.0
8467913ffffffff,8.0,0.0,0.0
84679a1ffffffff,16.0,0.0,0.0
84679a3ffffffff,3.0,0.0,0.0
84679adffffffff,8.0,0.0,0.0
84679b1ffffffff,2.0,0.0,0.0
84679b3ffffffff,344.0,0.0,0.0
84679b5ffffffff,186.0,14.0,0.0
84679b7ffffffff,37.0,0.0,0.0
84679bdffffffff,7.0,0.0,0.0
8467a01ffffffff,2.0,0.0,0.0
8467a09ffffffff,1.0,0.0,0.0
8467a37ffffffff,2.0,0.0,0.0
8467b45ffffffff,1.0,0.0,0.0
8467b61ffffffff,2.0,0.0,0.0
8467b69ffffffff,1.0,0.0,0.0
84680d9ffffffff,6.0,0.0,0.0
8468287ffffffff,3.0,0.0,0.0
84682b7ffffffff,1.0,0.0,0.0
846859dffffffff,2.0,0.0,0.0
84685d5ffffffff,7.0,0.0,0.0
8468619ffffffff,2.0,0.0,0.0
846863dffffffff,2.0,0.0,0.0
8468657ffffffff,1.0,0.0,0.0
8468c89ffffffff,3.0,0.0,0.0
8468ce3ffffffff,4.0,0.0,0.0
8468d81ffffffff,2.0,0.0,0.0
8468d8bffffffff,2.0,0.0,2.0
8468db9ffffffff,2.0,0.0,0.0
8468dbbffffffff,2.0,0.0,0.0
8469585ffffffff,2.0,0.0,0.0
8469589ffffffff,14.0,0.0,0.0
8469593ffffffff,2.0,0.0,0.0
846d34dffffffff,2.0,0.0,0.0
8470657ffffffff,24.0,0.0,0.0
84724d9ffffffff,1.0,0.0,0.0
8472917ffffffff,2.0,0.0,0.0
8472a31ffffffff,5.0,0.0,0.0
8472a61ffffffff,2.0,0.0,0.0
8472ae1ffffffff,3.0,0.0,0.0
8472ae7ffffffff,2.0,0.0,0.0
8472aedffffffff,4.0,0.0,0.0
8472c8bffffffff,2.0,0.0,0.0
