cell_id,Anser anser,Anser anser anser,Anser anser rubrirostris
82a807fffffffff,1.0,0.0,0.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,21.0,0.0,0.0
82a81ffffffffff,9.0,0.0,0.0
82a8c7fffffffff,1.0,0.0,0.0
82a8d7fffffffff,1.0,0.0,0.0
82a90ffffffffff,1.0,0.0,0.0
82a92ffffffffff,3.0,0.0,0.0
82a94ffffffffff,7.0,0.0,0.0
82b247fffffffff,1.0,0.0,0.0
82b25ffffffffff,23.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0
82b347fffffffff,2.0,0.0,0.0
82b35ffffffffff,45.0,0.0,0.0
82ba27fffffffff,3.0,0.0,0.0
82ba6ffffffffff,24.0,0.0,0.0
82bb0ffffffffff,317.0,0.0,0.0
82bb2ffffffffff,325.0,0.0,0.0
82bb37fffffffff,8.0,0.0,0.0
82bb57fffffffff,279.0,0.0,0.0
82bb5ffffffffff,7.0,0.0,0.0
82bb77fffffffff,116.0,0.0,0.0
82be0ffffffffff,1.0,0.0,0.0
82c207fffffffff,34.0,0.0,0.0
82c21ffffffffff,34.0,0.0,0.0
82c2c7fffffffff,63.0,0.0,0.0
82c2d7fffffffff,18.0,0.0,0.0
82c2e7fffffffff,173.0,0.0,0.0
82c2f7fffffffff,235.0,0.0,0.0
82c357fffffffff,1.0,0.0,0.0
82ce97fffffffff,1.0,0.0,0.0
82cf87fffffffff,9.0,0.0,0.0
82cf8ffffffffff,5.0,0.0,0.0
82cf97fffffffff,13.0,0.0,0.0
82cfa7fffffffff,60.0,0.0,0.0
82da87fffffffff,472.0,0.0,0.0
82da8ffffffffff,4.0,0.0,0.0
82da97fffffffff,210.0,0.0,0.0
82daaffffffffff,24.0,0.0,0.0
82dab7fffffffff,64.0,0.0,0.0
82de67fffffffff,6.0,0.0,0.0
82de77fffffffff,18.0,0.0,0.0
