cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
83446afffffffff,2.0,0.0,0.0
83446cfffffffff,87.0,6.0,0.0
83446dfffffffff,30.0,2.0,0.0
83446efffffffff,39.0,4.0,0.0
834473fffffffff,15.0,0.0,0.0
834485fffffffff,2.0,0.0,0.0
8344a3fffffffff,26.0,0.0,0.0
8344a5fffffffff,4.0,0.0,0.0
8344a8fffffffff,9.0,0.0,0.0
8344a9fffffffff,52.0,6.0,0.0
8344acfffffffff,32.0,0.0,0.0
8344adfffffffff,39.0,6.0,0.0
8344aefffffffff,2.0,1.0,0.0
8344b5fffffffff,82.0,0.0,0.0
8344c0fffffffff,43.0,2.0,0.0
8344c1fffffffff,27.0,2.0,0.0
8344c2fffffffff,179.0,0.0,0.0
8344c3fffffffff,6.0,0.0,0.0
8344c4fffffffff,10.0,0.0,0.0
8344c5fffffffff,79.0,0.0,0.0
8344c6fffffffff,10.0,0.0,0.0
8344c8fffffffff,10.0,0.0,0.0
8344cafffffffff,2.0,0.0,0.0
8344cbfffffffff,4.0,0.0,0.0
8344ccfffffffff,6.0,0.0,0.0
8344cdfffffffff,9.0,0.0,0.0
8344cefffffffff,2.0,0.0,0.0
8344d0fffffffff,69.0,0.0,0.0
8344d1fffffffff,23.0,0.0,0.0
8344d2fffffffff,47.0,0.0,0.0
8344d3fffffffff,13.0,2.0,0.0
8344d5fffffffff,174.0,1.0,0.0
8344d9fffffffff,103.0,10.0,0.0
8344dafffffffff,5.0,0.0,0.0
8344dbfffffffff,2.0,0.0,0.0
8344ddfffffffff,8.0,0.0,0.0
8344defffffffff,5.0,0.0,0.0
8344e0fffffffff,60.0,2.0,0.0
8344e1fffffffff,7.0,0.0,0.0
8344e2fffffffff,60.0,0.0,0.0
8344e3fffffffff,110.0,9.0,0.0
8344e5fffffffff,30.0,0.0,0.0
8344e6fffffffff,2.0,0.0,0.0
8344e8fffffffff,3.0,0.0,0.0
8344ecfffffffff,9.0,0.0,0.0
8344edfffffffff,14.0,0.0,0.0
8344eefffffffff,77.0,1.0,0.0
8344f0fffffffff,14.0,0.0,0.0
8344f1fffffffff,5.0,0.0,0.0
8344f3fffffffff,49.0,2.0,0.0
8344f4fffffffff,90.0,5.0,0.0
8344f5fffffffff,23.0,4.0,0.0
8344f6fffffffff,12.0,0.0,0.0
834505fffffffff,3.0,0.0,0.0
83450bfffffffff,5.0,5.0,0.0
834521fffffffff,16.0,0.0,0.0
834522fffffffff,7.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0
834524fffffffff,3.0,0.0,0.0
834525fffffffff,5.0,0.0,0.0
83452afffffffff,110.0,0.0,0.0
83452cfffffffff,12.0,0.0,0.0
83452dfffffffff,2.0,1.0,0.0
83452efffffffff,52.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0
83458cfffffffff,1.0,0.0,0.0
8345a3fffffffff,4.0,0.0,0.0
8345b0fffffffff,2.0,0.0,0.0
83481afffffffff,6.0,0.0,0.0
83482afffffffff,362.0,0.0,0.0
834836fffffffff,6.0,0.0,0.0
83485bfffffffff,2.0,0.0,0.0
834881fffffffff,1.0,0.0,0.0
834882fffffffff,5.0,2.0,0.0
834883fffffffff,2.0,0.0,0.0
834885fffffffff,2.0,0.0,0.0
834886fffffffff,7.0,0.0,0.0
83488bfffffffff,15.0,2.0,0.0
83488efffffffff,4.0,0.0,0.0
834890fffffffff,46.0,0.0,0.0
834891fffffffff,3.0,0.0,0.0
834892fffffffff,8.0,2.0,0.0
834893fffffffff,7.0,0.0,0.0
834895fffffffff,35.0,6.0,0.0
834898fffffffff,33.0,0.0,0.0
834899fffffffff,2.0,0.0,0.0
