cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
8426205ffffffff,35.0,0.0,0.0
8426207ffffffff,51.0,0.0,0.0
8426209ffffffff,10.0,0.0,0.0
842620bffffffff,824.0,0.0,0.0
842620dffffffff,95.0,0.0,0.0
8426211ffffffff,71.0,0.0,0.0
8426213ffffffff,51.0,0.0,0.0
8426215ffffffff,100.0,0.0,0.0
8426217ffffffff,32.0,0.0,0.0
8426219ffffffff,248.0,0.0,0.0
842621bffffffff,410.0,0.0,0.0
842621dffffffff,114.0,0.0,0.0
8426221ffffffff,25.0,0.0,0.0
8426223ffffffff,8.0,0.0,0.0
8426225ffffffff,4.0,0.0,0.0
8426227ffffffff,2.0,0.0,0.0
8426229ffffffff,19.0,0.0,0.0
842622bffffffff,38.0,0.0,0.0
842622dffffffff,4.0,0.0,0.0
8426231ffffffff,50.0,0.0,0.0
8426233ffffffff,41.0,0.0,0.0
8426235ffffffff,32.0,0.0,0.0
8426237ffffffff,77.0,0.0,0.0
8426239ffffffff,23.0,0.0,0.0
842623bffffffff,36.0,0.0,0.0
842623dffffffff,38.0,0.0,0.0
8426241ffffffff,13.0,0.0,0.0
8426243ffffffff,18.0,0.0,0.0
8426245ffffffff,776.0,0.0,0.0
8426247ffffffff,12.0,0.0,0.0
8426249ffffffff,34.0,0.0,0.0
842624bffffffff,33.0,0.0,0.0
842624dffffffff,2.0,0.0,0.0
8426251ffffffff,19.0,0.0,0.0
8426253ffffffff,14.0,0.0,0.0
8426255ffffffff,18.0,0.0,0.0
8426257ffffffff,314.0,0.0,0.0
8426259ffffffff,32.0,0.0,0.0
842625bffffffff,8.0,0.0,0.0
842625dffffffff,53.0,0.0,0.0
8426261ffffffff,99.0,0.0,0.0
8426263ffffffff,80.0,0.0,0.0
8426265ffffffff,15.0,0.0,0.0
8426267ffffffff,18.0,0.0,0.0
8426269ffffffff,315.0,0.0,0.0
842626bffffffff,187.0,0.0,0.0
842626dffffffff,307.0,0.0,0.0
8426281ffffffff,17.0,0.0,0.0
8426283ffffffff,37.0,0.0,0.0
8426289ffffffff,114.0,0.0,0.0
842628bffffffff,4.0,0.0,0.0
842628dffffffff,32.0,0.0,0.0
8426291ffffffff,287.0,0.0,0.0
8426293ffffffff,47.0,0.0,0.0
8426295ffffffff,13.0,0.0,0.0
8426297ffffffff,4.0,0.0,0.0
8426299ffffffff,17.0,0.0,0.0
842629bffffffff,5.0,0.0,0.0
842629dffffffff,8.0,0.0,0.0
84262a1ffffffff,4.0,0.0,0.0
84262a5ffffffff,3.0,0.0,0.0
84262a7ffffffff,6.0,0.0,0.0
84262a9ffffffff,13.0,0.0,0.0
84262abffffffff,2.0,0.0,0.0
84262adffffffff,30.0,0.0,0.0
84262b1ffffffff,2.0,0.0,0.0
84262b3ffffffff,1100.0,0.0,0.0
84262b5ffffffff,3.0,0.0,0.0
84262b7ffffffff,37.0,0.0,0.0
84262b9ffffffff,4.0,0.0,0.0
84262bbffffffff,9.0,0.0,0.0
84262bdffffffff,4.0,0.0,0.0
84262c1ffffffff,737.0,0.0,0.0
84262c3ffffffff,63.0,0.0,0.0
84262c5ffffffff,96.0,0.0,0.0
84262c7ffffffff,106.0,0.0,0.0
84262c9ffffffff,1434.0,0.0,0.0
84262cbffffffff,153.0,0.0,0.0
84262cdffffffff,6459.0,0.0,0.0
84262d1ffffffff,31.0,0.0,0.0
84262d3ffffffff,10.0,0.0,0.0
84262d5ffffffff,52.0,0.0,0.0
84262d7ffffffff,10.0,0.0,0.0
84262d9ffffffff,186.0,0.0,0.0
84262dbffffffff,163.0,0.0,0.0
84262ddffffffff,462.0,0.0,0.0
84262e1ffffffff,45.0,0.0,0.0
84262e3ffffffff,65.0,0.0,0.0
84262e5ffffffff,33.0,0.0,0.0
84262e7ffffffff,54.0,0.0,0.0
84262e9ffffffff,54.0,0.0,0.0
84262ebffffffff,94.0,0.0,0.0
84262edffffffff,16.0,0.0,0.0
8426301ffffffff,10.0,0.0,0.0
8426303ffffffff,5.0,0.0,0.0
8426305ffffffff,3.0,0.0,0.0
8426307ffffffff,7.0,0.0,0.0
8426309ffffffff,12.0,0.0,0.0
842630bffffffff,8.0,0.0,0.0
842630dffffffff,29.0,0.0,0.0
8426313ffffffff,2.0,0.0,0.0
8426315ffffffff,3.0,0.0,0.0
8426319ffffffff,7.0,0.0,0.0
842631dffffffff,56.0,0.0,0.0
8426327ffffffff,4.0,0.0,0.0
842632bffffffff,1.0,0.0,0.0
8426337ffffffff,163.0,0.0,0.0
842633dffffffff,2.0,0.0,0.0
8426341ffffffff,29.0,0.0,0.0
8426345ffffffff,18.0,0.0,0.0
8426347ffffffff,9.0,0.0,0.0
8426349ffffffff,3.0,0.0,0.0
842634bffffffff,430.0,0.0,0.0
842634dffffffff,29.0,0.0,0.0
8426351ffffffff,27.0,0.0,0.0
8426353ffffffff,5.0,0.0,0.0
8426355ffffffff,2.0,0.0,0.0
8426357ffffffff,26.0,0.0,0.0
8426359ffffffff,32.0,0.0,0.0
842635bffffffff,16.0,0.0,0.0
842635dffffffff,15.0,0.0,0.0
8426361ffffffff,6.0,0.0,0.0
8426363ffffffff,29.0,0.0,0.0
8426365ffffffff,8.0,0.0,0.0
8426367ffffffff,11.0,0.0,0.0
8426369ffffffff,305.0,0.0,0.0
842636bffffffff,5.0,0.0,0.0
842636dffffffff,4.0,0.0,0.0
8426401ffffffff,10.0,0.0,0.0
8426403ffffffff,53.0,0.0,0.0
8426405ffffffff,547.0,0.0,0.0
8426407ffffffff,24.0,0.0,0.0
8426409ffffffff,110.0,0.0,0.0
842640bffffffff,2.0,0.0,0.0
842640dffffffff,595.0,0.0,0.0
8426411ffffffff,71.0,0.0,0.0
8426413ffffffff,78.0,0.0,0.0
8426415ffffffff,721.0,0.0,0.0
8426417ffffffff,125.0,0.0,0.0
8426419ffffffff,6.0,0.0,0.0
842641bffffffff,35.0,0.0,0.0
842641dffffffff,86.0,0.0,0.0
8426421ffffffff,19.0,0.0,0.0
8426423ffffffff,18.0,0.0,0.0
8426425ffffffff,159.0,0.0,0.0
8426427ffffffff,7.0,0.0,0.0
8426429ffffffff,270.0,0.0,0.0
842642bffffffff,142.0,0.0,0.0
842642dffffffff,78.0,0.0,0.0
8426431ffffffff,49.0,0.0,0.0
8426433ffffffff,282.0,0.0,0.0
8426435ffffffff,5.0,0.0,0.0
8426437ffffffff,66.0,0.0,0.0
8426439ffffffff,229.0,0.0,0.0
842643bffffffff,476.0,0.0,0.0
842643dffffffff,65.0,0.0,0.0
8426441ffffffff,19.0,0.0,0.0
8426443ffffffff,4.0,0.0,0.0
8426445ffffffff,8.0,0.0,0.0
8426447ffffffff,1.0,0.0,0.0
8426449ffffffff,12.0,0.0,0.0
842644bffffffff,20.0,0.0,0.0
842644dffffffff,244.0,0.0,0.0
8426451ffffffff,2.0,0.0,0.0
8426453ffffffff,4.0,0.0,0.0
8426455ffffffff,15.0,0.0,0.0
8426457ffffffff,10.0,0.0,0.0
8426459ffffffff,52.0,0.0,0.0
842645bffffffff,11.0,0.0,0.0
842645dffffffff,37.0,0.0,0.0
8426461ffffffff,376.0,0.0,0.0
8426463ffffffff,3651.0,0.0,0.0
8426465ffffffff,1.0,0.0,0.0
8426467ffffffff,196.0,0.0,0.0
8426469ffffffff,2.0,0.0,0.0
842646bffffffff,713.0,0.0,0.0
842646dffffffff,15.0,0.0,0.0
8426481ffffffff,148.0,0.0,0.0
8426483ffffffff,29.0,0.0,0.0
8426485ffffffff,7.0,0.0,0.0
8426487ffffffff,30.0,0.0,0.0
8426489ffffffff,336.0,0.0,0.0
842648bffffffff,167.0,0.0,0.0
842648dffffffff,46.0,0.0,0.0
8426491ffffffff,16.0,0.0,0.0
8426493ffffffff,1017.0,0.0,0.0
8426495ffffffff,619.0,0.0,0.0
8426497ffffffff,253.0,0.0,0.0
8426499ffffffff,23.0,0.0,0.0
842649bffffffff,468.0,0.0,0.0
842649dffffffff,54.0,0.0,0.0
84264a1ffffffff,34.0,0.0,0.0
84264a3ffffffff,45.0,0.0,0.0
84264a5ffffffff,26.0,0.0,0.0
84264a7ffffffff,526.0,0.0,0.0
84264a9ffffffff,49.0,0.0,0.0
84264abffffffff,22.0,0.0,0.0
84264adffffffff,20.0,0.0,0.0
84264b1ffffffff,9.0,0.0,0.0
84264b3ffffffff,25.0,0.0,0.0
84264b7ffffffff,30.0,0.0,0.0
84264b9ffffffff,214.0,0.0,0.0
84264bbffffffff,113.0,0.0,0.0
84264bdffffffff,14.0,0.0,0.0
84264c1ffffffff,69.0,0.0,0.0
84264c3ffffffff,484.0,0.0,0.0
84264c5ffffffff,316.0,0.0,0.0
84264c7ffffffff,546.0,0.0,0.0
84264c9ffffffff,5.0,0.0,0.0
84264cbffffffff,304.0,0.0,0.0
84264cdffffffff,21.0,0.0,0.0
84264d1ffffffff,2268.0,0.0,0.0
84264d3ffffffff,159.0,0.0,0.0
84264d5ffffffff,117.0,0.0,0.0
84264d7ffffffff,34.0,0.0,0.0
84264d9ffffffff,1351.0,0.0,0.0
84264dbffffffff,1359.0,0.0,0.0
84264ddffffffff,168.0,0.0,0.0
84264e1ffffffff,21.0,0.0,0.0
84264e3ffffffff,10.0,0.0,0.0
84264e5ffffffff,237.0,0.0,0.0
84264e7ffffffff,17.0,0.0,0.0
84264e9ffffffff,6.0,0.0,0.0
84264ebffffffff,21.0,0.0,0.0
84264edffffffff,32.0,0.0,0.0
8426501ffffffff,26.0,0.0,0.0
8426503ffffffff,12.0,0.0,0.0
8426505ffffffff,17.0,0.0,0.0
8426507ffffffff,10.0,0.0,0.0
8426509ffffffff,23.0,0.0,0.0
842650bffffffff,30.0,0.0,0.0
842650dffffffff,70.0,0.0,0.0
8426511ffffffff,24.0,0.0,0.0
