cell_id,Pica pica,Pica pica melanotos,Pica pica [pica Group],Pica pica camtschatica
8408d3bffffffff,3.0,0.0,0.0,0.0
8408d41ffffffff,9.0,0.0,0.0,0.0
8408d43ffffffff,5.0,0.0,0.0,0.0
8408d45ffffffff,5.0,0.0,0.0,0.0
8408d4bffffffff,4.0,0.0,0.0,0.0
8408d51ffffffff,10.0,0.0,2.0,0.0
8408d55ffffffff,9.0,0.0,0.0,0.0
8408d57ffffffff,25.0,0.0,4.0,0.0
8408d81ffffffff,78.0,0.0,3.0,0.0
8408d83ffffffff,3.0,0.0,0.0,0.0
8408d85ffffffff,8.0,0.0,2.0,0.0
8408d8bffffffff,18.0,0.0,1.0,0.0
8408d8dffffffff,3.0,0.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0,0.0
8408dd1ffffffff,2.0,0.0,2.0,0.0
8408dd9ffffffff,6.0,0.0,0.0,0.0
8408e01ffffffff,3.0,0.0,0.0,0.0
8408e31ffffffff,1.0,0.0,0.0,0.0
8408e59ffffffff,2.0,0.0,0.0,0.0
8408e8bffffffff,7.0,0.0,0.0,0.0
8408e93ffffffff,1.0,0.0,0.0,0.0
8408e99ffffffff,4.0,0.0,0.0,0.0
8408e9bffffffff,7.0,0.0,0.0,0.0
8408ea7ffffffff,9.0,0.0,0.0,0.0
8408eb1ffffffff,1.0,0.0,0.0,0.0
8408eb3ffffffff,1.0,0.0,0.0,0.0
8408ebdffffffff,2.0,0.0,0.0,0.0
8408ec1ffffffff,22.0,0.0,0.0,0.0
8408ec9ffffffff,17.0,0.0,0.0,0.0
8408ecbffffffff,2.0,0.0,0.0,0.0
8408ed3ffffffff,138.0,0.0,3.0,0.0
8408ed7ffffffff,6.0,0.0,0.0,0.0
8408edbffffffff,20.0,0.0,2.0,0.0
8408ee1ffffffff,4.0,0.0,0.0,0.0
8408ee5ffffffff,1.0,0.0,0.0,0.0
8408ee7ffffffff,2.0,0.0,0.0,0.0
8408ee9ffffffff,9.0,0.0,0.0,0.0
8408f05ffffffff,2.0,0.0,0.0,0.0
8408f09ffffffff,4.0,0.0,0.0,0.0
8408f0dffffffff,2.0,0.0,0.0,0.0
8408f17ffffffff,2.0,0.0,0.0,0.0
8408f25ffffffff,6.0,0.0,2.0,0.0
8408f47ffffffff,10.0,0.0,0.0,0.0
8408f63ffffffff,28.0,0.0,0.0,0.0
84094a7ffffffff,6.0,0.0,0.0,0.0
84094b3ffffffff,2.0,0.0,0.0,0.0
84094b5ffffffff,14.0,0.0,0.0,0.0
84094b7ffffffff,8.0,0.0,0.0,0.0
8409585ffffffff,13.0,0.0,0.0,0.0
8409587ffffffff,8.0,0.0,0.0,0.0
8409595ffffffff,3.0,0.0,0.0,0.0
8409597ffffffff,1.0,0.0,0.0,0.0
8409599ffffffff,8.0,0.0,0.0,0.0
840959bffffffff,6.0,0.0,0.0,0.0
84095a9ffffffff,20.0,0.0,6.0,0.0
84095abffffffff,5.0,0.0,0.0,0.0
84095adffffffff,8.0,0.0,0.0,0.0
84095b1ffffffff,1.0,0.0,0.0,0.0
84095bbffffffff,11.0,0.0,0.0,0.0
84095bdffffffff,2.0,0.0,0.0,0.0
8409805ffffffff,4.0,0.0,0.0,0.0
8409807ffffffff,3.0,0.0,0.0,0.0
8409811ffffffff,94.0,0.0,25.0,0.0
8409813ffffffff,4.0,0.0,4.0,0.0
8409815ffffffff,8.0,0.0,5.0,0.0
8409819ffffffff,6.0,0.0,1.0,0.0
840981bffffffff,3.0,0.0,0.0,0.0
840981dffffffff,5.0,0.0,0.0,0.0
8409821ffffffff,64.0,0.0,1.0,0.0
8409825ffffffff,9.0,0.0,0.0,0.0
8409829ffffffff,1.0,0.0,0.0,0.0
840982bffffffff,67.0,0.0,2.0,0.0
840982dffffffff,10.0,0.0,0.0,0.0
