cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
8425115ffffffff,17.0,0.0,0.0
8425123ffffffff,18.0,0.0,0.0
842512bffffffff,2.0,0.0,0.0
8425131ffffffff,13.0,0.0,0.0
8425135ffffffff,6.0,0.0,0.0
8425137ffffffff,11.0,0.0,0.0
8425139ffffffff,2.0,0.0,0.0
842513dffffffff,3.0,0.0,0.0
8425145ffffffff,6.0,0.0,0.0
8425161ffffffff,2.0,0.0,0.0
84251adffffffff,3.0,0.0,0.0
84255a7ffffffff,1.0,0.0,0.0
84255b7ffffffff,37.0,0.0,0.0
842596dffffffff,6.0,0.0,0.0
8425a33ffffffff,2.0,0.0,0.0
8425a49ffffffff,3.0,0.0,0.0
8425a4dffffffff,18.0,2.0,0.0
8425a8bffffffff,1.0,0.0,0.0
8425aabffffffff,4.0,0.0,0.0
8425ac9ffffffff,1.0,0.0,0.0
8425acbffffffff,11.0,0.0,0.0
8425ad7ffffffff,1.0,0.0,0.0
8425ad9ffffffff,1.0,0.0,0.0
8425ae9ffffffff,3.0,0.0,0.0
8425b03ffffffff,4.0,2.0,0.0
8425b0bffffffff,2.0,0.0,0.0
8425b1dffffffff,5.0,1.0,0.0
8425b41ffffffff,20.0,0.0,0.0
842c001ffffffff,2.0,0.0,0.0
842c003ffffffff,9.0,2.0,0.0
842c007ffffffff,2.0,0.0,0.0
842c00bffffffff,9.0,0.0,0.0
842c031ffffffff,2.0,0.0,0.0
842c047ffffffff,2.0,0.0,0.0
842c059ffffffff,3.0,0.0,0.0
842c05bffffffff,1.0,0.0,0.0
842c061ffffffff,9.0,2.0,0.0
842c063ffffffff,1.0,0.0,0.0
842c065ffffffff,12.0,2.0,0.0
842c067ffffffff,11.0,0.0,0.0
842c06dffffffff,17.0,4.0,0.0
842c085ffffffff,2.0,0.0,0.0
842c0a9ffffffff,5.0,0.0,0.0
842c0b3ffffffff,3.0,0.0,0.0
842c0b7ffffffff,4.0,0.0,0.0
842c13bffffffff,2.0,0.0,0.0
842c18dffffffff,2.0,0.0,0.0
842c193ffffffff,20.0,0.0,0.0
842c19dffffffff,2.0,0.0,0.0
842c1cdffffffff,3.0,0.0,0.0
842c203ffffffff,8.0,0.0,0.0
842c219ffffffff,20.0,0.0,0.0
842c2a1ffffffff,45.0,0.0,0.0
842c2a3ffffffff,5.0,0.0,0.0
842c2e5ffffffff,2.0,0.0,0.0
842c323ffffffff,6.0,0.0,0.0
842c42dffffffff,5.0,0.0,0.0
842c439ffffffff,1.0,0.0,0.0
842c553ffffffff,2.0,0.0,0.0
842c56dffffffff,26.0,0.0,0.0
842c663ffffffff,3.0,0.0,0.0
842c6d1ffffffff,2.0,0.0,0.0
842c725ffffffff,2.0,0.0,0.0
842c823ffffffff,3.0,0.0,0.0
842c831ffffffff,5.0,0.0,0.0
842c835ffffffff,6.0,0.0,0.0
842c837ffffffff,2.0,0.0,0.0
842c8d7ffffffff,3.0,0.0,0.0
842c8e5ffffffff,3.0,0.0,0.0
842c903ffffffff,2.0,0.0,0.0
842c931ffffffff,1.0,0.0,0.0
842c933ffffffff,45.0,5.0,0.0
842c937ffffffff,47.0,7.0,0.0
842c939ffffffff,1.0,0.0,0.0
842c93bffffffff,1093.0,151.0,0.0
842c987ffffffff,4.0,0.0,0.0
842c98dffffffff,3.0,0.0,0.0
842c9abffffffff,1.0,0.0,0.0
