cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
834c88fffffffff,6.0,0.0,0.0
834c98fffffffff,2.0,0.0,0.0
834caafffffffff,2.0,0.0,0.0
834cc0fffffffff,27.0,0.0,0.0
834cc5fffffffff,4.0,0.0,0.0
834cd0fffffffff,5.0,0.0,0.0
834cd2fffffffff,1.0,1.0,0.0
834ce8fffffffff,2.0,0.0,0.0
834ceafffffffff,7.0,0.0,0.0
835e5cfffffffff,12.0,2.0,0.0
835f49fffffffff,1.0,0.0,0.0
835f4bfffffffff,20.0,0.0,0.0
836606fffffffff,1.0,0.0,0.0
836620fffffffff,11.0,0.0,0.0
8366a5fffffffff,29.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0
836740fffffffff,5.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
836744fffffffff,43.0,0.0,0.0
836745fffffffff,1.0,0.0,0.0
836746fffffffff,2.0,0.0,0.0
836752fffffffff,28.0,0.0,0.0
836755fffffffff,28.0,2.0,0.0
836769fffffffff,2.0,2.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d06fffffffff,3.0,0.0,0.0
836d14fffffffff,2.0,0.0,0.0
836d24fffffffff,1.0,0.0,0.0
836d2bfffffffff,33.0,0.0,0.0
836d31fffffffff,11.0,0.0,0.0
836d33fffffffff,4.0,0.0,0.0
836d61fffffffff,4.0,0.0,0.0
836d63fffffffff,17.0,0.0,0.0
836d66fffffffff,12.0,0.0,0.0
836d69fffffffff,44.0,0.0,0.0
836d74fffffffff,2.0,0.0,0.0
836d75fffffffff,7.0,0.0,0.0
836d76fffffffff,32.0,0.0,0.0
838e45fffffffff,17.0,0.0,4.0
838e75fffffffff,7.0,0.0,0.0
838f50fffffffff,3.0,0.0,3.0
83b200fffffffff,1.0,0.0,0.0
83b203fffffffff,29.0,0.0,0.0
83b219fffffffff,1.0,0.0,0.0
83b21dfffffffff,25.0,0.0,0.0
83b2c0fffffffff,28.0,0.0,0.0
83b2c2fffffffff,12.0,0.0,0.0
83b2c3fffffffff,4.0,0.0,0.0
83b2c4fffffffff,50.0,0.0,0.0
83b2dafffffffff,6.0,0.0,0.0
83b2e2fffffffff,143.0,0.0,1.0
83b303fffffffff,1.0,0.0,0.0
83b304fffffffff,5.0,0.0,0.0
83b31dfffffffff,2.0,0.0,0.0
83b330fffffffff,1.0,0.0,0.0
83ce88fffffffff,2.0,0.0,0.0
83ce8bfffffffff,21.0,0.0,0.0
83ce8cfffffffff,7.0,0.0,0.0
83cea8fffffffff,1.0,0.0,0.0
