cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
8466da7ffffffff,4.0,0.0,0.0,0.0,0.0
8466da9ffffffff,5.0,0.0,0.0,0.0,0.0
8466dadffffffff,9.0,0.0,0.0,0.0,0.0
8466db5ffffffff,2.0,0.0,0.0,0.0,0.0
8466dc3ffffffff,128.0,0.0,0.0,0.0,10.0
8466dc7ffffffff,8.0,0.0,0.0,0.0,0.0
8466dd1ffffffff,1.0,0.0,0.0,0.0,0.0
8466dd5ffffffff,8.0,0.0,0.0,0.0,2.0
8466dd7ffffffff,3.0,0.0,0.0,0.0,0.0
8466ddbffffffff,2.0,0.0,0.0,0.0,0.0
8466dddffffffff,1.0,0.0,0.0,0.0,0.0
8466de1ffffffff,10.0,0.0,0.0,0.0,0.0
8466de3ffffffff,35.0,0.0,0.0,0.0,0.0
8466de7ffffffff,4.0,0.0,0.0,0.0,0.0
8466debffffffff,53.0,0.0,0.0,0.0,0.0
8466e3bffffffff,15.0,0.0,0.0,0.0,0.0
8466e57ffffffff,3.0,0.0,0.0,0.0,0.0
8466e59ffffffff,4.0,0.0,0.0,0.0,0.0
8467413ffffffff,7.0,0.0,0.0,0.0,0.0
8467417ffffffff,1.0,0.0,0.0,0.0,0.0
8467425ffffffff,8.0,0.0,0.0,0.0,0.0
8467431ffffffff,1.0,0.0,0.0,0.0,0.0
8467433ffffffff,2.0,0.0,0.0,0.0,0.0
8467437ffffffff,34.0,0.0,0.0,0.0,0.0
846743bffffffff,10.0,0.0,0.0,0.0,2.0
84674c7ffffffff,10.0,0.0,0.0,0.0,2.0
84674e9ffffffff,1.0,0.0,0.0,0.0,0.0
84674edffffffff,24.0,0.0,0.0,0.0,3.0
8467519ffffffff,3.0,0.0,0.0,0.0,0.0
84675c9ffffffff,2.0,0.0,0.0,0.0,0.0
84675cbffffffff,22.0,0.0,0.0,0.0,0.0
84675ddffffffff,5.0,0.0,0.0,0.0,0.0
84678b7ffffffff,4.0,0.0,0.0,0.0,0.0
846792dffffffff,10.0,0.0,0.0,0.0,0.0
846793bffffffff,2.0,0.0,0.0,0.0,0.0
8467945ffffffff,5.0,0.0,0.0,0.0,0.0
846794bffffffff,2.0,0.0,0.0,0.0,0.0
8467961ffffffff,79.0,0.0,0.0,0.0,0.0
8467963ffffffff,2.0,0.0,0.0,0.0,0.0
8467969ffffffff,7.0,0.0,0.0,0.0,0.0
846796bffffffff,5.0,0.0,0.0,0.0,0.0
84679a1ffffffff,24.0,0.0,0.0,0.0,0.0
84679a5ffffffff,171.0,0.0,0.0,0.0,0.0
84679a7ffffffff,59.0,0.0,0.0,0.0,0.0
84679adffffffff,3.0,0.0,0.0,0.0,0.0
84679b5ffffffff,1.0,0.0,0.0,0.0,0.0
84679b7ffffffff,58.0,0.0,0.0,0.0,0.0
846d04bffffffff,2.0,0.0,0.0,0.0,0.0
846d05bffffffff,137.0,56.0,0.0,0.0,0.0
846d207ffffffff,5.0,0.0,0.0,0.0,0.0
846d219ffffffff,2.0,0.0,0.0,0.0,0.0
846d21bffffffff,47.0,12.0,0.0,0.0,0.0
846d21dffffffff,63.0,0.0,0.0,0.0,0.0
846d221ffffffff,2.0,0.0,0.0,0.0,0.0
846d223ffffffff,12.0,2.0,0.0,0.0,0.0
846d225ffffffff,2.0,0.0,0.0,0.0,0.0
846d23dffffffff,26.0,8.0,0.0,0.0,0.0
846d257ffffffff,2.0,0.0,0.0,0.0,0.0
846d2a9ffffffff,2.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,181.0,10.0,0.0,0.0,0.0
846d2c1ffffffff,9.0,3.0,0.0,0.0,0.0
846d2c3ffffffff,21.0,6.0,0.0,0.0,0.0
846d2c5ffffffff,3.0,2.0,0.0,0.0,0.0
846d2c9ffffffff,302.0,27.0,0.0,0.0,0.0
846d2cbffffffff,16.0,2.0,0.0,0.0,0.0
846d2cdffffffff,3.0,0.0,0.0,0.0,0.0
846d2d1ffffffff,36.0,11.0,0.0,0.0,0.0
846d2d5ffffffff,2.0,0.0,0.0,0.0,0.0
846d2d9ffffffff,3.0,0.0,0.0,0.0,0.0
846d2dbffffffff,2.0,2.0,0.0,0.0,0.0
846d2ddffffffff,15.0,6.0,0.0,0.0,0.0
846d305ffffffff,17.0,0.0,0.0,0.0,0.0
846d30dffffffff,63.0,11.0,0.0,0.0,0.0
846d319ffffffff,11.0,0.0,0.0,0.0,0.0
846d31bffffffff,25.0,0.0,0.0,0.0,0.0
846d34bffffffff,5.0,0.0,0.0,0.0,0.0
846d35dffffffff,86.0,5.0,0.0,0.0,0.0
846d651ffffffff,2.0,0.0,0.0,0.0,0.0
846d653ffffffff,11.0,0.0,0.0,0.0,0.0
846d659ffffffff,2.0,0.0,0.0,0.0,0.0
846d681ffffffff,122.0,0.0,0.0,0.0,0.0
846d683ffffffff,6.0,0.0,0.0,0.0,0.0
846d685ffffffff,2.0,0.0,0.0,0.0,0.0
846d689ffffffff,6.0,0.0,0.0,0.0,0.0
846d68bffffffff,654.0,0.0,0.0,0.0,0.0
846d68dffffffff,22.0,0.0,0.0,0.0,0.0
846d691ffffffff,754.0,0.0,0.0,0.0,0.0
846d693ffffffff,88.0,0.0,0.0,0.0,0.0
846d697ffffffff,106.0,0.0,0.0,0.0,0.0
846d699ffffffff,51.0,0.0,0.0,0.0,0.0
846d69bffffffff,1045.0,0.0,0.0,0.0,0.0
846d69dffffffff,2030.0,0.0,0.0,0.0,0.0
