cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
849656bffffffff,1.0,0.0,0.0
8496627ffffffff,1.0,0.0,0.0
849666bffffffff,1.0,0.0,0.0
8496703ffffffff,6.0,0.0,0.0
849670bffffffff,2.0,0.0,0.0
8496751ffffffff,1.0,0.0,0.0
8496753ffffffff,4.0,0.0,0.0
8496757ffffffff,1.0,0.0,0.0
8496885ffffffff,2.0,0.0,0.0
84968c9ffffffff,2.0,0.0,0.0
84968cdffffffff,2.0,0.0,2.0
84968d1ffffffff,2.0,0.0,0.0
84968d3ffffffff,2.0,0.0,0.0
8496901ffffffff,9.0,0.0,0.0
8496905ffffffff,2.0,0.0,0.0
8496907ffffffff,24.0,0.0,2.0
8496921ffffffff,112.0,0.0,0.0
8496925ffffffff,113.0,0.0,2.0
849692bffffffff,16.0,0.0,0.0
849692dffffffff,23.0,0.0,0.0
8496931ffffffff,6.0,0.0,0.0
8496933ffffffff,2.0,0.0,0.0
8496935ffffffff,104.0,0.0,10.0
8496937ffffffff,3.0,0.0,0.0
849693dffffffff,25.0,0.0,0.0
8496995ffffffff,2.0,0.0,0.0
84969a5ffffffff,5.0,0.0,0.0
8496a01ffffffff,2.0,0.0,0.0
8496a15ffffffff,2.0,0.0,0.0
8496a2dffffffff,2.0,0.0,0.0
8496a3bffffffff,2.0,0.0,0.0
8496a59ffffffff,11.0,0.0,0.0
8496a89ffffffff,7.0,0.0,0.0
8496a8bffffffff,2.0,0.0,0.0
8496abdffffffff,1.0,0.0,1.0
8496ac3ffffffff,2.0,0.0,0.0
8496ad9ffffffff,2.0,0.0,0.0
8496aebffffffff,2.0,0.0,0.0
8496aedffffffff,2.0,0.0,0.0
8496b09ffffffff,2.0,0.0,0.0
8496b0bffffffff,2.0,0.0,0.0
8496b13ffffffff,1.0,0.0,0.0
8496b19ffffffff,12.0,0.0,0.0
8496b1bffffffff,5.0,0.0,3.0
8496b2dffffffff,2.0,0.0,0.0
8496b47ffffffff,2.0,0.0,0.0
8496b57ffffffff,4.0,0.0,0.0
8496b61ffffffff,6.0,0.0,4.0
8496b63ffffffff,50.0,0.0,13.0
8496b67ffffffff,2.0,0.0,0.0
8496b69ffffffff,3.0,0.0,0.0
8496b6dffffffff,14.0,0.0,0.0
8496e49ffffffff,2.0,0.0,0.0
8497003ffffffff,3.0,0.0,0.0
8497023ffffffff,2.0,0.0,0.0
8497025ffffffff,4.0,0.0,0.0
8497027ffffffff,5.0,0.0,0.0
849702bffffffff,22.0,0.0,0.0
8497035ffffffff,27.0,0.0,3.0
849703dffffffff,56.0,0.0,0.0
8497051ffffffff,2.0,0.0,0.0
8497053ffffffff,2.0,0.0,0.0
8497069ffffffff,9.0,0.0,0.0
8497081ffffffff,1.0,0.0,0.0
8497085ffffffff,5.0,0.0,0.0
84970a5ffffffff,1.0,0.0,0.0
84970a7ffffffff,3.0,0.0,0.0
84970c5ffffffff,6.0,0.0,0.0
84970d3ffffffff,6.0,0.0,0.0
84970d7ffffffff,1.0,0.0,0.0
8497101ffffffff,5.0,0.0,0.0
8497103ffffffff,22.0,0.0,0.0
8497107ffffffff,20.0,0.0,0.0
8497111ffffffff,2.0,0.0,0.0
8497113ffffffff,1.0,0.0,0.0
8497119ffffffff,290.0,0.0,3.0
849711dffffffff,31.0,0.0,0.0
849713dffffffff,9.0,0.0,0.0
8497151ffffffff,15.0,0.0,0.0
8497153ffffffff,5.0,0.0,0.0
8497157ffffffff,2.0,0.0,0.0
8497159ffffffff,3.0,0.0,0.0
8497199ffffffff,29.0,0.0,0.0
849719bffffffff,20.0,0.0,0.0
84971b9ffffffff,3.0,0.0,0.0
84971c1ffffffff,13.0,0.0,0.0
84971c3ffffffff,5.0,0.0,0.0
84971c9ffffffff,5.0,0.0,0.0
84971cbffffffff,16.0,0.0,6.0
84971d7ffffffff,3.0,0.0,0.0
849721bffffffff,13.0,0.0,0.0
849723bffffffff,2.0,0.0,0.0
8497245ffffffff,8.0,0.0,0.0
8497249ffffffff,3.0,0.0,0.0
8497289ffffffff,2.0,0.0,0.0
849728dffffffff,75.0,0.0,14.0
8497291ffffffff,18.0,0.0,0.0
8497295ffffffff,1.0,0.0,1.0
8497299ffffffff,2.0,0.0,0.0
84972a5ffffffff,2.0,0.0,0.0
84972c5ffffffff,54.0,0.0,23.0
84972c9ffffffff,10.0,0.0,2.0
84972cdffffffff,62.0,0.0,9.0
84972d5ffffffff,4.0,0.0,2.0
84972d7ffffffff,2.0,0.0,0.0
84972d9ffffffff,9.0,0.0,0.0
84972e3ffffffff,47.0,0.0,18.0
84972e7ffffffff,2.0,0.0,0.0
84972ebffffffff,46.0,0.0,16.0
8497311ffffffff,2.0,0.0,0.0
8497313ffffffff,6.0,0.0,0.0
8497317ffffffff,2.0,0.0,0.0
8497357ffffffff,7.0,0.0,0.0
8497359ffffffff,1.0,0.0,0.0
8497405ffffffff,5.0,0.0,0.0
8497409ffffffff,2.0,0.0,0.0
849740dffffffff,4.0,0.0,0.0
8497415ffffffff,16.0,0.0,0.0
8497417ffffffff,13.0,0.0,2.0
8497431ffffffff,6.0,0.0,0.0
8497435ffffffff,12.0,0.0,2.0
8497437ffffffff,36.0,0.0,2.0
849743bffffffff,43.0,0.0,2.0
849743dffffffff,2.0,0.0,0.0
8497447ffffffff,1.0,0.0,0.0
8497453ffffffff,8.0,0.0,0.0
8497459ffffffff,5.0,0.0,0.0
849746bffffffff,2.0,0.0,0.0
84974a9ffffffff,4.0,0.0,1.0
84974abffffffff,17.0,0.0,0.0
84974b9ffffffff,16.0,0.0,6.0
84974bdffffffff,4.0,0.0,4.0
84974cdffffffff,2.0,0.0,0.0
84974e1ffffffff,9.0,0.0,0.0
84974e5ffffffff,12.0,0.0,0.0
84974e9ffffffff,41.0,0.0,18.0
84974edffffffff,12.0,0.0,11.0
8497509ffffffff,6.0,0.0,4.0
8497513ffffffff,11.0,0.0,1.0
8497515ffffffff,27.0,0.0,8.0
8497517ffffffff,47.0,0.0,2.0
8497535ffffffff,2.0,0.0,2.0
8497543ffffffff,5.0,0.0,0.0
8497547ffffffff,2.0,0.0,0.0
8497557ffffffff,9.0,0.0,0.0
8497583ffffffff,7.0,0.0,0.0
84975c1ffffffff,5.0,0.0,0.0
84975c5ffffffff,3.0,0.0,0.0
84975c7ffffffff,71.0,0.0,20.0
84975cbffffffff,2.0,0.0,0.0
84975d1ffffffff,5.0,0.0,0.0
84975d9ffffffff,7.0,0.0,0.0
84975ddffffffff,18.0,0.0,0.0
84975e1ffffffff,5.0,0.0,0.0
84975e9ffffffff,10.0,0.0,2.0
84975ebffffffff,9.0,0.0,2.0
8497705ffffffff,2.0,0.0,0.0
8497725ffffffff,7.0,0.0,0.0
849772dffffffff,4.0,0.0,0.0
8497751ffffffff,1.0,0.0,0.0
8497827ffffffff,2.0,0.0,0.0
849788bffffffff,1.0,0.0,0.0
8497895ffffffff,2.0,0.0,0.0
849789dffffffff,1.0,0.0,1.0
84978d9ffffffff,1.0,0.0,0.0
84978e3ffffffff,4.0,0.0,0.0
84978ebffffffff,12.0,0.0,0.0
8497913ffffffff,2.0,0.0,0.0
8497937ffffffff,2.0,0.0,0.0
8497997ffffffff,2.0,0.0,0.0
849799bffffffff,3.0,0.0,0.0
84979d3ffffffff,2.0,0.0,0.0
84979e9ffffffff,3.0,0.0,0.0
8497a85ffffffff,3.0,0.0,3.0
8497a89ffffffff,4.0,0.0,3.0
8497a8bffffffff,3.0,0.0,0.0
8497aa1ffffffff,1.0,0.0,0.0
8497aabffffffff,8.0,0.0,2.0
8497ab1ffffffff,2.0,0.0,2.0
8497ab5ffffffff,2.0,0.0,0.0
8497ac3ffffffff,3.0,0.0,2.0
8497ac7ffffffff,1.0,0.0,0.0
8497ad5ffffffff,1.0,0.0,0.0
84ac82dffffffff,3.0,0.0,0.0
84ac863ffffffff,3.0,0.0,0.0
84ac867ffffffff,2.0,0.0,0.0
84ac969ffffffff,10.0,0.0,1.0
84acb11ffffffff,1.0,0.0,0.0
84acb1bffffffff,2.0,0.0,0.0
84bc095ffffffff,2.0,0.0,0.0
84bc0a3ffffffff,1.0,0.0,0.0
84bc0bdffffffff,4.0,0.0,0.0
84bc197ffffffff,2.0,0.0,0.0
84bc19bffffffff,5.0,0.0,0.0
84bc1b7ffffffff,4.0,0.0,0.0
84bc569ffffffff,1.0,0.0,0.0
84bc723ffffffff,2.0,0.0,0.0
84bc891ffffffff,24.0,0.0,2.0
84bc893ffffffff,9.0,0.0,0.0
84bc897ffffffff,1.0,0.0,0.0
84bc899ffffffff,2.0,0.0,0.0
84bc89bffffffff,11.0,0.0,1.0
84bc8b3ffffffff,2.0,0.0,0.0
84bc8b7ffffffff,3.0,0.0,0.0
84bc8d3ffffffff,9.0,0.0,9.0
84bc991ffffffff,9.0,0.0,0.0
84bc993ffffffff,2.0,0.0,0.0
84bc997ffffffff,4.0,0.0,0.0
84bc9bbffffffff,1.0,0.0,0.0
84bcc27ffffffff,4.0,0.0,2.0
84bcc33ffffffff,2.0,0.0,0.0
84bcc35ffffffff,24.0,0.0,5.0
84bcc37ffffffff,6.0,0.0,0.0
84bcc4dffffffff,2.0,0.0,0.0
84bcca7ffffffff,2.0,0.0,0.0
84bcd01ffffffff,32.0,0.0,0.0
84bcd05ffffffff,67.0,0.0,11.0
84bcd07ffffffff,3.0,0.0,0.0
84bcd09ffffffff,4.0,0.0,2.0
84bcd0bffffffff,9.0,0.0,6.0
84bcd0dffffffff,46.0,0.0,8.0
84bcd11ffffffff,25.0,0.0,0.0
84bcd13ffffffff,13.0,0.0,3.0
84bcd1bffffffff,6.0,0.0,1.0
84bcd1dffffffff,2.0,0.0,0.0
84bcd21ffffffff,190.0,0.0,20.0
84bcd23ffffffff,110.0,0.0,9.0
84bcd25ffffffff,99.0,0.0,41.0
84bcd27ffffffff,113.0,0.0,30.0
84bcd29ffffffff,279.0,0.0,36.0
84bcd2bffffffff,8.0,0.0,0.0
84bcd2dffffffff,62.0,0.0,9.0
84bcd33ffffffff,2.0,0.0,0.0
84bcd35ffffffff,23.0,0.0,8.0
84bcd37ffffffff,2.0,0.0,0.0
84bcd3dffffffff,13.0,0.0,3.0
84bcd41ffffffff,2.0,0.0,0.0
84bcd43ffffffff,2.0,0.0,0.0
84bcd45ffffffff,19.0,0.0,0.0
84bcd4bffffffff,5.0,0.0,0.0
84bcd4dffffffff,1.0,0.0,0.0
84bcd61ffffffff,3.0,0.0,0.0
84bcd63ffffffff,180.0,0.0,31.0
84bcd67ffffffff,133.0,0.0,19.0
84bcd69ffffffff,2.0,0.0,0.0
84bcd6dffffffff,31.0,0.0,0.0
84bcd81ffffffff,2.0,0.0,0.0
84bcd85ffffffff,2.0,0.0,0.0
84bcdc1ffffffff,23.0,0.0,3.0
84bcdc3ffffffff,2.0,0.0,0.0
84bcdc9ffffffff,31.0,0.0,4.0
84bcdcbffffffff,2.0,0.0,0.0
84bcdcdffffffff,25.0,0.0,4.0
84bcdd1ffffffff,19.0,0.0,1.0
84bcdd9ffffffff,7.0,0.0,2.0
84bcdddffffffff,3.0,0.0,0.0
84bcde3ffffffff,5.0,0.0,0.0
