cell_id,Cisticola juncidis,Cisticola juncidis [juncidis Group],Cisticola juncidis terrestris/uropygialis,Cisticola juncidis [tinnabulans Group],Cisticola juncidis brunniceps
82521ffffffffff,37.0,0.0,0.0,0.0,0.0
82529ffffffffff,12.0,0.0,3.0,0.0,0.0
8253b7fffffffff,5.0,0.0,0.0,0.0,0.0
82540ffffffffff,2.0,0.0,0.0,0.0,0.0
825417fffffffff,158.0,0.0,67.0,0.0,0.0
82541ffffffffff,124.0,0.0,7.0,0.0,0.0
825447fffffffff,9.0,0.0,0.0,0.0,0.0
8254affffffffff,237.0,0.0,13.0,0.0,0.0
8254f7fffffffff,113.0,0.0,12.0,0.0,0.0
82580ffffffffff,4.0,0.0,0.0,0.0,0.0
82585ffffffffff,16.0,0.0,0.0,0.0,0.0
825897fffffffff,9.0,0.0,0.0,0.0,0.0
8258c7fffffffff,4.0,0.0,0.0,0.0,0.0
8258e7fffffffff,19.0,0.0,0.0,0.0,0.0
825987fffffffff,8.0,0.0,0.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0,0.0,0.0
82599ffffffffff,17.0,0.0,1.0,0.0,0.0
826007fffffffff,2329.0,0.0,0.0,0.0,0.0
826017fffffffff,6597.0,0.0,0.0,0.0,0.0
82601ffffffffff,788.0,0.0,0.0,0.0,0.0
826027fffffffff,2728.0,0.0,0.0,0.0,0.0
826037fffffffff,3868.0,0.0,0.0,0.0,0.0
826087fffffffff,132.0,0.0,0.0,0.0,0.0
82608ffffffffff,2760.0,0.0,0.0,0.0,0.0
826097fffffffff,524.0,0.0,0.0,0.0,0.0
82609ffffffffff,457.0,0.0,0.0,0.0,0.0
8260a7fffffffff,403.0,0.0,0.0,0.0,0.0
8260affffffffff,808.0,0.0,0.0,0.0,0.0
8260b7fffffffff,1313.0,0.0,0.0,0.0,0.0
826107fffffffff,756.0,40.0,0.0,0.0,0.0
826117fffffffff,96.0,0.0,0.0,0.0,0.0
82611ffffffffff,928.0,4.0,0.0,0.0,0.0
82618ffffffffff,2939.0,0.0,0.0,0.0,0.0
82619ffffffffff,94.0,0.0,0.0,0.0,0.0
8261affffffffff,343.0,0.0,0.0,0.0,0.0
826417fffffffff,2.0,0.0,0.0,0.0,0.0
826437fffffffff,6.0,0.0,0.0,2.0,0.0
826487fffffffff,519.0,0.0,0.0,311.0,0.0
82648ffffffffff,80.0,0.0,0.0,0.0,0.0
826497fffffffff,150.0,0.0,0.0,52.0,0.0
82649ffffffffff,22.0,0.0,0.0,0.0,0.0
8264a7fffffffff,1927.0,0.0,0.0,1420.0,0.0
8264affffffffff,4.0,0.0,0.0,0.0,0.0
8264b7fffffffff,476.0,0.0,0.0,223.0,0.0
826507fffffffff,106.0,0.0,0.0,0.0,0.0
82650ffffffffff,6.0,0.0,0.0,0.0,0.0
82651ffffffffff,136.0,0.0,0.0,68.0,0.0
826527fffffffff,794.0,0.0,0.0,0.0,0.0
82652ffffffffff,6.0,0.0,0.0,0.0,0.0
826577fffffffff,4.0,0.0,0.0,0.0,0.0
826587fffffffff,808.0,0.0,0.0,6.0,0.0
82658ffffffffff,1275.0,0.0,0.0,431.0,0.0
826597fffffffff,36.0,0.0,0.0,3.0,0.0
82659ffffffffff,349.0,0.0,0.0,159.0,0.0
8265b7fffffffff,122.0,0.0,0.0,3.0,0.0
82682ffffffffff,42.0,0.0,0.0,1.0,0.0
826847fffffffff,9.0,0.0,0.0,0.0,0.0
82684ffffffffff,15.0,0.0,0.0,1.0,0.0
826857fffffffff,1.0,0.0,0.0,0.0,0.0
82685ffffffffff,78.0,0.0,0.0,3.0,0.0
826867fffffffff,3.0,0.0,0.0,0.0,0.0
826877fffffffff,4.0,0.0,0.0,0.0,0.0
8268c7fffffffff,4.0,0.0,0.0,0.0,0.0
8268cffffffffff,24.0,0.0,0.0,1.0,0.0
8268d7fffffffff,78.0,0.0,0.0,30.0,0.0
826937fffffffff,1.0,0.0,0.0,1.0,0.0
826947fffffffff,430.0,0.0,0.0,7.0,0.0
82694ffffffffff,139.0,0.0,0.0,0.0,0.0
82695ffffffffff,13.0,0.0,0.0,0.0,0.0
82696ffffffffff,20.0,0.0,0.0,0.0,0.0
826a5ffffffffff,36.0,0.0,0.0,0.0,0.0
826a6ffffffffff,2.0,0.0,0.0,0.0,0.0
826ac7fffffffff,512.0,0.0,90.0,0.0,0.0
826acffffffffff,78.0,0.0,17.0,0.0,0.0
826adffffffffff,19.0,0.0,0.0,0.0,0.0
826aeffffffffff,379.0,0.0,35.0,0.0,0.0
826b6ffffffffff,2.0,0.0,0.0,0.0,0.0
82750ffffffffff,4.0,0.0,0.0,0.0,0.0
827527fffffffff,14.0,0.0,0.0,0.0,0.0
82752ffffffffff,25.0,0.0,1.0,0.0,0.0
827537fffffffff,2.0,0.0,0.0,0.0,0.0
827577fffffffff,83.0,0.0,8.0,0.0,0.0
827a47fffffffff,59.0,0.0,0.0,0.0,0.0
827a4ffffffffff,35.0,0.0,0.0,0.0,0.0
827a67fffffffff,151.0,0.0,0.0,0.0,0.0
827a6ffffffffff,735.0,0.0,71.0,0.0,0.0
827acffffffffff,5.0,0.0,0.0,0.0,0.0
827adffffffffff,11.0,0.0,0.0,0.0,0.0
827aeffffffffff,3.0,0.0,1.0,0.0,0.0
827b4ffffffffff,2.0,0.0,1.0,0.0,0.0
827b5ffffffffff,4.0,0.0,0.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0,0.0,0.0
8282a7fffffffff,9.0,0.0,0.0,0.0,0.0
8282f7fffffffff,13.0,0.0,0.0,0.0,0.0
828307fffffffff,1.0,0.0,1.0,0.0,0.0
82831ffffffffff,4.0,0.0,0.0,0.0,0.0
828337fffffffff,12.0,0.0,9.0,0.0,0.0
82838ffffffffff,3.0,0.0,0.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0,0.0,0.0
828c17fffffffff,68.0,0.0,0.0,6.0,0.0
828caffffffffff,22.0,0.0,0.0,3.0,0.0
828cd7fffffffff,14.0,0.0,0.0,3.0,0.0
828ce7fffffffff,10.0,0.0,0.0,0.0,0.0
828d87fffffffff,13.0,0.0,0.0,9.0,0.0
828d8ffffffffff,56.0,0.0,0.0,7.0,0.0
828da7fffffffff,48.0,0.0,0.0,15.0,0.0
828db7fffffffff,175.0,0.0,0.0,73.0,0.0
829407fffffffff,8.0,0.0,0.0,0.0,0.0
829427fffffffff,76.0,0.0,0.0,3.0,0.0
82942ffffffffff,127.0,0.0,0.0,0.0,0.0
829437fffffffff,7.0,0.0,0.0,0.0,0.0
829457fffffffff,148.0,0.0,0.0,0.0,0.0
82945ffffffffff,20.0,0.0,0.0,0.0,0.0
8294effffffffff,2.0,0.0,0.0,0.0,0.0
829507fffffffff,37.0,0.0,0.0,6.0,0.0
82951ffffffffff,99.0,0.0,0.0,17.0,0.0
8295a7fffffffff,177.0,0.0,0.0,42.0,0.0
8295affffffffff,27.0,0.0,0.0,0.0,0.0
829607fffffffff,25.0,0.0,3.0,0.0,0.0
82960ffffffffff,21.0,0.0,2.0,0.0,0.0
829617fffffffff,9.0,0.0,0.0,0.0,0.0
829627fffffffff,38.0,0.0,3.0,0.0,0.0
82962ffffffffff,68.0,0.0,12.0,0.0,0.0
829637fffffffff,13.0,0.0,3.0,0.0,0.0
829677fffffffff,20.0,0.0,0.0,0.0,0.0
829697fffffffff,404.0,0.0,90.0,0.0,0.0
82969ffffffffff,7.0,0.0,5.0,0.0,0.0
8296a7fffffffff,6.0,0.0,2.0,0.0,0.0
8296affffffffff,3.0,0.0,1.0,0.0,0.0
8296b7fffffffff,9.0,0.0,2.0,0.0,0.0
829707fffffffff,11.0,0.0,0.0,0.0,0.0
82970ffffffffff,9.0,0.0,0.0,0.0,0.0
829717fffffffff,72.0,0.0,0.0,0.0,0.0
82971ffffffffff,60.0,0.0,0.0,0.0,0.0
82972ffffffffff,82.0,0.0,14.0,0.0,0.0
829737fffffffff,4.0,0.0,0.0,0.0,0.0
829747fffffffff,160.0,0.0,10.0,0.0,0.0
82974ffffffffff,129.0,0.0,33.0,0.0,0.0
829757fffffffff,106.0,0.0,11.0,0.0,0.0
82975ffffffffff,105.0,0.0,6.0,0.0,0.0
829777fffffffff,8.0,0.0,0.0,0.0,0.0
82978ffffffffff,8.0,0.0,0.0,0.0,0.0
8297affffffffff,9.0,0.0,0.0,0.0,0.0
829c07fffffffff,8.0,0.0,0.0,0.0,0.0
829c27fffffffff,3.0,0.0,0.0,0.0,0.0
829c77fffffffff,10.0,0.0,0.0,0.0,0.0
829cc7fffffffff,2.0,0.0,0.0,0.0,0.0
829d07fffffffff,2.0,0.0,0.0,0.0,0.0
829d0ffffffffff,2.0,0.0,0.0,0.0,0.0
829d27fffffffff,55.0,0.0,0.0,0.0,0.0
829d2ffffffffff,10.0,0.0,0.0,0.0,0.0
82ac17fffffffff,13.0,0.0,0.0,0.0,0.0
82ac87fffffffff,76.0,0.0,6.0,0.0,0.0
82ac97fffffffff,15.0,0.0,3.0,0.0,0.0
82ac9ffffffffff,10.0,0.0,0.0,0.0,0.0
82aca7fffffffff,73.0,0.0,8.0,0.0,0.0
82acaffffffffff,4.0,0.0,0.0,0.0,0.0
82acb7fffffffff,2.0,0.0,0.0,0.0,0.0
82ad37fffffffff,382.0,0.0,128.0,0.0,0.0
82ad87fffffffff,1.0,0.0,1.0,0.0,0.0
82ada7fffffffff,8.0,0.0,2.0,0.0,0.0
82adaffffffffff,4.0,0.0,0.0,0.0,0.0
82adb7fffffffff,1.0,0.0,1.0,0.0,0.0
82bc1ffffffffff,14.0,0.0,7.0,0.0,0.0
82bc47fffffffff,28.0,0.0,4.0,0.0,0.0
82bc4ffffffffff,12.0,0.0,0.0,0.0,0.0
82bc57fffffffff,12.0,0.0,3.0,0.0,0.0
82bc6ffffffffff,164.0,0.0,34.0,0.0,0.0
82bc77fffffffff,33.0,0.0,3.0,0.0,0.0
82bc8ffffffffff,236.0,0.0,3.0,0.0,0.0
82bc9ffffffffff,7.0,0.0,0.0,0.0,0.0
82bcc7fffffffff,633.0,0.0,211.0,0.0,0.0
82bccffffffffff,22.0,0.0,2.0,0.0,0.0
82bcd7fffffffff,491.0,0.0,111.0,0.0,0.0
82bcdffffffffff,521.0,0.0,140.0,0.0,0.0
82bce7fffffffff,283.0,0.0,123.0,0.0,0.0
82bceffffffffff,46.0,0.0,14.0,0.0,0.0
82bcf7fffffffff,992.0,0.0,345.0,0.0,0.0
