cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
84a865bffffffff,4.0,0.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0,0.0
84a86e7ffffffff,6.0,0.0,0.0,0.0
84a875dffffffff,2.0,0.0,0.0,0.0
84a8805ffffffff,9.0,0.0,0.0,0.0
84a8811ffffffff,18.0,0.0,0.0,0.0
84a8813ffffffff,2.0,0.0,0.0,0.0
84a8817ffffffff,1.0,0.0,0.0,0.0
84a8819ffffffff,6.0,0.0,0.0,0.0
84a881bffffffff,59.0,0.0,0.0,0.0
84a882dffffffff,38.0,0.0,0.0,0.0
84a883bffffffff,2.0,0.0,0.0,0.0
84a8849ffffffff,152.0,0.0,0.0,0.0
84a884bffffffff,2.0,0.0,0.0,0.0
84a8853ffffffff,1.0,0.0,0.0,0.0
84a8857ffffffff,2.0,0.0,0.0,0.0
84a885bffffffff,2.0,0.0,0.0,0.0
84a8863ffffffff,2.0,0.0,0.0,0.0
84a88a9ffffffff,10.0,0.0,0.0,0.0
84a88ddffffffff,1.0,0.0,0.0,0.0
84a88e9ffffffff,41.0,0.0,0.0,0.0
84a88ebffffffff,3.0,0.0,0.0,0.0
84a8919ffffffff,3.0,0.0,0.0,0.0
84a8a07ffffffff,2.0,0.0,0.0,0.0
84a8a11ffffffff,11.0,0.0,0.0,0.0
84a8a13ffffffff,377.0,0.0,0.0,0.0
84a8a15ffffffff,22.0,0.0,0.0,0.0
84a8a17ffffffff,55.0,0.0,0.0,0.0
84a8a19ffffffff,32.0,0.0,0.0,0.0
84a8a1bffffffff,25.0,0.0,0.0,0.0
84a8a1dffffffff,6.0,0.0,0.0,0.0
84a8a23ffffffff,95.0,0.0,0.0,0.0
84a8a27ffffffff,22.0,0.0,0.0,0.0
84a8a31ffffffff,9.0,0.0,0.0,0.0
84a8a33ffffffff,6.0,0.0,0.0,0.0
84a8a35ffffffff,28.0,0.0,0.0,0.0
84a8a39ffffffff,5.0,0.0,0.0,0.0
84a8a3bffffffff,2.0,0.0,0.0,0.0
84a8a3dffffffff,26.0,0.0,0.0,0.0
84a8a53ffffffff,7.0,0.0,0.0,0.0
84a8a89ffffffff,3.0,0.0,0.0,0.0
84a8a8bffffffff,2.0,0.0,0.0,0.0
84a8a91ffffffff,40.0,0.0,0.0,0.0
84a8a93ffffffff,21.0,0.0,0.0,0.0
84a8a97ffffffff,134.0,0.0,0.0,0.0
84a8a99ffffffff,1.0,0.0,0.0,0.0
84a8a9dffffffff,3.0,0.0,0.0,0.0
84a8aadffffffff,19.0,0.0,0.0,0.0
84a8ab9ffffffff,3.0,0.0,0.0,0.0
84a8ac1ffffffff,5.0,0.0,0.0,0.0
84a8ac3ffffffff,2.0,0.0,0.0,0.0
84a8ac5ffffffff,17.0,0.0,0.0,0.0
84a8ac7ffffffff,2.0,0.0,0.0,0.0
84a8ac9ffffffff,68.0,0.0,0.0,0.0
84a8acbffffffff,41.0,0.0,0.0,0.0
84a8acdffffffff,47.0,0.0,0.0,0.0
84a8ad1ffffffff,17.0,0.0,0.0,0.0
84a8ad3ffffffff,7.0,0.0,0.0,0.0
84a8ad5ffffffff,2.0,0.0,0.0,0.0
84a8adbffffffff,3.0,0.0,0.0,0.0
84a8addffffffff,6.0,0.0,0.0,0.0
84a8ae1ffffffff,19.0,0.0,0.0,0.0
84a8ae3ffffffff,22.0,0.0,0.0,0.0
84a8ae5ffffffff,50.0,0.0,0.0,0.0
84a8ae7ffffffff,1.0,0.0,0.0,0.0
84a8ae9ffffffff,8.0,0.0,0.0,0.0
84a8aebffffffff,11.0,0.0,0.0,0.0
