cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
843c683ffffffff,27.0,27.0,0.0
843c68bffffffff,2.0,2.0,0.0
843c6a3ffffffff,14.0,14.0,0.0
843c6b1ffffffff,4.0,4.0,0.0
843c6bdffffffff,4.0,4.0,0.0
843c801ffffffff,2.0,2.0,0.0
843c805ffffffff,23.0,23.0,0.0
843c807ffffffff,3.0,3.0,0.0
843c809ffffffff,3.0,3.0,0.0
843c80dffffffff,8.0,8.0,0.0
843c823ffffffff,1.0,1.0,0.0
843c82dffffffff,2.0,2.0,0.0
843c831ffffffff,8.0,8.0,0.0
843c839ffffffff,15.0,15.0,0.0
843c843ffffffff,2.0,2.0,0.0
843c885ffffffff,31.0,31.0,0.0
843c889ffffffff,4.0,4.0,0.0
843c891ffffffff,8.0,8.0,0.0
843c899ffffffff,18.0,18.0,0.0
843c8a9ffffffff,2.0,2.0,0.0
843c8c1ffffffff,4.0,4.0,0.0
843c8c3ffffffff,4.0,4.0,0.0
843c8c7ffffffff,29.0,29.0,0.0
843c8c9ffffffff,9.0,9.0,0.0
843c8cbffffffff,51.0,51.0,0.0
843c8d9ffffffff,25.0,25.0,0.0
843c8dbffffffff,11.0,11.0,0.0
843c8e5ffffffff,55.0,55.0,0.0
843c8edffffffff,70.0,70.0,0.0
843c905ffffffff,5.0,5.0,0.0
843c907ffffffff,3.0,3.0,0.0
843c909ffffffff,14.0,14.0,0.0
843c90bffffffff,2.0,2.0,0.0
843c915ffffffff,18.0,18.0,0.0
843c925ffffffff,2.0,2.0,0.0
843c927ffffffff,10.0,10.0,0.0
843c929ffffffff,29.0,29.0,0.0
843c92bffffffff,19.0,19.0,0.0
843c92dffffffff,23.0,23.0,0.0
843c931ffffffff,4.0,4.0,0.0
843c93bffffffff,1.0,1.0,0.0
843c93dffffffff,3.0,3.0,0.0
843c943ffffffff,16.0,16.0,0.0
843c945ffffffff,10.0,10.0,0.0
843c947ffffffff,12.0,12.0,0.0
843c953ffffffff,3.0,3.0,0.0
843c959ffffffff,22.0,22.0,0.0
843c95bffffffff,6.0,6.0,0.0
843c967ffffffff,16.0,16.0,0.0
843c9c3ffffffff,5.0,5.0,0.0
843c9d1ffffffff,1.0,1.0,0.0
843c9d9ffffffff,35.0,35.0,0.0
843c9ddffffffff,3.0,3.0,0.0
843c9e9ffffffff,10.0,10.0,0.0
843ca05ffffffff,2.0,2.0,0.0
843ca25ffffffff,12.0,12.0,0.0
843ca33ffffffff,4.0,4.0,0.0
843ca41ffffffff,2.0,2.0,0.0
843ca45ffffffff,5.0,5.0,0.0
843ca47ffffffff,6.0,6.0,0.0
843ca49ffffffff,2.0,2.0,0.0
843ca4dffffffff,2.0,2.0,0.0
843ca5bffffffff,3.0,3.0,0.0
843ca5dffffffff,1.0,1.0,0.0
843ca85ffffffff,1.0,1.0,0.0
843ca87ffffffff,62.0,62.0,0.0
843ca8dffffffff,9.0,9.0,0.0
843ca93ffffffff,6.0,6.0,0.0
843ca97ffffffff,16.0,16.0,0.0
843ca9dffffffff,5.0,5.0,0.0
843cab1ffffffff,20.0,20.0,0.0
843cab7ffffffff,6.0,6.0,0.0
843cab9ffffffff,28.0,28.0,0.0
843cabdffffffff,1.0,1.0,0.0
843cac3ffffffff,3.0,3.0,0.0
843caddffffffff,11.0,11.0,0.0
843cae3ffffffff,2.0,2.0,0.0
843cb03ffffffff,6.0,6.0,0.0
843cb0bffffffff,8.0,8.0,0.0
843cb11ffffffff,19.0,19.0,0.0
843cb13ffffffff,11.0,11.0,0.0
843cb15ffffffff,30.0,30.0,0.0
843cb17ffffffff,2.0,2.0,0.0
843cb19ffffffff,4.0,4.0,0.0
843cb1dffffffff,78.0,78.0,0.0
843cb33ffffffff,5.0,5.0,0.0
