cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
841f51dffffffff,1.0,0.0,0.0,0.0
841f525ffffffff,2.0,0.0,0.0,0.0
841f581ffffffff,2.0,0.0,0.0,0.0
841f65dffffffff,2.0,0.0,0.0,0.0
841f727ffffffff,2.0,0.0,0.0,0.0
841f72dffffffff,2.0,0.0,0.0,0.0
841f823ffffffff,3.0,0.0,3.0,0.0
841f827ffffffff,2.0,0.0,2.0,0.0
841f853ffffffff,2.0,0.0,2.0,0.0
841f857ffffffff,2.0,0.0,0.0,0.0
841f8e9ffffffff,32.0,0.0,8.0,0.0
841f8ebffffffff,17.0,0.0,15.0,0.0
841f8edffffffff,1.0,0.0,0.0,0.0
841f91dffffffff,1.0,0.0,1.0,0.0
841fa3dffffffff,3.0,0.0,3.0,0.0
841fa69ffffffff,3.0,0.0,0.0,0.0
841fa6dffffffff,10.0,0.0,4.0,0.0
841fad3ffffffff,1.0,0.0,0.0,0.0
8420e69ffffffff,2.0,0.0,2.0,0.0
8421711ffffffff,2.0,0.0,2.0,0.0
84225a5ffffffff,26.0,6.0,4.0,0.0
8422db7ffffffff,268.0,150.0,41.0,0.0
8422dbdffffffff,6.0,6.0,0.0,0.0
8422e9bffffffff,10.0,0.0,0.0,0.0
8424051ffffffff,5.0,0.0,0.0,0.0
842405bffffffff,2.0,0.0,0.0,0.0
8424343ffffffff,2.0,0.0,0.0,0.0
8424367ffffffff,2.0,0.0,0.0,0.0
842460dffffffff,2.0,0.0,2.0,0.0
842466bffffffff,4.0,0.0,0.0,0.0
8424ab5ffffffff,2.0,0.0,0.0,0.0
8425123ffffffff,2.0,0.0,0.0,0.0
8425145ffffffff,3.0,0.0,0.0,0.0
84255b7ffffffff,6.0,0.0,0.0,0.0
8426013ffffffff,2.0,0.0,0.0,0.0
8426017ffffffff,2.0,2.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0,0.0
8426091ffffffff,2.0,0.0,0.0,0.0
84260a1ffffffff,2.0,0.0,0.0,0.0
84260adffffffff,6.0,0.0,0.0,0.0
84260b9ffffffff,47.0,6.0,0.0,0.0
84260d9ffffffff,10.0,0.0,0.0,0.0
84260e1ffffffff,3.0,3.0,0.0,0.0
84260e3ffffffff,36.0,7.0,0.0,0.0
84260e7ffffffff,2.0,0.0,0.0,0.0
84260ebffffffff,6.0,2.0,0.0,0.0
84260edffffffff,4.0,0.0,0.0,0.0
8426165ffffffff,4.0,0.0,0.0,0.0
8426183ffffffff,4.0,0.0,0.0,0.0
84261dbffffffff,6.0,0.0,0.0,0.0
8426205ffffffff,2.0,0.0,0.0,0.0
842620dffffffff,2.0,0.0,0.0,0.0
842621bffffffff,1.0,0.0,0.0,0.0
8426245ffffffff,2.0,0.0,0.0,0.0
8426257ffffffff,3.0,3.0,0.0,0.0
8426259ffffffff,4.0,0.0,0.0,0.0
8426261ffffffff,6.0,0.0,0.0,0.0
8426269ffffffff,1.0,0.0,0.0,0.0
842626dffffffff,10.0,0.0,0.0,0.0
8426281ffffffff,1.0,0.0,0.0,0.0
842628bffffffff,2.0,0.0,0.0,0.0
8426291ffffffff,3.0,0.0,0.0,0.0
84262b1ffffffff,2.0,0.0,0.0,0.0
84262b3ffffffff,9.0,0.0,0.0,0.0
84262c1ffffffff,18.0,0.0,0.0,0.0
84262c3ffffffff,2.0,0.0,0.0,0.0
84262c9ffffffff,6.0,0.0,0.0,0.0
84262cdffffffff,21.0,2.0,0.0,0.0
84262d9ffffffff,2.0,0.0,0.0,0.0
84262dbffffffff,12.0,0.0,0.0,0.0
84262e7ffffffff,2.0,0.0,0.0,0.0
8426357ffffffff,2.0,0.0,0.0,0.0
8426403ffffffff,22.0,9.0,0.0,0.0
842640dffffffff,21.0,0.0,0.0,0.0
8426417ffffffff,18.0,0.0,0.0,0.0
8426419ffffffff,4.0,0.0,0.0,0.0
8426437ffffffff,11.0,0.0,0.0,0.0
8426439ffffffff,2.0,0.0,0.0,0.0
842643bffffffff,7.0,0.0,0.0,0.0
8426441ffffffff,1.0,0.0,0.0,0.0
8426449ffffffff,2.0,0.0,0.0,0.0
842644dffffffff,6.0,0.0,0.0,0.0
8426459ffffffff,3.0,0.0,0.0,0.0
8426461ffffffff,9.0,0.0,0.0,0.0
8426469ffffffff,5.0,0.0,0.0,0.0
842646bffffffff,143.0,0.0,0.0,0.0
842646dffffffff,9.0,0.0,0.0,0.0
8426481ffffffff,4.0,0.0,0.0,0.0
8426485ffffffff,5.0,0.0,0.0,0.0
8426489ffffffff,19.0,0.0,0.0,0.0
8426493ffffffff,31.0,0.0,0.0,0.0
84264abffffffff,2.0,0.0,0.0,0.0
84264adffffffff,5.0,0.0,0.0,0.0
84264b9ffffffff,10.0,0.0,0.0,0.0
84264c3ffffffff,9.0,0.0,0.0,0.0
84264c5ffffffff,2.0,0.0,0.0,0.0
84264c7ffffffff,5.0,0.0,0.0,0.0
84264cbffffffff,3.0,0.0,0.0,0.0
84264ddffffffff,1.0,0.0,0.0,0.0
84264e5ffffffff,2.0,0.0,0.0,0.0
84264e7ffffffff,5.0,0.0,0.0,0.0
84264e9ffffffff,2.0,0.0,0.0,0.0
8426521ffffffff,1.0,0.0,0.0,0.0
8426523ffffffff,2.0,0.0,0.0,0.0
8426527ffffffff,2.0,0.0,0.0,0.0
842652dffffffff,3.0,0.0,0.0,0.0
8426531ffffffff,3.0,0.0,0.0,0.0
8426533ffffffff,14.0,0.0,0.0,0.0
8426535ffffffff,5.0,0.0,0.0,0.0
8426541ffffffff,4.0,0.0,0.0,0.0
8426545ffffffff,2.0,0.0,0.0,0.0
8426547ffffffff,3.0,0.0,0.0,0.0
842654bffffffff,2.0,0.0,0.0,0.0
842654dffffffff,7.0,0.0,0.0,0.0
8426555ffffffff,56.0,0.0,0.0,0.0
8426557ffffffff,6.0,0.0,0.0,0.0
8426565ffffffff,26.0,0.0,0.0,0.0
8426567ffffffff,8.0,0.0,0.0,0.0
842656dffffffff,5.0,0.0,0.0,0.0
8426587ffffffff,63.0,0.0,0.0,0.0
8426599ffffffff,1.0,0.0,0.0,0.0
842659bffffffff,4.0,0.0,0.0,0.0
84265a7ffffffff,65.0,3.0,0.0,0.0
84265d9ffffffff,8.0,0.0,0.0,0.0
84265dbffffffff,2.0,0.0,0.0,0.0
8426607ffffffff,4.0,0.0,0.0,0.0
842660bffffffff,1.0,1.0,0.0,0.0
8426615ffffffff,2.0,0.0,0.0,0.0
8426621ffffffff,27.0,1.0,0.0,0.0
8426623ffffffff,11.0,0.0,0.0,0.0
8426625ffffffff,19.0,1.0,0.0,0.0
8426629ffffffff,14.0,0.0,0.0,0.0
842662bffffffff,10.0,0.0,0.0,0.0
842662dffffffff,9.0,0.0,0.0,0.0
8426631ffffffff,5.0,0.0,0.0,0.0
8426635ffffffff,2.0,0.0,0.0,0.0
8426639ffffffff,5.0,0.0,0.0,0.0
842663bffffffff,25.0,0.0,0.0,0.0
842663dffffffff,2.0,0.0,0.0,0.0
8426641ffffffff,64.0,2.0,0.0,0.0
8426645ffffffff,79.0,0.0,0.0,0.0
8426647ffffffff,2.0,0.0,0.0,0.0
842664bffffffff,16.0,2.0,0.0,0.0
842664dffffffff,38.0,1.0,0.0,0.0
842665dffffffff,16.0,5.0,0.0,0.0
8426663ffffffff,3.0,0.0,0.0,0.0
8426665ffffffff,45.0,0.0,0.0,0.0
8426669ffffffff,34.0,1.0,0.0,0.0
842666bffffffff,57.0,0.0,0.0,0.0
842666dffffffff,4.0,0.0,0.0,0.0
842668bffffffff,5.0,0.0,0.0,0.0
8426695ffffffff,2.0,0.0,0.0,0.0
84266a1ffffffff,2.0,0.0,0.0,0.0
84266a3ffffffff,44.0,0.0,0.0,0.0
84266a5ffffffff,7.0,0.0,0.0,0.0
84266a7ffffffff,2.0,0.0,0.0,0.0
84266adffffffff,4.0,0.0,0.0,0.0
84266b5ffffffff,7.0,3.0,0.0,0.0
84266b7ffffffff,14.0,0.0,0.0,0.0
84266bdffffffff,2.0,0.0,0.0,0.0
84266d1ffffffff,2.0,0.0,0.0,0.0
84266d5ffffffff,7.0,0.0,0.0,0.0
84266dbffffffff,7.0,0.0,0.0,0.0
84266e1ffffffff,22.0,2.0,0.0,0.0
84266edffffffff,2.0,0.0,0.0,0.0
8426705ffffffff,7.0,0.0,0.0,0.0
8426709ffffffff,5.0,0.0,0.0,0.0
8426711ffffffff,7.0,0.0,0.0,0.0
8426713ffffffff,4.0,0.0,0.0,0.0
8426717ffffffff,4.0,0.0,0.0,0.0
8426719ffffffff,96.0,0.0,0.0,0.0
842671bffffffff,4.0,0.0,0.0,0.0
8426723ffffffff,2.0,0.0,0.0,0.0
842673bffffffff,2.0,0.0,0.0,0.0
8426745ffffffff,14.0,0.0,0.0,0.0
8426747ffffffff,10.0,0.0,0.0,0.0
8426753ffffffff,3.0,0.0,0.0,0.0
842675dffffffff,7.0,0.0,0.0,0.0
8426761ffffffff,2.0,0.0,0.0,0.0
842676dffffffff,2.0,0.0,0.0,0.0
8426803ffffffff,4.0,0.0,0.0,0.0
8426805ffffffff,5.0,0.0,0.0,0.0
842680bffffffff,7.0,0.0,0.0,0.0
8426811ffffffff,2.0,0.0,0.0,0.0
8426817ffffffff,5.0,0.0,0.0,0.0
842681bffffffff,137.0,0.0,0.0,0.0
842681dffffffff,1.0,0.0,0.0,0.0
8426831ffffffff,3.0,0.0,0.0,0.0
8426841ffffffff,7.0,0.0,0.0,0.0
8426851ffffffff,1.0,0.0,0.0,0.0
8426853ffffffff,19.0,0.0,0.0,0.0
842685bffffffff,2.0,0.0,0.0,0.0
842685dffffffff,8.0,0.0,0.0,0.0
8426881ffffffff,22.0,0.0,0.0,0.0
8426887ffffffff,12.0,2.0,0.0,0.0
842688bffffffff,7.0,0.0,0.0,0.0
842688dffffffff,12.0,0.0,0.0,0.0
8426899ffffffff,1.0,0.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0,0.0
84268a7ffffffff,2.0,0.0,0.0,0.0
84268b3ffffffff,31.0,4.0,0.0,0.0
84268b9ffffffff,5.0,0.0,0.0,0.0
84268c1ffffffff,1.0,0.0,0.0,0.0
84268c5ffffffff,2.0,0.0,0.0,0.0
