cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
8230c7fffffffff,230.0,17.0,0.0,0.0,0.0
8230d7fffffffff,15.0,0.0,0.0,0.0,0.0
8230dffffffffff,35.0,0.0,0.0,0.0,0.0
8230e7fffffffff,786.0,39.0,0.0,0.0,0.0
8230effffffffff,36.0,0.0,0.0,0.0,0.0
8230f7fffffffff,5.0,0.0,0.0,0.0,0.0
823107fffffffff,3.0,1.0,0.0,0.0,0.0
823117fffffffff,12.0,0.0,0.0,0.0,0.0
82311ffffffffff,4.0,0.0,0.0,0.0,0.0
823127fffffffff,23.0,0.0,0.0,0.0,0.0
82312ffffffffff,9.0,0.0,0.0,0.0,0.0
823137fffffffff,7.0,0.0,0.0,0.0,0.0
823147fffffffff,4.0,0.0,0.0,0.0,0.0
823157fffffffff,3.0,0.0,0.0,0.0,0.0
82315ffffffffff,5.0,0.0,0.0,0.0,0.0
823167fffffffff,2.0,2.0,0.0,0.0,0.0
82316ffffffffff,55.0,6.0,0.0,0.0,0.0
823187fffffffff,713.0,53.0,0.0,0.0,0.0
82318ffffffffff,413.0,48.0,0.0,0.0,0.0
823197fffffffff,20.0,0.0,0.0,0.0,0.0
82319ffffffffff,2.0,0.0,0.0,0.0,0.0
8231a7fffffffff,3.0,1.0,0.0,0.0,0.0
8231affffffffff,754.0,63.0,0.0,0.0,0.0
823447fffffffff,465.0,0.0,290.0,0.0,0.0
82344ffffffffff,1208.0,0.0,846.0,0.0,0.0
823467fffffffff,652.0,0.0,244.0,0.0,0.0
82346ffffffffff,1315.0,0.0,795.0,0.0,0.0
823817fffffffff,143.0,12.0,0.0,0.0,0.0
823827fffffffff,2665.0,141.0,0.0,0.0,0.0
823837fffffffff,178.0,20.0,0.0,0.0,0.0
823847fffffffff,31.0,0.0,0.0,0.0,0.0
82384ffffffffff,66.0,0.0,0.0,0.0,0.0
823857fffffffff,2.0,0.0,0.0,0.0,0.0
82385ffffffffff,5.0,0.0,0.0,0.0,0.0
823867fffffffff,151.0,6.0,0.0,0.0,0.0
82386ffffffffff,171.0,0.0,0.0,0.0,0.0
823877fffffffff,65.0,3.0,0.0,0.0,0.0
8238a7fffffffff,3.0,0.0,0.0,0.0,0.0
823907fffffffff,7950.0,24.0,0.0,0.0,0.0
82390ffffffffff,5900.0,13.0,0.0,0.0,0.0
823917fffffffff,11491.0,183.0,0.0,0.0,0.0
82391ffffffffff,15061.0,325.0,0.0,0.0,0.0
823927fffffffff,3616.0,68.0,0.0,0.0,0.0
82392ffffffffff,13890.0,14.0,0.0,0.0,0.0
823937fffffffff,5851.0,57.0,0.0,0.0,0.0
823947fffffffff,3988.0,8.0,0.0,0.0,0.0
82394ffffffffff,12.0,6.0,0.0,0.0,0.0
823957fffffffff,5301.0,0.0,0.0,0.0,0.0
82395ffffffffff,578.0,0.0,0.0,0.0,0.0
823967fffffffff,1327.0,51.0,0.0,0.0,0.0
82396ffffffffff,1558.0,101.0,0.0,0.0,0.0
823977fffffffff,11911.0,59.0,0.0,0.0,0.0
823987fffffffff,991.0,194.0,0.0,0.0,0.0
82398ffffffffff,842.0,98.0,0.0,0.0,0.0
823997fffffffff,503.0,68.0,0.0,0.0,0.0
82399ffffffffff,102.0,25.0,0.0,0.0,0.0
8239affffffffff,635.0,144.0,0.0,0.0,0.0
823c07fffffffff,281.0,18.0,0.0,0.0,0.0
823c0ffffffffff,793.0,3.0,0.0,0.0,0.0
823c17fffffffff,71.0,0.0,0.0,0.0,0.0
823c1ffffffffff,750.0,0.0,0.0,0.0,0.0
823c37fffffffff,231.0,0.0,0.0,0.0,0.0
823c47fffffffff,21.0,0.0,0.0,0.0,0.0
823c57fffffffff,186.0,2.0,0.0,0.0,0.0
823c5ffffffffff,376.0,9.0,0.0,0.0,0.0
823c67fffffffff,2.0,0.0,0.0,0.0,0.0
823c6ffffffffff,91.0,7.0,0.0,0.0,0.0
823c77fffffffff,25.0,2.0,0.0,0.0,0.0
823c87fffffffff,19.0,0.0,0.0,0.0,0.0
823c8ffffffffff,74.0,0.0,0.0,0.0,0.0
823c97fffffffff,108.0,0.0,0.0,0.0,0.0
823c9ffffffffff,30.0,0.0,0.0,0.0,0.0
823ca7fffffffff,43.0,0.0,0.0,0.0,0.0
823caffffffffff,107.0,0.0,0.0,0.0,0.0
823cb7fffffffff,460.0,0.0,0.0,0.0,0.0
823cc7fffffffff,127.0,0.0,0.0,0.0,0.0
823ccffffffffff,17.0,2.0,0.0,0.0,0.0
823cd7fffffffff,3.0,0.0,0.0,0.0,0.0
823cdffffffffff,130.0,15.0,0.0,0.0,0.0
823ce7fffffffff,616.0,0.0,0.0,0.0,0.0
823ceffffffffff,538.0,0.0,0.0,0.0,0.0
823cf7fffffffff,532.0,0.0,0.0,0.0,0.0
823d07fffffffff,719.0,0.0,0.0,0.0,0.0
823d17fffffffff,831.0,0.0,0.0,0.0,0.0
823d1ffffffffff,194.0,0.0,0.0,0.0,0.0
823d27fffffffff,73.0,0.0,0.0,0.0,0.0
823d37fffffffff,412.0,0.0,0.0,0.0,0.0
823d4ffffffffff,9.0,7.0,0.0,0.0,0.0
823d5ffffffffff,2.0,0.0,0.0,0.0,0.0
823d87fffffffff,536.0,0.0,0.0,0.0,0.0
823d8ffffffffff,79.0,0.0,0.0,0.0,0.0
823d97fffffffff,150.0,0.0,0.0,0.0,0.0
823d9ffffffffff,458.0,0.0,0.0,0.0,0.0
823da7fffffffff,1476.0,0.0,0.0,0.0,0.0
823daffffffffff,672.0,0.0,0.0,0.0,0.0
823db7fffffffff,254.0,0.0,0.0,0.0,0.0
823e2ffffffffff,3.0,0.0,0.0,0.0,0.0
823e47fffffffff,442.0,6.0,0.0,0.0,0.0
823e4ffffffffff,20.0,0.0,0.0,0.0,0.0
823e5ffffffffff,156.0,0.0,0.0,0.0,0.0
823e67fffffffff,132.0,10.0,0.0,0.0,0.0
823e6ffffffffff,2992.0,300.0,0.0,0.0,0.0
823e77fffffffff,28.0,0.0,0.0,0.0,0.0
823eeffffffffff,2.0,0.0,0.0,0.0,0.0
823f27fffffffff,4.0,0.0,0.0,0.0,0.0
823f2ffffffffff,340.0,0.0,0.0,0.0,0.0
823f37fffffffff,421.0,2.0,0.0,0.0,0.0
823f47fffffffff,71.0,0.0,0.0,0.0,0.0
823f4ffffffffff,388.0,52.0,0.0,0.0,0.0
823f5ffffffffff,2.0,0.0,0.0,0.0,0.0
823f67fffffffff,569.0,7.0,0.0,0.0,0.0
823f6ffffffffff,404.0,11.0,0.0,0.0,0.0
823f77fffffffff,951.0,0.0,0.0,0.0,0.0
824007fffffffff,2.0,2.0,0.0,0.0,0.0
82401ffffffffff,5.0,2.0,0.0,0.0,0.0
824027fffffffff,2.0,0.0,0.0,0.0,0.0
82402ffffffffff,4.0,0.0,0.0,0.0,0.0
824047fffffffff,19.0,8.0,0.0,0.0,0.0
82404ffffffffff,152.0,50.0,0.0,0.0,0.0
824057fffffffff,9.0,0.0,0.0,0.0,0.0
82405ffffffffff,29.0,4.0,0.0,0.0,0.0
824067fffffffff,19.0,11.0,0.0,0.0,0.0
82406ffffffffff,8.0,0.0,0.0,0.0,0.0
824077fffffffff,18.0,0.0,0.0,0.0,0.0
82408ffffffffff,12.0,0.0,0.0,0.0,0.0
824097fffffffff,34.0,4.0,0.0,0.0,0.0
82409ffffffffff,1.0,0.0,0.0,0.0,0.0
8240a7fffffffff,7.0,0.0,0.0,0.0,0.0
8240affffffffff,2.0,2.0,0.0,0.0,0.0
8240b7fffffffff,2.0,0.0,0.0,0.0,0.0
8240c7fffffffff,39.0,8.0,0.0,0.0,0.0
8240d7fffffffff,12.0,2.0,0.0,0.0,0.0
8240dffffffffff,23.0,0.0,0.0,0.0,0.0
8240e7fffffffff,36.0,0.0,0.0,0.0,0.0
8240effffffffff,85.0,30.0,0.0,0.0,0.0
824107fffffffff,26.0,0.0,0.0,0.0,0.0
82410ffffffffff,2.0,0.0,0.0,0.0,0.0
824117fffffffff,7.0,0.0,0.0,0.0,0.0
82411ffffffffff,281.0,0.0,0.0,0.0,0.0
824137fffffffff,65.0,0.0,0.0,0.0,0.0
824147fffffffff,50.0,1.0,0.0,0.0,0.0
82414ffffffffff,36.0,2.0,0.0,0.0,0.0
824157fffffffff,40.0,0.0,0.0,0.0,0.0
82415ffffffffff,37.0,1.0,0.0,0.0,0.0
824167fffffffff,7.0,0.0,0.0,0.0,0.0
82416ffffffffff,14.0,2.0,0.0,0.0,0.0
824177fffffffff,48.0,0.0,0.0,0.0,0.0
824187fffffffff,3.0,0.0,0.0,0.0,0.0
82418ffffffffff,2.0,2.0,0.0,0.0,0.0
