cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
83811cfffffffff,2.0,0.0,0.0,0.0
83811efffffffff,5.0,0.0,0.0,0.0
838121fffffffff,95.0,0.0,3.0,0.0
838122fffffffff,1.0,0.0,0.0,0.0
838124fffffffff,156.0,0.0,2.0,0.0
838125fffffffff,6.0,0.0,0.0,0.0
838129fffffffff,2.0,0.0,0.0,0.0
83812bfffffffff,5.0,0.0,0.0,0.0
83812cfffffffff,2.0,0.0,0.0,0.0
83812dfffffffff,20.0,0.0,2.0,0.0
838130fffffffff,82.0,0.0,8.0,0.0
838131fffffffff,1.0,0.0,0.0,0.0
838132fffffffff,142.0,0.0,8.0,0.0
838133fffffffff,270.0,0.0,20.0,0.0
838134fffffffff,24.0,0.0,0.0,0.0
838136fffffffff,192.0,0.0,14.0,0.0
838140fffffffff,3.0,0.0,0.0,0.0
838142fffffffff,7.0,0.0,0.0,0.0
838143fffffffff,8.0,0.0,0.0,0.0
838145fffffffff,15.0,0.0,0.0,0.0
838146fffffffff,5.0,0.0,0.0,0.0
83814afffffffff,34.0,0.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0,0.0
83814dfffffffff,53.0,0.0,0.0,0.0
83814efffffffff,4.0,0.0,0.0,0.0
83815afffffffff,2.0,0.0,1.0,0.0
83815cfffffffff,2.0,0.0,0.0,0.0
83815dfffffffff,19.0,0.0,0.0,0.0
838162fffffffff,15.0,0.0,0.0,0.0
838163fffffffff,27.0,0.0,0.0,0.0
838171fffffffff,4.0,0.0,0.0,0.0
838175fffffffff,3.0,0.0,0.0,0.0
838180fffffffff,94.0,0.0,3.0,0.0
838181fffffffff,497.0,0.0,22.0,0.0
838183fffffffff,188.0,0.0,4.0,0.0
838185fffffffff,214.0,0.0,27.0,0.0
838188fffffffff,15.0,0.0,0.0,0.0
83818afffffffff,9.0,0.0,0.0,0.0
83818bfffffffff,31.0,0.0,0.0,0.0
83818cfffffffff,4.0,0.0,0.0,0.0
83818dfffffffff,7.0,0.0,0.0,0.0
83818efffffffff,83.0,0.0,0.0,0.0
838199fffffffff,13.0,0.0,0.0,0.0
83819dfffffffff,33.0,0.0,0.0,0.0
8381a1fffffffff,27.0,0.0,7.0,0.0
8381a3fffffffff,4.0,0.0,2.0,0.0
8381a8fffffffff,4.0,0.0,0.0,0.0
8381a9fffffffff,2.0,0.0,2.0,0.0
8381aafffffffff,2.0,0.0,0.0,0.0
8381adfffffffff,42.0,0.0,0.0,0.0
838a00fffffffff,20.0,0.0,2.0,0.0
838a01fffffffff,2.0,0.0,2.0,0.0
838a05fffffffff,8.0,0.0,0.0,0.0
838a19fffffffff,1.0,0.0,1.0,0.0
838a1afffffffff,1.0,0.0,0.0,0.0
838a1bfffffffff,2.0,0.0,2.0,0.0
838a2efffffffff,8.0,0.0,3.0,0.0
838a31fffffffff,3.0,0.0,1.0,0.0
838a45fffffffff,614.0,0.0,3.0,0.0
838a63fffffffff,76.0,0.0,5.0,0.0
838a68fffffffff,25.0,0.0,0.0,0.0
838a69fffffffff,277.0,0.0,0.0,0.0
838a6dfffffffff,1314.0,0.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0,0.0
838a70fffffffff,22.0,0.0,0.0,0.0
838a73fffffffff,7.0,0.0,0.0,0.0
838a75fffffffff,8.0,0.0,0.0,0.0
838a80fffffffff,3.0,0.0,0.0,0.0
838a8cfffffffff,16.0,0.0,1.0,0.0
838a8dfffffffff,12.0,0.0,0.0,0.0
838a8efffffffff,6.0,0.0,0.0,0.0
838a9cfffffffff,8.0,0.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0,0.0
838a9efffffffff,2.0,0.0,0.0,0.0
838aa9fffffffff,11.0,0.0,0.0,0.0
838aaafffffffff,2.0,0.0,0.0,0.0
838aabfffffffff,53.0,0.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0,0.0
838ad1fffffffff,1.0,0.0,0.0,0.0
838ad8fffffffff,6.0,0.0,0.0,0.0
838adafffffffff,6.0,0.0,3.0,0.0
838adbfffffffff,1.0,0.0,0.0,0.0
838ae5fffffffff,27.0,0.0,0.0,0.0
838ae8fffffffff,6.0,0.0,0.0,0.0
838af0fffffffff,5.0,0.0,0.0,0.0
838af1fffffffff,1.0,0.0,0.0,0.0
838af2fffffffff,34.0,0.0,1.0,0.0
838af4fffffffff,32.0,0.0,2.0,0.0
838af6fffffffff,259.0,0.0,17.0,0.0
838b00fffffffff,4.0,0.0,0.0,0.0
838b04fffffffff,5.0,0.0,0.0,0.0
838b05fffffffff,2.0,0.0,0.0,0.0
838b06fffffffff,4.0,0.0,0.0,0.0
838b0cfffffffff,55.0,0.0,0.0,0.0
838b0dfffffffff,16.0,0.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0,0.0
838b20fffffffff,4.0,0.0,0.0,0.0
838b21fffffffff,20.0,0.0,0.0,0.0
838b22fffffffff,186.0,0.0,0.0,0.0
838b23fffffffff,18.0,0.0,0.0,0.0
838b26fffffffff,3.0,0.0,0.0,0.0
838b28fffffffff,1.0,0.0,0.0,0.0
838b2afffffffff,34.0,0.0,0.0,0.0
838b2bfffffffff,2.0,0.0,0.0,0.0
838b2cfffffffff,32.0,0.0,0.0,0.0
838b2dfffffffff,4.0,0.0,0.0,0.0
838b2efffffffff,15.0,0.0,0.0,0.0
838b31fffffffff,21.0,0.0,0.0,0.0
838b40fffffffff,80.0,0.0,1.0,0.0
838b42fffffffff,11.0,0.0,0.0,0.0
838b44fffffffff,504.0,0.0,2.0,0.0
838b45fffffffff,54.0,0.0,0.0,0.0
838b46fffffffff,11.0,0.0,0.0,0.0
838b4efffffffff,16.0,0.0,0.0,0.0
838b50fffffffff,9.0,0.0,0.0,0.0
838b51fffffffff,35.0,0.0,4.0,0.0
838b52fffffffff,10.0,0.0,0.0,0.0
838b56fffffffff,26.0,0.0,0.0,0.0
838b5cfffffffff,73.0,0.0,7.0,0.0
838b5dfffffffff,7.0,0.0,0.0,0.0
838b5efffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,1649.0,0.0,111.0,0.0
838b62fffffffff,83.0,0.0,5.0,0.0
838b63fffffffff,948.0,0.0,13.0,0.0
838b68fffffffff,6.0,0.0,0.0,0.0
838b69fffffffff,34.0,0.0,0.0,0.0
838b6cfffffffff,457.0,0.0,3.0,0.0
838b6dfffffffff,4.0,0.0,0.0,0.0
838b6efffffffff,230.0,0.0,0.0,0.0
838b70fffffffff,2.0,0.0,0.0,0.0
838b71fffffffff,449.0,0.0,1.0,0.0
838b74fffffffff,82.0,0.0,0.0,0.0
838b75fffffffff,37.0,0.0,0.0,0.0
838b76fffffffff,18.0,0.0,0.0,0.0
838e61fffffffff,2.0,0.0,0.0,0.0
838e64fffffffff,315.0,0.0,0.0,0.0
838e65fffffffff,159.0,0.0,0.0,0.0
838e6cfffffffff,15.0,0.0,0.0,0.0
838e6dfffffffff,1.0,0.0,0.0,0.0
838f08fffffffff,4.0,0.0,0.0,0.0
838f09fffffffff,7.0,0.0,0.0,0.0
838f0dfffffffff,528.0,0.0,0.0,100.0
838f28fffffffff,106.0,0.0,0.0,8.0
838f29fffffffff,160.0,0.0,0.0,0.0
838f2afffffffff,237.0,0.0,0.0,21.0
838f2bfffffffff,920.0,0.0,0.0,71.0
838f2cfffffffff,272.0,0.0,0.0,12.0
838f2dfffffffff,16.0,0.0,0.0,1.0
838f2efffffffff,228.0,0.0,0.0,22.0
838f40fffffffff,1017.0,0.0,88.0,0.0
838f41fffffffff,2.0,0.0,0.0,0.0
838f42fffffffff,39.0,0.0,0.0,0.0
838f43fffffffff,147.0,0.0,5.0,0.0
838f44fffffffff,50.0,0.0,0.0,0.0
838f46fffffffff,1192.0,0.0,123.0,0.0
838f48fffffffff,105.0,0.0,0.0,0.0
838f4afffffffff,204.0,0.0,0.0,0.0
838f4bfffffffff,36.0,0.0,0.0,0.0
838f4cfffffffff,68.0,0.0,0.0,0.0
838f4efffffffff,11.0,0.0,0.0,0.0
838f54fffffffff,214.0,0.0,0.0,0.0
838f55fffffffff,188.0,0.0,6.0,0.0
838f5cfffffffff,5.0,0.0,0.0,0.0
838f5dfffffffff,72.0,0.0,0.0,0.0
838f61fffffffff,475.0,0.0,0.0,0.0
838f63fffffffff,3.0,0.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0,0.0
838f6bfffffffff,16.0,0.0,2.0,0.0
838f6cfffffffff,12.0,0.0,0.0,0.0
838f6efffffffff,74.0,0.0,0.0,0.0
838f70fffffffff,181.0,0.0,22.0,0.0
838f71fffffffff,62.0,0.0,0.0,0.0
838f72fffffffff,799.0,0.0,87.0,3.0
838f73fffffffff,61.0,0.0,0.0,0.0
838f74fffffffff,225.0,0.0,14.0,0.0
838f76fffffffff,265.0,0.0,6.0,0.0
83a596fffffffff,290.0,0.0,11.0,0.0
83a800fffffffff,4.0,0.0,0.0,0.0
83a801fffffffff,71.0,0.0,0.0,0.0
83a802fffffffff,27.0,0.0,0.0,0.0
83a803fffffffff,15.0,0.0,0.0,0.0
83a804fffffffff,16.0,0.0,2.0,0.0
83a805fffffffff,16.0,0.0,0.0,0.0
83a806fffffffff,489.0,0.0,65.0,0.0
83a808fffffffff,2.0,0.0,0.0,0.0
83a80afffffffff,4.0,0.0,0.0,0.0
83a80bfffffffff,4.0,0.0,0.0,0.0
83a80cfffffffff,32.0,0.0,0.0,0.0
83a80dfffffffff,7.0,0.0,0.0,0.0
83a80efffffffff,18.0,0.0,0.0,0.0
83a810fffffffff,5794.0,0.0,97.0,0.0
83a811fffffffff,393.0,0.0,21.0,0.0
83a812fffffffff,2046.0,0.0,145.0,0.0
83a813fffffffff,717.0,0.0,130.0,0.0
83a814fffffffff,574.0,0.0,12.0,0.0
83a815fffffffff,594.0,0.0,17.0,0.0
83a816fffffffff,112.0,0.0,9.0,0.0
83a818fffffffff,238.0,0.0,0.0,0.0
83a819fffffffff,140.0,0.0,10.0,0.0
83a81afffffffff,76.0,0.0,0.0,0.0
83a81bfffffffff,85.0,0.0,5.0,0.0
83a81cfffffffff,354.0,0.0,4.0,0.0
83a81dfffffffff,62.0,0.0,0.0,0.0
83a81efffffffff,2351.0,0.0,2.0,0.0
83a821fffffffff,14.0,0.0,0.0,0.0
83a823fffffffff,6.0,0.0,0.0,0.0
83a826fffffffff,21.0,0.0,0.0,0.0
83a828fffffffff,2.0,0.0,0.0,0.0
83a829fffffffff,51.0,0.0,0.0,0.0
83a82afffffffff,18.0,0.0,0.0,0.0
83a82bfffffffff,24.0,0.0,0.0,0.0
