cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
83b22dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b241fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b242fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b243fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b245fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b248fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b24afffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b24bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b24cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b24dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b24efffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b252fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b258fffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b259fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25afffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25bfffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25cfffffffff,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b25efffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b26afffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b270fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b271fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b274fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b275fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c0fffffffff,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c1fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c2fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c3fffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c4fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2c5fffffffff,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83b2c8fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2cefffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2d8fffffffff,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2d9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2dafffffffff,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2dbfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2dcfffffffff,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2ddfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2e1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2e2fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b2e6fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
