cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
848b889ffffffff,2.0,0.0,0.0,0.0,0.0
848b999ffffffff,15.0,0.0,0.0,0.0,0.0
848b9d1ffffffff,5.0,0.0,0.0,0.0,0.0
848b9d5ffffffff,155.0,0.0,0.0,0.0,0.0
848e641ffffffff,4.0,0.0,0.0,0.0,0.0
848e643ffffffff,5.0,0.0,0.0,0.0,0.0
848e649ffffffff,17.0,0.0,0.0,0.0,0.0
848e64bffffffff,17.0,0.0,0.0,0.0,0.0
848e651ffffffff,4.0,0.0,0.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0,0.0,0.0
848f099ffffffff,5.0,0.0,0.0,0.0,0.0
848f0d1ffffffff,37.0,0.0,3.0,0.0,0.0
848f0d3ffffffff,11.0,0.0,2.0,0.0,0.0
848f0d5ffffffff,4.0,0.0,0.0,0.0,0.0
848f0dbffffffff,10.0,0.0,0.0,0.0,0.0
848f291ffffffff,12.0,0.0,0.0,0.0,0.0
848f297ffffffff,4.0,0.0,0.0,0.0,0.0
848f2bbffffffff,2.0,0.0,0.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0,0.0,0.0
848f2d5ffffffff,2.0,0.0,0.0,0.0,0.0
848f401ffffffff,6.0,0.0,0.0,0.0,0.0
848f425ffffffff,6.0,0.0,0.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0,0.0,0.0
848f42dffffffff,12.0,0.0,0.0,0.0,0.0
848f439ffffffff,30.0,0.0,6.0,0.0,0.0
848f461ffffffff,2.0,0.0,0.0,0.0,0.0
848f463ffffffff,1.0,0.0,0.0,0.0,0.0
848f465ffffffff,12.0,0.0,0.0,0.0,0.0
848f467ffffffff,6.0,0.0,0.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0,0.0,0.0
848f48dffffffff,1.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,4.0,0.0,0.0,0.0,0.0
848f4a7ffffffff,2.0,0.0,0.0,0.0,0.0
848f4b3ffffffff,6.0,0.0,0.0,0.0,0.0
848f4c7ffffffff,2.0,0.0,0.0,0.0,0.0
848f54bffffffff,6.0,0.0,0.0,0.0,0.0
848f54dffffffff,1.0,0.0,0.0,0.0,0.0
848f551ffffffff,3.0,0.0,0.0,0.0,0.0
848f553ffffffff,6.0,0.0,0.0,0.0,0.0
848f559ffffffff,25.0,0.0,8.0,0.0,0.0
848f55bffffffff,12.0,0.0,6.0,0.0,0.0
848f55dffffffff,23.0,0.0,0.0,0.0,0.0
848f5ddffffffff,2.0,0.0,0.0,0.0,0.0
848f611ffffffff,6.0,0.0,0.0,0.0,0.0
848f613ffffffff,19.0,0.0,0.0,0.0,0.0
848f61bffffffff,15.0,0.0,0.0,0.0,0.0
848f657ffffffff,3.0,0.0,0.0,0.0,0.0
848f6b5ffffffff,7.0,0.0,0.0,0.0,0.0
848f6e1ffffffff,4.0,0.0,0.0,0.0,0.0
848f6e9ffffffff,13.0,0.0,0.0,0.0,0.0
848f6edffffffff,2.0,0.0,0.0,0.0,0.0
848f721ffffffff,22.0,0.0,5.0,0.0,0.0
848f729ffffffff,40.0,0.0,5.0,0.0,0.0
848f72bffffffff,7.0,0.0,3.0,0.0,0.0
848f72dffffffff,7.0,0.0,0.0,0.0,0.0
848f733ffffffff,104.0,0.0,17.0,0.0,0.0
848f745ffffffff,5.0,0.0,0.0,0.0,0.0
848f763ffffffff,2.0,0.0,0.0,0.0,0.0
848f767ffffffff,2.0,0.0,0.0,0.0,0.0
848f769ffffffff,2.0,0.0,0.0,0.0,0.0
848f76bffffffff,3.0,0.0,0.0,0.0,0.0
84a8591ffffffff,9.0,0.0,0.0,0.0,0.0
84a8c97ffffffff,2.0,0.0,0.0,0.0,0.0
84b3253ffffffff,14.0,0.0,0.0,0.0,0.0
