cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
832a8bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832a8cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832a8dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832a8efffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
832a90fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832a91fffffffff,8.0,0.0,2.0,0.0,0.0,0.0,0.0
832a93fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
832a94fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
832a95fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
832a96fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832a99fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832a9afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832aa0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832aa1fffffffff,16.0,0.0,1.0,0.0,0.0,0.0,0.0
832aa2fffffffff,5.0,0.0,2.0,0.0,0.0,0.0,0.0
832aa3fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
832aa4fffffffff,10.0,0.0,4.0,0.0,0.0,0.0,0.0
832aa5fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
832aa6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832aa8fffffffff,86.0,0.0,6.0,0.0,0.0,0.0,0.0
832aa9fffffffff,16.0,0.0,2.0,0.0,0.0,0.0,0.0
832aaafffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
832aabfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832aacfffffffff,859.0,0.0,12.0,0.0,0.0,0.0,0.0
832aadfffffffff,234.0,0.0,8.0,0.0,0.0,0.0,0.0
832aaefffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
832ab0fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
832ab1fffffffff,26.0,0.0,2.0,0.0,0.0,0.0,0.0
832ab2fffffffff,380.0,0.0,9.0,0.0,0.0,0.0,0.0
832ab3fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
832ab4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
